,0
0,1.8696158
1,1.8702093
2,1.8704604
3,1.8707297
4,1.8713214
5,1.8719553
6,1.8724115
7,1.87289
8,1.8735497
9,1.8742414
10,1.8748412
11,1.8754479
12,1.8761494
13,1.876853
14,1.8774896
15,1.8781219
16,1.8787692
17,1.8793788
18,1.8799403
19,1.8804704
20,1.8809652
21,1.8814244
22,1.8818371
23,1.8821977
24,1.8825204
25,1.882797
26,1.883021
27,1.8832022
28,1.8833313
29,1.8834066
30,1.8834424
31,1.8834293
32,1.8833556
33,1.8832289
34,1.8830581
35,1.8828402
36,1.8825636
37,1.8822342
38,1.8818648
39,1.8814447
40,1.8809662
41,1.8804417
42,1.8798676
43,1.8792408
44,1.8785686
45,1.8778502
46,1.8771122
47,1.87636
48,1.8755525
49,1.874705
50,1.8738561
51,1.8729713
52,1.8720415
53,1.8710997
54,1.8701274
55,1.869123
56,1.8681023
57,1.8670462
58,1.8659735
59,1.864912
60,1.8638214
61,1.8627073
62,1.8616168
63,1.8605255
64,1.8594153
65,1.8583093
66,1.8571907
67,1.8560822
68,1.8550053
69,1.8539131
70,1.8528404
71,1.8518175
72,1.8507792
73,1.8497303
74,1.8487372
75,1.8477707
76,1.8468126
77,1.8459121
78,1.8450454
79,1.8441873
80,1.8433597
81,1.8425529
82,1.8417573
83,1.8409876
84,1.8402058
85,1.8394277
86,1.8387026
87,1.8379858
88,1.8372531
89,1.8365456
90,1.8358691
91,1.8351835
92,1.8344965
93,1.8338267
94,1.8331624
95,1.8325021
96,1.8318434
97,1.8311821
98,1.8305352
99,1.8299135
100,1.8292856
101,1.8286569
102,1.8280704
103,1.8274897
104,1.8268983
105,1.8263689
106,1.8258536
107,1.825305
108,1.8248076
109,1.8243407
110,1.8238442
111,1.8234009
112,1.8229823
113,1.8225323
114,1.8221588
115,1.8218056
116,1.8213931
117,1.8210615
118,1.8207648
119,1.8203981
120,1.8200945
121,1.8198314
122,1.8195072
123,1.8192316
124,1.8189853
125,1.818686
126,1.8184496
127,1.8182317
128,1.8179445
129,1.8177297
130,1.8175411
131,1.8172721
132,1.817056
133,1.8168753
134,1.816627
135,1.8164165
136,1.8162305
137,1.8159885
138,1.8157998
139,1.8156239
140,1.8153762
141,1.8151984
142,1.815042
143,1.8147972
144,1.8146089
145,1.8144547
146,1.8142288
147,1.8140621
148,1.8139278
149,1.8137243
150,1.8135889
151,1.8134804
152,1.813292
153,1.8131707
154,1.8130842
155,1.8129164
156,1.8127866
157,1.8126988
158,1.8125539
159,1.8124391
160,1.8123467
161,1.8122035
162,1.8121047
163,1.8120232
164,1.8118796
165,1.8117723
166,1.811698
167,1.8115697
168,1.8114734
169,1.8114052
170,1.8112879
171,1.8112116
172,1.8111598
173,1.8110528
174,1.8109882
175,1.8109562
176,1.8108683
177,1.810796
178,1.8107641
179,1.8107024
180,1.8106189
181,1.8105611
182,1.8105092
183,1.8104396
184,1.8103707
185,1.810307
186,1.8102614
187,1.8102145
188,1.8101444
189,1.8100973
190,1.8100724
191,1.8100218
192,1.8099607
193,1.8099266
194,1.8098977
195,1.8098346
196,1.8097769
197,1.8097482
198,1.8097035
199,1.8096447
200,1.8096021
201,1.8095737
202,1.8095407
203,1.809498
204,1.8094527
205,1.8094256
206,1.8094031
207,1.8093297
208,1.8092674
209,1.8092511
210,1.8091936
211,1.8091147
212,1.8090754
213,1.8090352
214,1.8089789
215,1.8089311
216,1.8088791
217,1.8088372
218,1.8088069
219,1.8087368
220,1.808675
221,1.8086555
222,1.8085879
223,1.8085078
224,1.8084784
225,1.8084025
226,1.8083097
227,1.8082699
228,1.8081824
229,1.808078
230,1.8080294
231,1.8079547
232,1.8078599
233,1.8078032
234,1.8077178
235,1.8076274
236,1.8075786
237,1.8074846
238,1.8073872
239,1.8073454
240,1.8072429
241,1.8071293
242,1.8070893
243,1.8069981
244,1.8068815
245,1.8068311
246,1.8067391
247,1.8066299
248,1.8065808
249,1.8064605
250,1.8063327
251,1.8062911
252,1.8061688
253,1.8060173
254,1.805959
255,1.8058453
256,1.8056968
257,1.8056154
258,1.8055071
259,1.805375
260,1.8052881
261,1.8051844
262,1.805075
263,1.8049997
264,1.8048811
265,1.804769
266,1.8047124
267,1.8045828
268,1.804446
269,1.8043895
270,1.8042666
271,1.8041182
272,1.8040423
273,1.8039263
274,1.8037889
275,1.8036988
276,1.8035897
277,1.8034712
278,1.8033752
279,1.8032439
280,1.8031198
281,1.8030255
282,1.8028685
283,1.8027093
284,1.8025963
285,1.8024092
286,1.802202
287,1.8020464
288,1.8018446
289,1.8016139
290,1.8014123
291,1.801209
292,1.8009984
293,1.8007863
294,1.8005748
295,1.8003926
296,1.8002262
297,1.8000393
298,1.7998486
299,1.7996653
300,1.7994742
301,1.7992766
302,1.7990756
303,1.7988753
304,1.7986703
305,1.798439
306,1.7982026
307,1.7979616
308,1.797694
309,1.7973921
310,1.7970923
311,1.7967781
312,1.7964923
313,1.7961752
314,1.7958171
315,1.7955056
316,1.7952261
317,1.7948556
318,1.7945057
319,1.7941751
320,1.7937971
321,1.7934313
322,1.7930765
323,1.7926339
324,1.7922337
325,1.7918409
326,1.7913685
327,1.790899
328,1.7904642
329,1.7899524
330,1.7894841
331,1.7890232
332,1.7884696
333,1.7879543
334,1.7874736
335,1.7868946
336,1.7863383
337,1.7858168
338,1.7852168
339,1.7846445
340,1.7840981
341,1.7834685
342,1.7828695
343,1.7823021
344,1.7816509
345,1.7810327
346,1.7804523
347,1.7797866
348,1.7791579
349,1.7785714
350,1.7778959
351,1.7772473
352,1.7766459
353,1.7759659
354,1.7752998
355,1.7746772
356,1.7739886
357,1.7733356
358,1.7727176
359,1.7720138
360,1.7713464
361,1.7707342
362,1.770036
363,1.7693435
364,1.768714
365,1.7680249
366,1.7673342
367,1.76669
368,1.7659955
369,1.7653109
370,1.7646681
371,1.7639686
372,1.763294
373,1.7626643
374,1.7619653
375,1.7612835
376,1.7606589
377,1.7599735
378,1.7592864
379,1.7586563
380,1.7579856
381,1.757319
382,1.7566931
383,1.7560242
384,1.7553638
385,1.7547486
386,1.7540889
387,1.7534096
388,1.7527835
389,1.7521399
390,1.7514582
391,1.7508131
392,1.7501701
393,1.749498
394,1.748847
395,1.7481937
396,1.7475166
397,1.7468696
398,1.7462183
399,1.7455314
400,1.7448802
401,1.7442391
402,1.7435588
403,1.7429
404,1.7422571
405,1.7415817
406,1.7409216
407,1.7402728
408,1.7396028
409,1.738953
410,1.7383052
411,1.737614
412,1.7369539
413,1.7363162
414,1.7356195
415,1.7349397
416,1.7342967
417,1.7336344
418,1.7329742
419,1.7323167
420,1.7316331
421,1.7309803
422,1.7303367
423,1.7296166
424,1.728926
425,1.7282878
426,1.727575
427,1.7268605
428,1.7261825
429,1.7255125
430,1.7248025
431,1.7241465
432,1.7234045
433,1.7228023
434,1.7220557
435,1.7214398
436,1.7206805
437,1.720139
438,1.7193551
439,1.7187891
440,1.7180606
441,1.7174885
442,1.7167323
443,1.7162014
444,1.7154205
445,1.7148628
446,1.7141486
447,1.7135556
448,1.7128117
449,1.7122685
450,1.7114908
451,1.7109056
452,1.7101872
453,1.7095783
454,1.7087908
455,1.7082276
456,1.7074635
457,1.7068518
458,1.7060872
459,1.7054579
460,1.7047075
461,1.7040689
462,1.7032689
463,1.7026267
464,1.7018764
465,1.7011558
466,1.7004015
467,1.6996967
468,1.6989162
469,1.6981736
470,1.6974523
471,1.6966585
472,1.6959574
473,1.6951584
474,1.694454
475,1.6936635
476,1.6929836
477,1.6921567
478,1.6915454
479,1.6906712
480,1.6900356
481,1.6892419
482,1.6885847
483,1.6877127
484,1.6871054
485,1.686228
486,1.6855528
487,1.684699
488,1.6839906
489,1.6831169
490,1.6824548
491,1.6814864
492,1.68076
493,1.6798816
494,1.6790668
495,1.678109
496,1.6773723
497,1.6763692
498,1.6755565
499,1.674658
500,1.6737621
501,1.6728466
502,1.6720418
503,1.6710635
504,1.6701834
505,1.6693501
506,1.6684217
507,1.6675354
508,1.666705
509,1.6658176
510,1.6649489
511,1.6642089
512,1.663257
513,1.6625144
514,1.6616917
515,1.6608531
516,1.659932
517,1.6592529
518,1.6582718
519,1.6574615
520,1.6565511
521,1.6557181
522,1.6547348
523,1.6539761
524,1.6529245
525,1.6521217
526,1.6511734
527,1.6502931
528,1.6492625
529,1.6485107
530,1.6474302
531,1.6465755
532,1.6455681
533,1.6446819
534,1.6436042
535,1.6427913
536,1.6416638
537,1.6408199
538,1.6397938
539,1.63885
540,1.6377792
541,1.6369895
542,1.6358254
543,1.6349175
544,1.6338787
545,1.6329308
546,1.6317767
547,1.6309004
548,1.6297364
549,1.6287739
550,1.6276497
551,1.6266431
552,1.6254877
553,1.6245606
554,1.6233377
555,1.6223398
556,1.6212242
557,1.6201768
558,1.6189725
559,1.6180205
560,1.6168035
561,1.6157246
562,1.6145484
563,1.6134943
564,1.6122413
565,1.611182
566,1.609941
567,1.6087745
568,1.6075057
569,1.6064045
570,1.6051013
571,1.603958
572,1.6026657
573,1.6014918
574,1.600182
575,1.5990155
576,1.5976763
577,1.5965259
578,1.595198
579,1.5939674
580,1.5926281
581,1.5914464
582,1.5900023
583,1.5887597
584,1.5874172
585,1.5861045
586,1.5846242
587,1.5833864
588,1.5819077
589,1.5805738
590,1.579123
591,1.577774
592,1.5762686
593,1.5749469
594,1.5733935
595,1.5720333
596,1.570546
597,1.5690954
598,1.5675036
599,1.5661471
600,1.564517
601,1.5630513
602,1.5614977
603,1.5599173
604,1.5581762
605,1.556765
606,1.5550778
607,1.5535034
608,1.5518483
609,1.550295
610,1.5485718
611,1.547057
612,1.5452826
613,1.5437285
614,1.5420786
615,1.5404463
616,1.5386645
617,1.5371826
618,1.5352392
619,1.5334886
620,1.5317677
621,1.5302204
622,1.52838
623,1.5267271
624,1.524928
625,1.523412
626,1.5216479
627,1.5200318
628,1.5183468
629,1.5168672
630,1.5150433
631,1.5135142
632,1.5118942
633,1.5103359
634,1.5085676
635,1.5071138
636,1.5054438
637,1.5039757
638,1.5023072
639,1.5007792
640,1.4991319
641,1.4977303
642,1.4961232
643,1.4947445
644,1.4931624
645,1.4917009
646,1.4900954
647,1.4887377
648,1.4871063
649,1.4857036
650,1.4841332
651,1.482785
652,1.4812249
653,1.4798485
654,1.4782275
655,1.4768966
656,1.4753407
657,1.4739333
658,1.4723451
659,1.4709747
660,1.469411
661,1.4681071
662,1.4666259
663,1.4652891
664,1.4638699
665,1.4625999
666,1.4611696
667,1.4598953
668,1.4585748
669,1.4573087
670,1.4560137
671,1.4547874
672,1.4535744
673,1.4524366
674,1.4512119
675,1.4499735
676,1.4488281
677,1.4477092
678,1.4465092
679,1.4453566
680,1.4442447
681,1.4431623
682,1.4420879
683,1.4409683
684,1.4399103
685,1.438932
686,1.4378736
687,1.4369147
688,1.4360235
689,1.4350048
690,1.4340472
691,1.4331894
692,1.4322325
693,1.4312613
694,1.4303651
695,1.4294341
696,1.4285042
697,1.4275945
698,1.4266411
699,1.4257246
700,1.4248334
701,1.4238719
702,1.4230541
703,1.4222586
704,1.4212956
705,1.4203737
706,1.4195687
707,1.418685
708,1.4178497
709,1.4170481
710,1.4161614
711,1.4153885
712,1.414635
713,1.4137378
714,1.4129778
715,1.412278
716,1.4114094
717,1.4105433
718,1.409779
719,1.4089695
720,1.4081724
721,1.4073247
722,1.4064039
723,1.4057275
724,1.4050322
725,1.4040735
726,1.4033257
727,1.4027238
728,1.4018862
729,1.4010978
730,1.4004538
731,1.3997155
732,1.399047
733,1.3984058
734,1.397658
735,1.3970232
736,1.3964131
737,1.3956622
738,1.395004
739,1.3944163
740,1.3937067
741,1.393028
742,1.3924087
743,1.3917223
744,1.3909742
745,1.3902578
746,1.3895609
747,1.3889617
748,1.3883212
749,1.3875707
750,1.3870944
751,1.3866671
752,1.385973
753,1.3854376
754,1.3850806
755,1.384541
756,1.3838781
757,1.3833516
758,1.3828877
759,1.382326
760,1.3817105
761,1.3811519
762,1.3806517
763,1.3801019
764,1.3794825
765,1.3789169
766,1.3784094
767,1.3778347
768,1.3772106
769,1.3766528
770,1.3761182
771,1.3754826
772,1.374849
773,1.374291
774,1.3736873
775,1.3730414
776,1.3724289
777,1.3718129
778,1.3711897
779,1.3705645
780,1.369903
781,1.3692642
782,1.3686492
783,1.3679802
784,1.3673136
785,1.3666878
786,1.3660419
787,1.3653793
788,1.3647282
789,1.3640243
790,1.363335
791,1.3626884
792,1.3619264
793,1.3611604
794,1.3604953
795,1.3597684
796,1.3589853
797,1.3582574
798,1.3575362
799,1.3567903
800,1.3560381
801,1.3552262
802,1.3544462
803,1.353719
804,1.3528924
805,1.3520507
806,1.3512975
807,1.3504802
808,1.3496194
809,1.3488202
810,1.3479522
811,1.3470659
812,1.3462492
813,1.3453764
814,1.3444744
815,1.3436271
816,1.3427753
817,1.3419005
818,1.3410355
819,1.3401022
820,1.3391865
821,1.3383354
822,1.3373959
823,1.336424
824,1.3355273
825,1.3345755
826,1.3335708
827,1.3326025
828,1.3315574
829,1.33047
830,1.3294054
831,1.3282062
832,1.3269017
833,1.3256702
834,1.3244197
835,1.3231559
836,1.3219452
837,1.3206769
838,1.3194245
839,1.318262
