,0
0,0.9685197
1,0.93754286
2,0.9161587
3,0.89502126
4,0.8714624
5,0.8482178
6,0.82606596
7,0.80420715
8,0.78241414
9,0.76092046
10,0.73979235
11,0.71896195
12,0.69840956
13,0.67815536
14,0.6582047
15,0.6385519
16,0.6191954
17,0.6001368
18,0.5813766
19,0.5629144
20,0.54474974
21,0.5268831
22,0.50931454
23,0.49204373
24,0.47507086
25,0.45839587
26,0.44201878
27,0.42593965
28,0.4101584
29,0.39467505
30,0.37948957
31,0.36460206
32,0.3500124
33,0.3357207
34,0.32172683
35,0.3080675
36,0.29475036
37,0.2817692
38,0.2691174
39,0.25682214
40,0.24493958
41,0.23350571
42,0.22249527
43,0.21197367
44,0.20202024
45,0.19283986
46,0.18443452
47,0.17662859
48,0.16935785
49,0.16256945
50,0.15621287
51,0.15028478
52,0.14471802
53,0.13947022
54,0.13456096
55,0.1299374
56,0.12556398
57,0.121486224
58,0.11766855
59,0.11409503
60,0.11078412
61,0.10769349
62,0.104809545
63,0.10216159
64,0.09969279
65,0.09737118
66,0.09522463
67,0.09322506
68,0.09134969
69,0.08961145
70,0.08800625
71,0.08649621
72,0.08507653
73,0.08373245
74,0.082458355
75,0.08126805
76,0.080143444
77,0.0790835
78,0.07807363
79,0.07711443
80,0.07620116
81,0.07530618
82,0.074449085
83,0.073634066
84,0.072832674
85,0.07205928
86,0.07132732
87,0.070604265
88,0.06991453
89,0.06925961
90,0.068586014
91,0.06794099
92,0.06733717
93,0.06670947
94,0.06610552
95,0.0655424
96,0.0649563
97,0.06439167
98,0.06386564
99,0.06329975
100,0.0627619
101,0.062272295
102,0.061751004
103,0.061257377
104,0.060811516
105,0.060335424
106,0.059887435
107,0.059483618
108,0.059066523
109,0.05867106
110,0.058308095
111,0.057932377
112,0.05757892
113,0.057256144
114,0.05692756
115,0.056621354
116,0.05634111
117,0.056017224
118,0.055721533
119,0.05546538
120,0.055178445
121,0.054911464
122,0.05467697
123,0.054398637
124,0.05414478
125,0.053927764
126,0.05371031
127,0.053504836
128,0.053314846
129,0.053105924
130,0.052915264
131,0.05274419
132,0.052541453
133,0.052356634
134,0.05219528
135,0.05200547
136,0.05183263
137,0.051681105
138,0.0515016
139,0.051339637
140,0.051197063
141,0.05102699
142,0.050874438
143,0.05073936
144,0.050586935
145,0.050445806
146,0.05031587
147,0.050176095
148,0.05005167
149,0.049935732
150,0.049799036
151,0.049681723
152,0.049577396
153,0.049447205
154,0.04933779
155,0.049244
156,0.049123626
157,0.049022418
158,0.0489352
159,0.04881655
160,0.04871637
161,0.048629817
162,0.048509356
163,0.04840607
164,0.04831625
165,0.04819225
166,0.048084274
167,0.047988787
168,0.047857314
169,0.047742367
170,0.04763935
171,0.04750071
172,0.04737928
173,0.047268998
174,0.04712433
175,0.046997327
176,0.046880994
177,0.04673956
178,0.046613444
179,0.046493318
180,0.046363268
181,0.046246376
182,0.046127975
183,0.04599883
184,0.045884427
185,0.04576726
186,0.04563625
187,0.045520738
188,0.045403216
189,0.04528143
190,0.045172747
191,0.045057505
192,0.044953506
193,0.044859078
194,0.04474992
195,0.044665482
196,0.04458785
197,0.04448682
198,0.04441238
199,0.04434547
200,0.04425172
201,0.04417463
202,0.044108372
203,0.04401891
204,0.043951422
205,0.043892477
206,0.043807685
207,0.043765247
208,0.04372591
209,0.043649793
210,0.043618735
211,0.04359338
212,0.043527916
213,0.043503746
214,0.04348639
215,0.04343014
216,0.04341067
217,0.04339814
218,0.043346796
219,0.043327123
220,0.043315593
221,0.04326759
222,0.043260157
223,0.043257773
224,0.04321466
225,0.04323095
226,0.043247387
227,0.043213665
228,0.043236297
229,0.043262724
230,0.043238476
231,0.043250885
232,0.04327224
233,0.04325096
234,0.043279156
235,0.043309707
236,0.04329254
237,0.043332856
238,0.04337583
239,0.043366965
240,0.04340945
241,0.043456
242,0.043453712
243,0.043494385
244,0.043540433
245,0.043541964
246,0.04358853
247,0.04364131
248,0.043648463
249,0.04370989
250,0.04377437
251,0.043788657
252,0.043849662
253,0.043914843
254,0.04393183
255,0.043986198
256,0.044045974
257,0.044061195
258,0.044121012
259,0.044183303
260,0.04419906
261,0.04425725
262,0.044320118
263,0.04433732
264,0.044393104
265,0.044454698
266,0.044472247
267,0.04452063
268,0.044575542
269,0.044589628
270,0.044625897
271,0.04466307
272,0.04466759
273,0.044692814
274,0.04471928
275,0.044716384
276,0.04471224
277,0.044711843
278,0.044693038
279,0.044670884
280,0.044650864
281,0.044616804
282,0.04456727
283,0.04452045
284,0.04446502
285,0.044392075
286,0.04431823
287,0.044235826
288,0.044144705
289,0.044045452
290,0.04392984
291,0.04378356
292,0.043622617
293,0.043445732
294,0.043219667
295,0.042966917
296,0.042696875
297,0.042468768
298,0.042240184
299,0.041987058
300,0.041695256
301,0.04140621
302,0.04111054
303,0.0407668
304,0.040423628
305,0.040090784
306,0.039749857
307,0.039413292
308,0.039075695
309,0.03877136
310,0.03847241
311,0.03817412
312,0.03784476
313,0.03756272
314,0.03729749
315,0.037036106
316,0.036792163
317,0.036584083
318,0.03635585
319,0.036160648
320,0.035960943
321,0.035766624
322,0.035578113
323,0.03541763
324,0.03523046
325,0.035078887
326,0.034925766
327,0.034763444
328,0.034615416
329,0.034491558
330,0.034334067
331,0.03420991
332,0.034096796
333,0.03396697
334,0.03385808
335,0.033763614
336,0.033652175
337,0.03356381
338,0.033482578
339,0.0333804
340,0.033301774
341,0.03323312
342,0.033148903
343,0.033085205
344,0.033027798
345,0.032962628
346,0.032914985
347,0.03286915
348,0.03281096
349,0.03277132
350,0.032734215
351,0.032687467
352,0.03265734
353,0.032627497
354,0.03259294
355,0.032573562
356,0.032550614
357,0.032510232
358,0.032489266
359,0.032469384
360,0.032435756
361,0.03241926
362,0.032402385
363,0.032378163
364,0.032370623
365,0.032358527
366,0.032337304
367,0.03233387
368,0.032325126
369,0.03230461
370,0.032301996
371,0.032294724
372,0.03226879
373,0.03226262
374,0.032254484
375,0.032234997
376,0.032232527
377,0.03222469
378,0.0322175
379,0.03222452
380,0.03222041
381,0.032208834
382,0.032214176
383,0.032210972
384,0.032198247
385,0.032202408
386,0.03219858
387,0.0321949
388,0.032206036
389,0.03220427
390,0.03220642
391,0.032223027
392,0.0322245
393,0.03222963
394,0.03224769
395,0.03225022
396,0.032263253
397,0.0322879
398,0.032293063
399,0.032312904
400,0.032343104
401,0.032351203
402,0.032373287
403,0.032403737
404,0.032411877
405,0.03243392
406,0.03246405
407,0.03247141
408,0.0324965
409,0.032529175
410,0.032536738
411,0.032565925
412,0.03260198
413,0.032610226
414,0.032637093
415,0.032672312
416,0.032679904
417,0.03270086
418,0.032731123
419,0.032736063
420,0.032765176
421,0.03279988
422,0.03280541
423,0.032845262
424,0.032890297
425,0.032901566
426,0.032947555
427,0.03300057
428,0.033011787
429,0.033070724
430,0.033104587
431,0.03314283
432,0.033156026
433,0.03323944
434,0.03319485
435,0.03330383
436,0.03327336
437,0.033359524
438,0.033321444
439,0.03343483
440,0.033369746
441,0.03347801
442,0.033423323
443,0.033509765
444,0.03345583
445,0.03356768
446,0.033486392
447,0.03359351
448,0.033530634
449,0.03359379
450,0.033542555
451,0.033630956
452,0.03355264
453,0.0336407
454,0.033588935
455,0.033663515
456,0.033597227
457,0.033657912
458,0.033576377
459,0.033643186
460,0.033573147
461,0.03359935
462,0.03353139
463,0.033567738
464,0.033469383
465,0.0334823
466,0.033391926
467,0.03334764
468,0.033244874
469,0.03319813
470,0.033067655
471,0.03297146
472,0.032841694
473,0.032668654
474,0.03252222
475,0.032345664
476,0.032194674
477,0.031967733
478,0.03181315
479,0.031555757
480,0.031382564
481,0.031133756
482,0.030981222
483,0.03072092
484,0.030562952
