,0
0,0.76519626
1,0.7657523
2,0.765928
3,0.7661164
4,0.7666512
5,0.76722
6,0.76755786
7,0.76791656
8,0.7685106
9,0.7691447
10,0.76964223
11,0.77015966
12,0.7708461
13,0.7715666
14,0.7721971
15,0.7728485
16,0.77361035
17,0.77438617
18,0.77510726
19,0.7758386
20,0.7766305
21,0.77744126
22,0.77821404
23,0.77897954
24,0.7797969
25,0.78062576
26,0.78141665
27,0.7822176
28,0.78305316
29,0.7838832
30,0.78470635
31,0.78553784
32,0.7863774
33,0.78722924
34,0.7880788
35,0.78893006
36,0.78981143
37,0.7907083
38,0.7915974
39,0.7925071
40,0.7934363
41,0.79435956
42,0.7952945
43,0.79624134
44,0.7971814
45,0.7981302
46,0.7991194
47,0.80013764
48,0.80116177
49,0.80219585
50,0.8032576
51,0.80434674
52,0.8054443
53,0.8065491
54,0.8076791
55,0.8088286
56,0.8099811
57,0.81113863
58,0.8122872
59,0.8134021
60,0.8145025
61,0.81559384
62,0.81664294
63,0.81765616
64,0.81864697
65,0.81961465
66,0.8205688
67,0.8214752
68,0.8223249
69,0.8231493
70,0.82391894
71,0.8246174
72,0.825297
73,0.82595426
74,0.82654226
75,0.82707804
76,0.82756543
77,0.82797503
78,0.82834786
79,0.82868767
80,0.82897365
81,0.82923865
82,0.82948124
83,0.8296812
84,0.82988757
85,0.83007944
86,0.8302247
87,0.8303767
88,0.83052784
89,0.8306363
90,0.83073616
91,0.8308437
92,0.83093137
93,0.8310144
94,0.831094
95,0.8311581
96,0.8312316
97,0.83130336
98,0.83135116
99,0.8314001
100,0.8314621
101,0.83151513
102,0.83155096
103,0.83159375
104,0.8316448
105,0.8316777
106,0.8317072
107,0.8317496
108,0.8317873
109,0.83181554
110,0.8318482
111,0.8318691
112,0.831894
113,0.8319326
114,0.8319442
115,0.83195925
116,0.8320044
117,0.8320216
118,0.8320315
119,0.8320735
120,0.8320973
121,0.83211106
122,0.83214927
123,0.8321721
124,0.83219236
125,0.8322345
126,0.83225185
127,0.8322681
128,0.83231384
