,0
0,0.0
1,0.0
2,-0.0
3,-0.0
4,-0.0
5,0.0
6,-0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,-0.0
13,0.0
14,0.0
15,-0.0
16,0.0
17,-0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,-0.0
26,0.0
27,0.0
28,-0.0
29,0.0
30,-0.0
31,0.0
32,-0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,-0.0
40,-0.0
41,-0.0
42,0.0
43,0.0
44,-0.0
45,-0.0
46,-0.0
47,0.0
48,-0.0
49,-0.0
50,0.0
51,-0.0
52,-0.0
53,-0.0
54,-0.0
55,-0.0
56,-0.0
57,-0.0
58,-0.0
59,-0.0
60,-0.0
61,-0.0
62,-0.0
63,-0.0
64,-0.0
65,-3e-45
66,-6e-45
67,6e-45
68,1.56e-43
69,8.41e-43
70,2.742e-42
71,2.249e-42
72,-2.6169e-41
73,-1.65842e-40
74,5.68536e-40
75,7.270081e-39
76,4.5836263e-38
77,2.05426e-37
78,7.1201114e-37
79,3.0751345e-36
80,1.2383197e-35
81,4.0964182e-35
82,1.4663261e-34
83,4.3729e-34
84,1.0703331e-33
85,2.8737224e-33
86,6.720222e-33
87,1.3477879e-32
88,2.836439e-32
89,5.39315e-32
90,9.2687024e-32
91,1.6064198e-31
92,2.6573557e-31
93,4.254337e-31
94,6.68447e-31
95,1.0686927e-30
96,1.6569714e-30
97,2.45503e-30
98,3.737205e-30
99,5.6296557e-30
100,8.727159e-30
101,1.347795e-29
102,1.9700437e-29
103,3.1504528e-29
104,4.790924e-29
105,6.497475e-29
106,1.0110748e-28
107,1.4380983e-28
108,1.8054261e-28
109,2.66541e-28
110,3.5199326e-28
111,3.9934381e-28
112,5.4531435e-28
113,6.596104e-28
114,6.6525463e-28
115,8.288535e-28
116,9.116437e-28
117,8.22803e-28
118,9.6227135e-28
119,9.502668e-28
120,8.0063753e-28
121,8.121558e-28
122,7.2884816e-28
123,5.314836e-28
124,4.5844548e-28
125,2.3055423e-28
126,1.4419756e-28
127,-1.5758711e-28
128,-2.9379845e-28
129,-5.9580545e-28
130,-4.2961243e-28
131,-4.7205776e-28
132,-2.1910958e-28
133,-1.4301524e-28
134,1.3682935e-28
135,2.087797e-28
136,6.1892253e-28
137,1.3537476e-27
138,1.0036244e-27
139,2.2819835e-27
140,2.791919e-27
141,2.846892e-27
142,4.117254e-27
143,5.670721e-27
144,4.6760266e-27
145,7.197551e-27
146,8.4536415e-27
147,7.4531054e-27
148,1.0324318e-26
149,1.1969409e-26
150,1.0313997e-26
151,1.3740355e-26
152,1.5453834e-26
153,1.2862038e-26
154,1.6641708e-26
155,1.7660955e-26
156,1.4586539e-26
157,1.8301855e-26
158,1.9375046e-26
159,1.6126317e-26
160,2.0443509e-26
161,2.1529188e-26
162,1.7889278e-26
163,2.2823025e-26
164,2.4123185e-26
165,2.0251913e-26
166,2.6921043e-26
167,2.92804e-26
168,2.611037e-26
169,3.4726187e-26
170,3.8594983e-26
171,3.5576958e-26
172,4.577402e-26
173,5.045907e-26
174,4.6160815e-26
175,5.7547095e-26
176,6.211701e-26
177,5.66339e-26
178,6.873601e-26
179,7.294104e-26
180,6.5516587e-26
181,7.633751e-26
182,7.8910366e-26
183,6.93206e-26
184,7.7382195e-26
185,7.7311536e-26
186,6.7095886e-26
187,7.1447853e-26
188,6.8953814e-26
189,5.900296e-26
190,5.944666e-26
191,5.5067465e-26
192,4.6843867e-26
193,4.3631924e-26
194,3.8249878e-26
195,3.2488676e-26
196,2.738766e-26
197,2.1992177e-26
198,1.8837347e-26
199,1.3080392e-26
200,8.566064e-27
201,7.744635e-27
202,2.4677534e-27
203,-5.506194e-28
204,7.360783e-28
205,-3.0557326e-27
206,-4.3792334e-27
207,-2.167863e-27
208,-4.073343e-27
209,-4.0188785e-27
210,-2.316496e-27
211,-2.3227462e-27
212,-1.3010281e-27
213,-8.949686e-28
214,6.98136e-28
215,2.1366307e-27
216,8.296138e-28
217,3.4769168e-27
218,4.8838544e-27
219,2.238213e-27
220,5.381598e-27
221,6.533781e-27
222,3.026135e-27
223,6.2053174e-27
224,7.13014e-27
225,3.5142444e-27
226,6.49262e-27
227,7.284814e-27
228,4.2096977e-27
229,6.63414e-27
230,7.072167e-27
231,4.4430376e-27
232,5.9420354e-27
233,5.910229e-27
234,3.8128248e-27
235,4.1390665e-27
236,3.5843548e-27
237,2.2551675e-27
238,7.534193e-28
239,-9.199055e-28
240,-1.425805e-27
241,-5.514475e-27
242,-8.7880746e-27
243,-8.146919e-27
244,-1.5076428e-26
245,-1.9888162e-26
246,-1.7356843e-26
247,-2.6106347e-26
248,-3.1247095e-26
249,-2.5699897e-26
250,-3.3490963e-26
251,-3.6409092e-26
252,-2.7645627e-26
253,-3.107195e-26
254,-2.9623862e-26
255,-1.922895e-26
256,-1.6859931e-26
257,-1.1362031e-26
258,-2.497063e-27
259,4.4440356e-27
260,1.1823876e-26
261,1.642546e-26
262,2.5608046e-26
263,3.2517115e-26
264,3.0932207e-26
265,4.003521e-26
266,4.361652e-26
267,3.401466e-26
268,3.769304e-26
269,3.028024e-26
270,1.0376139e-26
271,-6.295395e-27
272,-4.0394535e-26
273,-7.1273466e-26
274,-1.294206e-25
275,-2.0541348e-25
276,-2.4069413e-25
277,-3.6591155e-25
278,-4.9702783e-25
279,-5.1129295e-25
280,-7.243987e-25
281,-9.114909e-25
282,-8.756445e-25
283,-1.1860445e-24
284,-1.4119256e-24
285,-1.2773752e-24
286,-1.6503145e-24
287,-1.8568873e-24
288,-1.5790113e-24
289,-1.9429758e-24
290,-2.0666669e-24
291,-1.6668471e-24
292,-1.9595112e-24
293,-1.9792317e-24
294,-1.507642e-24
295,-1.6930838e-24
296,-1.619632e-24
297,-1.1439544e-24
298,-1.20342575e-24
299,-1.0634958e-24
300,-6.714192e-25
301,-6.193003e-25
302,-4.5718833e-25
303,-2.0963836e-25
304,-1.1064647e-25
305,2.708402e-26
306,1.7134503e-25
307,3.1126994e-25
308,3.9752478e-25
309,4.4215353e-25
310,5.877854e-25
311,6.333854e-25
312,6.5033895e-25
313,8.020371e-25
314,8.332506e-25
315,8.125071e-25
316,9.711622e-25
317,1.0292959e-24
318,9.74676e-25
319,1.134966e-24
320,1.1902663e-24
321,1.1419927e-24
322,1.2848578e-24
323,1.3544659e-24
324,1.3193407e-24
325,1.4548945e-24
326,1.5573171e-24
327,1.5524828e-24
328,1.6761864e-24
329,1.8273525e-24
330,1.8192048e-24
331,1.9318269e-24
332,2.089586e-24
333,2.1144525e-24
334,2.1960083e-24
335,2.358476e-24
336,2.4289305e-24
337,2.516761e-24
338,2.6868447e-24
339,2.7880226e-24
340,2.8961586e-24
341,3.0858866e-24
342,3.1912406e-24
