,0
0,14.491643
1,14.492209
2,14.493148
3,14.494514
4,14.496369
5,14.498863
6,14.50197
7,14.505939
8,14.510785
9,14.516183
10,14.52257
11,14.529586
12,14.53632
13,14.543474
14,14.550412
15,14.555959
16,14.561384
17,14.56612
18,14.569141
19,14.572162
20,14.574643
21,14.5756855
22,14.577044
23,14.578133
24,14.578042
25,14.5784645
26,14.578804
27,14.578172
28,14.578135
29,14.578112
30,14.577283
31,14.577069
32,14.57692
33,14.576103
34,14.575886
35,14.575761
36,14.575207
37,14.575126
38,14.575035
39,14.574547
40,14.574428
41,14.574332
42,14.57392
43,14.573306
44,14.5723
45,14.570904
46,14.569056
47,14.5695095
48,14.577481
49,14.582847
50,14.584902
51,14.58501
52,14.585161
53,14.584674
54,14.584647
55,14.584152
56,14.584262
57,14.585372
58,14.5858345
59,14.586989
60,14.589327
61,14.59095
62,14.593559
63,14.597591
64,14.6008
65,14.605067
66,14.610864
67,14.61556
68,14.621419
69,14.628983
70,14.635002
71,14.642155
72,14.650798
73,14.656959
74,14.663199
75,14.670284
76,14.673758
77,14.677367
78,14.683579
79,14.687426
80,14.693102
81,14.700933
82,14.704688
83,14.710164
84,14.717851
85,14.721355
86,14.726474
87,14.733946
88,14.7369175
89,14.7415695
90,14.748875
91,14.751494
92,14.755896
93,14.763014
94,14.765522
95,14.769782
96,14.776245
97,14.777741
98,14.781004
99,14.786189
100,14.786795
101,14.789097
102,14.793372
103,14.793296
104,14.794884
105,14.7982645
106,14.797762
107,14.798665
108,14.801898
109,14.801234
110,14.802457
111,14.80494
112,14.804851
113,14.805038
114,14.807866
115,14.805909
116,14.807571
117,14.808399
118,14.80942
119,14.806731
120,14.812792
121,14.805655
122,14.813155
123,14.805157
124,14.816502
125,14.799669
126,14.8219385
127,14.794691
128,14.810318
129,14.801923
130,14.813834
131,14.799831
132,14.817119
133,14.799276
134,14.815712
135,14.802162
136,14.815228
137,14.802517
138,14.817132
139,14.805431
140,14.815536
141,14.810461
142,14.816148
143,14.811572
144,14.819361
145,14.814332
146,14.819066
147,14.819344
148,14.820958
149,14.820487
150,14.825374
