,0
0,0.76519567
1,0.7657505
2,0.7659259
3,0.7661139
4,0.7666476
5,0.7672145
6,0.76755035
7,0.76790565
8,0.76849335
9,0.76911765
10,0.7696007
11,0.7700973
12,0.7707546
13,0.7714374
14,0.77202266
15,0.7726195
16,0.7733191
17,0.77402854
18,0.7746777
19,0.7753338
20,0.7760508
21,0.7767834
22,0.77747726
23,0.77816796
24,0.7789076
25,0.77965873
26,0.7803774
27,0.78110427
28,0.78186446
29,0.7826246
30,0.7833751
31,0.78413165
32,0.78490233
33,0.7856793
34,0.78645056
35,0.7872208
36,0.7880056
37,0.78880095
38,0.7896002
39,0.7904136
40,0.7912371
41,0.7920606
42,0.7928928
43,0.7937323
44,0.79456764
45,0.7954061
46,0.79624635
47,0.79707885
48,0.7979267
49,0.798799
50,0.7996713
51,0.80053395
52,0.8014019
53,0.8022815
54,0.8031659
55,0.80404556
56,0.80492455
57,0.8058118
58,0.80669737
59,0.8075728
60,0.8084423
61,0.8092979
62,0.8101273
63,0.8109349
64,0.81172776
65,0.81250405
66,0.8132503
67,0.81396174
68,0.81465393
69,0.8153411
70,0.8160045
71,0.8166372
72,0.81725377
73,0.8178399
74,0.8183754
75,0.8188822
76,0.81936103
77,0.81979567
78,0.82017356
79,0.8205098
80,0.82082564
81,0.8211094
82,0.821339
83,0.8215317
84,0.82173294
85,0.82191205
86,0.8220397
87,0.82216525
88,0.8222949
89,0.82239455
90,0.82246983
91,0.82254463
92,0.8226168
93,0.82267976
94,0.8227278
95,0.82276034
96,0.82280326
97,0.8228396
98,0.82284766
99,0.8228483
100,0.8228568
101,0.8228562
102,0.82283705
103,0.8228173
104,0.8228046
105,0.82278806
106,0.8227639
107,0.82273835
108,0.8227276
109,0.82271427
110,0.82268333
111,0.8226495
112,0.8226302
113,0.8226081
114,0.8225657
115,0.8225277
116,0.8225082
117,0.82247585
118,0.82243675
119,0.8224024
120,0.8223791
121,0.8223465
122,0.8223188
123,0.82227695
124,0.8222608
125,0.8222224
126,0.8222008
127,0.82214314
128,0.8221375
129,0.822102
130,0.8220681
131,0.8220193
132,0.8220146
133,0.8219756
134,0.8219565
135,0.8219045
136,0.8218955
137,0.8218643
138,0.8218281
139,0.82177633
140,0.8217696
141,0.8217258
142,0.8216832
143,0.8216505
144,0.8216279
145,0.82158744
146,0.82155824
147,0.8215243
148,0.8214993
149,0.8214715
150,0.8214348
151,0.8214011
152,0.82138234
153,0.8213475
154,0.8213109
155,0.8212882
156,0.8212685
157,0.82124066
158,0.82121277
159,0.8211961
160,0.821182
161,0.8211582
162,0.8211334
163,0.8211194
164,0.82110476
165,0.8210839
166,0.821066
167,0.8210505
168,0.82103246
169,0.8210146
170,0.8209953
171,0.8209767
172,0.82095927
173,0.8209387
174,0.8209138
175,0.82089275
176,0.82087195
177,0.82085145
178,0.8208306
179,0.8208059
180,0.8207886
181,0.82077444
182,0.820749
183,0.8207284
184,0.82071614
185,0.8206953
186,0.8206715
187,0.820654
188,0.8206342
189,0.8206134
190,0.8205933
191,0.8205688
192,0.8205476
193,0.82052714
194,0.82050043
195,0.82047844
196,0.820459
197,0.8204311
198,0.8204083
199,0.8203898
200,0.82036185
201,0.8203347
202,0.8203122
203,0.8202847
204,0.82025766
205,0.8202321
206,0.8202026
207,0.820183
208,0.82016397
209,0.82013166
210,0.8201073
211,0.8200905
212,0.8200629
213,0.8200314
214,0.82000536
215,0.8199792
216,0.81995064
217,0.81992066
218,0.81988907
219,0.81986654
220,0.8198426
221,0.81980723
222,0.81978166
223,0.8197619
224,0.8197288
225,0.8197035
226,0.8196836
227,0.8196535
228,0.8196304
229,0.8196118
230,0.8195824
231,0.81955713
232,0.8195364
233,0.81950814
234,0.81948173
235,0.8194572
236,0.81942725
237,0.8194021
238,0.8193772
239,0.8193443
240,0.8193217
241,0.8193003
242,0.8192675
243,0.819244
244,0.81922436
245,0.8191945
246,0.8191688
247,0.81914693
248,0.8191189
249,0.8190959
250,0.81907374
251,0.8190446
252,0.8190292
253,0.81901497
254,0.81898725
255,0.8189738
256,0.81896716
257,0.81894505
258,0.8189275
259,0.81891876
260,0.8189029
