,0
0,0.2672559
1,0.26611143
2,0.26498947
3,0.25996056
4,0.2591556
5,0.25825435
6,0.26894936
7,0.26725483
8,0.26609063
9,0.2720308
10,0.2696726
11,0.2682157
12,0.26835304
13,0.26710612
14,0.26613593
15,0.2615635
16,0.26039362
17,0.25941175
18,0.25846526
19,0.25743118
20,0.25662774
21,0.25836647
22,0.25688034
23,0.25587866
24,0.26163644
25,0.2598463
26,0.25858575
27,0.26399574
28,0.26180547
29,0.26026288
30,0.25821885
31,0.2567807
32,0.25576794
33,0.25185534
34,0.25102282
35,0.2503549
36,0.24325402
37,0.24263033
38,0.24209593
39,0.2573534
40,0.25610438
41,0.25517726
42,0.24092449
43,0.2404659
44,0.24007094
45,0.24551581
46,0.24474427
47,0.24413122
48,0.26034883
49,0.25824916
50,0.2567357
51,0.24023812
52,0.23939617
53,0.23876995
54,0.23811115
55,0.23756589
56,0.23711774
57,0.2638925
58,0.2612799
59,0.2594626
60,0.24496558
61,0.24423984
62,0.24371791
63,0.24967708
64,0.24804877
65,0.24691075
66,0.24421374
67,0.2424915
68,0.24134736
69,0.23432241
70,0.2336062
71,0.23309955
72,0.23859671
73,0.23732565
74,0.2364329
75,0.23755719
76,0.23665634
77,0.2359582
78,0.24260145
79,0.2421167
80,0.241707
81,0.23258592
82,0.23191883
83,0.23137853
84,0.22964427
85,0.22924753
86,0.22887701
87,0.22941227
88,0.22891724
89,0.22852723
90,0.23250714
91,0.23203893
92,0.23165496
93,0.23297997
94,0.23230131
95,0.2317431
96,0.2270166
97,0.22651781
98,0.22609995
99,0.23168322
100,0.23102653
101,0.23054284
102,0.23650983
103,0.23588477
104,0.23541036
105,0.26257122
106,0.26113915
107,0.26011312
108,0.3009874
109,0.29878315
110,0.29711726
111,0.25377932
112,0.2530664
113,0.2524942
114,0.22270925
115,0.22239287
116,0.22212988
