,0
0,0.7647893
1,0.7649019
2,0.7649483
3,0.76500106
4,0.7650934
5,0.765181
6,0.76524925
7,0.76532066
8,0.76540405
9,0.76538706
10,0.765366
11,0.76540685
12,0.76554227
13,0.76563865
14,0.7656778
15,0.7657942
16,0.7659411
17,0.766039
18,0.76614594
19,0.76628125
20,0.7664106
21,0.76646024
22,0.7665155
23,0.7666198
24,0.76672596
25,0.76680905
26,0.7668942
27,0.7669489
28,0.7670134
29,0.7671021
30,0.76726514
31,0.7674061
32,0.7674984
33,0.76755226
34,0.7676347
35,0.76773924
36,0.76778936
37,0.76782453
38,0.7678914
39,0.7680838
40,0.76825595
41,0.76835084
42,0.7683462
43,0.7683872
44,0.76848805
45,0.7685163
46,0.7685078
47,0.7685429
48,0.7688803
49,0.7691894
50,0.76931393
51,0.76929545
52,0.7693846
53,0.76955706
54,0.7695822
55,0.7695566
56,0.76961935
57,0.7699712
58,0.77026904
59,0.77039135
60,0.7703408
61,0.77039
62,0.7705397
63,0.7707501
64,0.7708924
65,0.7709935
66,0.7710214
67,0.7710778
68,0.7711804
69,0.7711725
70,0.7711413
71,0.7711789
72,0.7712656
73,0.7713137
74,0.7713345
75,0.77138084
76,0.77144706
77,0.7714997
78,0.7715769
79,0.7716612
80,0.7717309
81,0.7718826
82,0.7720386
83,0.77214116
84,0.7721452
85,0.7721826
86,0.7722804
87,0.77229524
88,0.7722795
89,0.77231693
90,0.7723846
91,0.77242243
92,0.77244323
93,0.77247524
94,0.7725189
95,0.772557
96,0.7725753
97,0.77260166
98,0.7726428
99,0.7726516
100,0.77265984
101,0.7726931
102,0.7726352
103,0.7725704
104,0.7725663
105,0.7729284
106,0.77323556
107,0.77330977
108,0.7734921
109,0.7738031
110,0.7740423
111,0.77414703
112,0.77429545
113,0.7745244
114,0.77452904
115,0.7744838
116,0.7745717
