,0
0,1.8691534
1,1.8692293
2,1.8692596
3,1.8692555
4,1.8692791
5,1.869324
6,1.8694491
7,1.8695612
8,1.8696245
9,1.8696362
10,1.8696766
11,1.8697476
12,1.869911
13,1.8700542
14,1.870141
15,1.8702033
16,1.8702987
17,1.8704084
18,1.8701893
19,1.8699621
20,1.8699335
21,1.870047
22,1.870042
23,1.8699521
24,1.8699768
25,1.8700528
26,1.8700602
27,1.8700247
28,1.8700309
29,1.8700635
30,1.8701508
31,1.8702222
32,1.8702607
33,1.8702798
34,1.8703191
35,1.8703697
36,1.8704271
37,1.8704779
38,1.8705251
39,1.8704885
40,1.870454
41,1.87047
42,1.8705553
43,1.8706102
44,1.8706234
45,1.8705223
46,1.870446
47,1.8704386
48,1.8706238
49,1.8707677
50,1.8707967
51,1.8707893
52,1.870851
53,1.8709345
54,1.8711889
55,1.8714298
56,1.8715677
57,1.8716929
58,1.8718798
59,1.8720741
60,1.8720448
61,1.8720102
62,1.8721099
63,1.8722949
64,1.8723978
65,1.8724481
66,1.8724608
67,1.8725021
68,1.8725646
69,1.872629
70,1.8726803
71,1.8727303
72,1.8729551
73,1.8731782
74,1.8732936
75,1.8732738
76,1.8733168
77,1.87344
78,1.8738514
79,1.8742137
80,1.8744016
81,1.8742552
82,1.8742101
83,1.8743627
84,1.8741469
85,1.8738096
86,1.8736923
87,1.873829
88,1.8738277
89,1.873669
90,1.8737637
91,1.8739492
92,1.8739799
93,1.8737648
94,1.8736403
95,1.8736618
96,1.8734934
97,1.8732352
98,1.8730896
99,1.8729783
100,1.8727988
101,1.8725972
102,1.8726809
103,1.8727765
104,1.8727001
105,1.8725055
106,1.8724117
107,1.8723863
108,1.8722093
109,1.8719873
110,1.8718531
111,1.8720113
112,1.8721154
113,1.8720431
114,1.871906
115,1.8718739
116,1.8718791
