,0
0,-0.0
1,0.0
2,-0.0
3,0.0
4,-0.0
5,0.0
6,-0.0
7,0.0
8,0.0
9,0.0
10,-0.0
11,0.0
12,0.0
13,0.0
14,-0.0
15,-0.0
16,-1e-45
17,-6.6e-44
18,-1.3e-43
19,-1.5e-43
20,1.12e-43
21,-4.37e-43
22,1.813e-42
23,3.9564e-41
24,1.205681e-39
25,1.227493e-39
26,4.056944e-39
27,4.260064e-39
28,-2.721086e-39
29,4.38783e-40
30,-5.1998e-41
31,1.12884e-39
32,-5.42643e-40
33,-1.496182e-39
34,1.258086e-39
35,-1.070463e-39
36,6.6423e-41
37,-7.32113e-40
38,1.209e-41
39,-3.44707e-40
40,6.40136e-40
41,-3.635369e-39
42,2.01592e-40
43,6.053e-40
44,7.3516e-41
45,7.0037e-41
46,-1.1887e-41
47,-1.206e-41
48,2.5e-44
49,5.1303e-41
50,1.6939e-41
51,7.936e-42
52,2.552e-41
53,-5.419e-42
54,6.18e-43
55,4.097e-42
56,-3.49e-43
57,-2.612e-42
58,-8.5e-44
59,-1.483e-42
60,4.008e-42
61,6.67e-43
62,-3.45e-43
63,-1.047e-42
64,3.77e-43
65,2.19e-43
66,-1.8e-44
67,2.86e-43
68,-1.74e-43
69,-3.9e-44
70,6.14e-43
71,-2.1e-43
72,-2.94e-43
73,2.09e-43
74,-1.39e-43
75,-1.54e-43
76,-6.12e-43
77,-1.5e-44
78,8.3e-44
79,2.66e-43
80,-4.64e-43
81,1e-44
82,-3.2e-44
83,4e-43
84,-5.41e-43
85,-1.592e-42
86,1.71e-43
