,0
0,14.491024
1,14.4909525
2,14.490978
3,14.491418
4,14.491967
5,14.492566
6,14.494157
7,14.496349
8,14.499019
9,14.499467
10,14.500479
11,14.502126
12,14.502748
13,14.503829
14,14.505149
15,14.510752
16,14.515997
17,14.521226
18,14.521813
19,14.523811
20,14.526828
21,14.527392
22,14.53023
23,14.533747
24,14.535706
25,14.539212
26,14.543748
27,14.5533695
28,14.562753
29,14.572398
30,14.57486
31,14.580401
32,14.591347
33,14.601983
34,14.611787
35,14.621492
36,14.634016
37,14.647441
38,14.661447
39,14.67015
40,14.677649
41,14.685001
42,14.695509
43,14.705432
44,14.71335
45,14.726512
46,14.738209
47,14.746868
48,14.751944
49,14.758867
50,14.767072
51,14.779547
52,14.7853985
53,14.790695
54,14.798642
55,14.807362
56,14.815448
57,14.81891
58,14.823567
59,14.828202
60,14.829524
61,14.836434
62,14.844885
63,14.851317
64,14.855389
65,14.859255
66,14.864956
67,14.869482
68,14.873689
69,14.878401
70,14.883475
71,14.88825
72,14.889507
73,14.893838
74,14.898968
75,14.901996
76,14.909427
77,14.922833
78,14.931953
79,14.937178
80,14.941673
81,14.939299
82,14.939826
83,14.941477
84,14.942473
85,14.944581
86,14.946764
87,14.948122
88,14.953022
89,14.956626
90,14.959403
91,14.961146
92,14.962727
93,14.964005
94,14.965183
95,14.965901
96,14.964238
97,14.963261
98,14.961981
99,14.959771
100,14.957292
101,14.955799
102,14.950287
103,14.948045
104,14.947367
105,14.948202
106,14.948985
107,14.949754
108,14.953043
109,14.956253
110,14.95935
111,14.962843
112,14.966754
113,14.971003
114,14.976636
115,14.982699
116,14.9890175
117,14.992988
118,14.996941
119,15.000848
120,15.008839
121,15.016373
122,15.023408
123,15.027983
124,15.032292
125,15.036361
126,15.039709
127,15.042885
128,15.045899
129,15.048363
130,15.050681
131,15.052865
132,15.055222
133,15.057262
134,15.058935
135,15.060873
136,15.062382
137,15.063459
138,15.063324
139,15.062742
140,15.061769
141,15.059732
142,15.057397
143,15.054763
144,15.051701
145,15.048368
146,15.044754
147,15.040931
148,15.036875
149,15.032547
150,15.0281725
151,15.024615
152,15.021765
153,15.022525
154,15.023263
155,15.023955
156,15.024348
157,15.02465
158,15.024834
159,15.024734
160,15.024412
161,15.023934
162,15.030539
163,15.035037
164,15.038044
165,15.03152
166,15.025459
167,15.01996
168,15.015039
169,15.011214
170,15.008043
171,15.0055895
172,15.003479
173,15.001854
174,15.004008
175,15.00585
176,15.007958
177,15.006689
178,15.006628
179,15.007559
180,15.009026
181,15.0106535
182,15.01219
183,15.012872
184,15.013724
185,15.014921
186,15.014935
187,15.015767
188,15.017081
189,15.018347
190,15.019554
191,15.020916
192,15.023478
193,15.025803
194,15.027638
195,15.027371
196,15.026524
197,15.024848
198,15.022554
199,15.018855
200,15.013202
201,15.002179
202,14.987832
203,14.970791
204,14.9529085
205,14.95124
206,14.964584
207,14.993695
208,15.005456
209,14.997524
210,14.981638
211,14.972561
212,14.966017
213,14.963311
214,14.960043
215,14.959839
216,14.960134
217,14.96206
218,14.963779
219,14.9665165
220,14.967465
221,14.968933
222,14.969415
223,14.970203
224,14.970888
225,14.969737
226,14.971369
227,14.9719095
228,14.975262
229,14.975511
230,14.976569
231,14.976721
232,14.977527
233,14.978227
234,14.979905
235,14.97997
236,14.980565
237,14.980998
238,14.980999
239,14.98127
240,14.9805565
241,14.980973
242,14.9810705
243,14.981966
244,14.982604
245,14.983145
246,14.98376
247,14.984766
248,14.985485
249,14.985647
250,14.98529
251,14.985348
252,14.985613
253,14.9854
254,14.9854765
255,14.987711
256,14.987435
257,14.987893
258,14.989334
259,14.990236
260,14.991063
261,14.992153
262,14.992701
263,14.993327
264,14.993579
265,14.993958
266,14.994262
267,14.995246
268,14.995504
269,14.99584
270,14.99676
271,14.996855
272,14.997173
273,14.997718
274,14.998449
275,14.998862
276,15.001895
277,15.002447
278,15.003096
279,15.003692
280,15.003235
281,15.003126
282,15.001978
283,15.002085
284,15.002007
285,15.006424
286,15.007045
287,15.006933
288,15.00617
289,15.003513
290,15.002647
291,14.999292
292,14.999109
293,14.998724
294,14.991667
295,14.991844
296,14.991721
297,14.992805
298,14.992231
299,14.990913
300,14.988081
301,14.985919
302,14.9842
303,14.985079
304,14.985111
305,14.984974
306,14.9850235
307,14.984543
308,14.983865
309,14.990684
310,14.996319
311,15.000707
312,15.005898
313,15.010163
314,15.013435
315,15.013874
316,15.014347
317,15.014926
318,15.013535
319,15.013467
320,15.014311
321,15.015123
322,15.016388
323,15.017982
324,15.0230875
325,15.027833
326,15.03223
327,15.037733
328,15.042728
329,15.047283
330,15.051795
331,15.055909
332,15.059677
333,15.063402
334,15.066807
335,15.06988
336,15.071914
337,15.073873
338,15.075737
339,15.076649
340,15.077592
341,15.078584
342,15.0793915
343,15.080175
344,15.080948
345,15.0805025
346,15.0802555
347,15.080155
348,15.079622
349,15.079262
350,15.07904
351,15.081211
352,15.083092
353,15.08474
354,15.084757
355,15.084841
356,15.084983
357,15.085518
358,15.086015
359,15.086479
360,15.088545
361,15.090262
362,15.09169
363,15.094991
364,15.097474
365,15.099364
366,15.099705
367,15.100027
368,15.100318
369,15.101814
370,15.103741
371,15.106125
372,15.110728
373,15.115926
374,15.121951
375,15.129379
376,15.136536
377,15.142513
378,15.143504
379,15.134649
380,15.117954
381,15.094966
382,15.079039
383,15.069135
384,15.062109
385,15.055288
386,15.048519
387,15.042013
388,15.035045
389,15.028206
390,15.022246
391,15.015842
392,15.0093775
393,15.005978
394,15.000725
395,14.995707
396,14.98966
397,14.986689
398,14.984868
399,14.98269
400,14.982007
401,14.981905
402,14.981848
403,14.981975
404,14.982327
405,14.982651
406,14.9831505
407,14.98384
408,14.984552
409,14.985769
410,14.986783
411,14.987806
412,14.988792
413,14.989718
414,14.989939
415,14.990602
416,14.9911175
417,14.991196
418,14.99188
419,14.992341
420,14.992836
421,14.993323
422,14.993836
423,14.994329
424,14.994945
425,14.995513
426,14.995675
427,14.996405
428,14.996893
429,14.997731
430,14.998478
431,14.99913
432,14.999868
433,15.000431
434,15.000975
435,15.00062
436,15.001008
437,15.001111
438,15.001324
439,15.001265
440,15.001297
441,15.000986
442,15.001465
443,15.001642
444,15.001376
445,15.00164
446,15.001655
447,15.002863
448,15.002981
449,15.003364
450,15.002992
451,15.003652
452,15.003796
453,15.004977
454,15.005094
455,15.005164
456,15.005001
457,15.005054
458,15.004952
459,15.003607
460,15.004237
461,15.004357
462,15.00518
463,15.005712
464,15.006084
465,15.007285
466,15.007585
467,15.007864
468,15.007992
469,15.008414
470,15.008565
471,15.008753
472,15.009197
473,15.009309
474,15.009021
475,15.008876
476,15.008617
477,15.009146
478,15.008696
479,15.008259
480,15.006845
481,15.006876
482,15.006984
483,15.006197
484,15.006149
485,15.005992
486,15.005915
487,15.004984
488,15.004043
489,15.003246
490,15.00289
491,15.002437
492,14.996907
493,14.995385
494,14.99458
495,14.993567
496,14.993283
497,14.99317
498,14.999083
499,15.00666
500,15.014984
501,15.01444
502,15.012765
503,15.011392
504,15.011207
505,15.010847
506,15.010482
507,15.012709
508,15.014886
509,15.016949
510,15.02163
511,15.0260515
512,15.030163
513,15.034332
514,15.038088
515,15.041751
516,15.044449
517,15.047029
518,15.049549
519,15.05162
520,15.053623
521,15.055601
522,15.058194
523,15.060666
524,15.063036
525,15.065685
526,15.068233
527,15.070716
528,15.0729475
529,15.07501
530,15.076909
531,15.078406
532,15.0798
533,15.081083
534,15.081644
535,15.082314
536,15.083085
537,15.083357
538,15.083731
539,15.084229
540,15.084816
541,15.085474
542,15.086179
543,15.085469
544,15.085011
545,15.084746
546,15.083495
547,15.082464
548,15.081639
549,15.081291
550,15.08104
551,15.080869
552,15.080315
553,15.079896
554,15.079592
555,15.080125
556,15.080599
557,15.081013
558,15.083095
559,15.08495
560,15.0866
561,15.088872
562,15.090939
563,15.092789
564,15.094728
565,15.096583
566,15.09833
567,15.1006775
568,15.102779
569,15.104496
570,15.105356
571,15.105763
572,15.1055975
573,15.103512
574,15.100755
575,15.097028
576,15.091459
577,15.083309
578,15.076246
579,15.074617
580,15.08122
581,15.082001
582,15.077404
583,15.070029
584,15.062028
585,15.056805
586,15.049824
587,15.042767
588,15.035347
589,15.028191
590,15.021314
591,15.012747
592,15.006092
593,15.000803
594,14.996351
595,14.99411
596,14.992207
597,14.992392
598,14.992043
599,14.992316
600,14.994687
601,14.994658
602,14.996115
603,14.994654
604,14.996864
605,14.997668
606,14.999243
607,15.00051
608,15.002007
609,15.004898
610,15.006158
611,15.008122
612,15.010231
613,15.011756
614,15.0132885
615,15.009295
616,15.006841
617,15.005872
618,15.008486
619,15.011141
620,15.013252
621,15.015197
622,15.015776
623,15.01689
624,15.016948
625,15.018419
626,15.019422
627,15.0209675
628,15.021063
629,15.021416
630,15.022379
631,15.021922
632,15.022105
633,15.021814
634,15.022558
635,15.022751
636,15.022993
637,15.02135
638,15.020795
639,15.018704
640,15.019172
641,15.018925
642,15.0194
643,15.018638
644,15.018503
645,15.01909
646,15.0197315
647,15.020132
648,15.020848
649,15.0214
650,15.021861
651,15.023989
652,15.023802
653,15.024296
654,15.024557
655,15.024423
656,15.024241
657,15.025491
658,15.025567
659,15.025716
660,15.026832
661,15.027299
662,15.027797
663,15.028855
664,15.028595
665,15.028803
666,15.0297365
667,15.030044
668,15.030316
669,15.030054
670,15.029334
671,15.028987
672,15.0291815
673,15.030341
674,15.030774
675,15.033709
676,15.033632
677,15.033953
678,15.033478
679,15.032085
680,15.031142
681,15.026184
682,15.025912
683,15.025171
684,15.025162
685,15.024844
686,15.024689
687,15.0215435
688,15.0214615
689,15.021553
690,15.016143
691,15.014498
692,15.013178
693,15.013443
694,15.013074
695,15.01235
696,15.016172
697,15.018554
698,15.020004
699,15.015807
700,15.012971
701,15.011195
702,15.021108
703,15.030684
704,15.039709
705,15.027117
706,15.019205
707,15.014149
708,15.022878
709,15.0304785
710,15.037001
711,15.040253
712,15.042906
713,15.045104
714,15.0362
715,15.030287
716,15.026353
717,15.021824
718,15.019551
719,15.019019
720,15.024851
721,15.029538
722,15.033462
723,15.039508
724,15.044722
725,15.049275
726,15.053605
727,15.0575285
728,15.061082
729,15.063733
730,15.066199
731,15.068487
732,15.072764
733,15.0765085
734,15.079784
735,15.08498
736,15.089339
737,15.092967
738,15.09098
739,15.090019
740,15.089659
741,15.089561
742,15.089781
743,15.090168
744,15.091158
745,15.0919075
746,15.09246
747,15.090407
748,15.0885935
749,15.087002
750,15.088113
751,15.08906
752,15.089864
753,15.092405
754,15.094633
755,15.096422
756,15.101536
757,15.106026
758,15.110147
759,15.115272
760,15.119752
761,15.122878
762,15.122007
763,15.106141
764,15.085066
765,15.059451
766,15.050561
767,15.044394
768,15.038624
769,15.033375
770,15.028722
771,15.024025
772,15.02022
773,15.017117
774,15.014719
775,15.012211
776,15.010487
777,15.008665
778,15.008231
779,15.007825
780,15.006946
781,15.007066
782,15.007416
783,15.007557
784,15.007938
785,15.008354
786,15.007084
787,15.008102
788,15.008247
789,15.00921
790,15.009454
791,15.010034
792,15.011017
793,15.0114
794,15.011944
795,15.012182
796,15.01234
797,15.012533
798,15.011999
799,15.012363
800,15.0124855
801,15.012677
802,15.012885
803,15.013092
804,15.013549
805,15.013849
806,15.014084
807,15.013456
808,15.014162
809,15.014466
810,15.015334
811,15.015481
812,15.015843
813,15.01539
814,15.015679
815,15.015711
816,15.015095
817,15.015356
818,15.015454
819,15.016211
820,15.016288
821,15.016445
822,15.015948
823,15.016276
824,15.016314
825,15.01582
826,15.016018
827,15.016033
828,15.016643
829,15.016634
830,15.016748
831,15.016294
832,15.016443
833,15.016418
834,15.015784
835,15.01612
836,15.016156
