,0
0,0.76479465
1,0.7649385
2,0.7650337
3,0.7651813
4,0.76537687
5,0.76553905
6,0.76567847
7,0.76578695
8,0.76586026
9,0.7660942
10,0.7663409
11,0.76644754
12,0.7666341
13,0.7669411
14,0.7671932
15,0.7675447
16,0.76792735
17,0.76821786
18,0.7680293
19,0.7680271
20,0.768502
21,0.769028
22,0.7691846
23,0.7693088
24,0.7695991
25,0.7699437
26,0.7701833
27,0.7705266
28,0.77096844
29,0.7713338
30,0.7718458
31,0.7724626
32,0.77288127
33,0.7731024
34,0.7734823
35,0.7740185
36,0.7748193
37,0.7754582
38,0.77585167
39,0.7760854
40,0.77651817
41,0.77708244
42,0.7775169
43,0.7778423
44,0.7782738
45,0.77881414
46,0.77926683
47,0.7796328
48,0.78006154
49,0.78055096
50,0.78098637
51,0.7814017
52,0.7818601
53,0.78233504
54,0.7827943
55,0.7832388
56,0.78369457
57,0.78415227
58,0.7846013
59,0.78505
60,0.7854982
61,0.7859538
62,0.78641427
63,0.7868765
64,0.7873328
65,0.78778535
66,0.7882457
67,0.78870654
68,0.78915894
69,0.78961635
70,0.7900783
71,0.7905347
72,0.79098684
73,0.7914423
74,0.7918999
75,0.7924242
76,0.79288983
77,0.79327965
78,0.79371804
79,0.7942165
80,0.7946758
81,0.7951039
82,0.79555845
83,0.7960323
84,0.796478
85,0.79690236
86,0.7973436
87,0.7977879
88,0.79821575
89,0.798639
90,0.7990577
91,0.7994773
92,0.7998975
93,0.8003216
94,0.80073524
95,0.8011367
96,0.80145353
97,0.8017771
98,0.80216503
99,0.8025892
100,0.80295753
101,0.8032913
102,0.8036139
103,0.8039607
104,0.8043131
105,0.8048927
106,0.8054745
107,0.8058795
108,0.80643374
109,0.8071242
110,0.80769175
111,0.8079124
112,0.80821025
113,0.8087696
114,0.8092204
115,0.8094426
116,0.80973023
117,0.81025565
118,0.8107182
119,0.8109769
120,0.811243
121,0.8116446
122,0.81201583
123,0.8120408
124,0.81208014
125,0.8123896
126,0.812868
127,0.8131225
128,0.8132335
129,0.8137053
130,0.8142843
131,0.81456685
132,0.8142844
133,0.814236
134,0.8146409
135,0.81471515
136,0.81442845
137,0.8144069
138,0.81472385
139,0.8148259
140,0.81465316
141,0.81478
142,0.8151267
143,0.81523347
144,0.8153372
145,0.8156314
146,0.8159273
147,0.8160827
148,0.8162358
149,0.8164991
150,0.81683755
151,0.8170798
152,0.8172542
