,0
0,1.8687057
1,1.8685784
2,1.8688104
3,1.8692999
4,1.8693895
5,1.8692589
6,1.8689336
7,1.8684933
8,1.868285
9,1.8695824
10,1.8705071
11,1.8701341
12,1.869744
13,1.8703682
14,1.8710612
15,1.8704865
16,1.8699014
17,1.8703387
18,1.8720045
19,1.8727117
20,1.8723527
21,1.8724908
22,1.8733537
23,1.8738798
24,1.8732622
25,1.872829
26,1.8733608
27,1.8746395
28,1.8750938
29,1.8748829
30,1.8748245
31,1.8755336
32,1.8763337
33,1.8766968
34,1.8769698
35,1.8775237
36,1.8779188
37,1.8781109
38,1.878448
39,1.8788638
40,1.8795043
41,1.8798801
42,1.8801376
43,1.8805821
44,1.8811367
45,1.8815466
46,1.8817377
47,1.8820324
48,1.8823596
49,1.8827567
50,1.8830472
51,1.8833569
52,1.8836361
53,1.8839312
54,1.8843379
55,1.8844867
56,1.8846252
57,1.8846967
58,1.8849828
59,1.885174
60,1.8852868
61,1.8853893
62,1.8856072
63,1.8857968
64,1.8858023
65,1.8858438
66,1.8859982
67,1.8860011
68,1.8859543
69,1.8860314
70,1.8860259
71,1.885955
72,1.8859203
73,1.88592
74,1.885869
75,1.8853426
76,1.8850647
77,1.8852284
78,1.8851414
79,1.884805
80,1.8846052
81,1.8848767
82,1.8846834
83,1.8842529
84,1.8840685
85,1.8840473
86,1.8838003
