,0
0,0.7647124
1,0.7646687
2,0.76457036
3,0.7644769
4,0.76462173
5,0.7648268
6,0.76485276
7,0.7648611
8,0.76496464
9,0.7656626
10,0.76621354
11,0.7662599
12,0.76614106
13,0.76638705
14,0.76682734
15,0.76662415
16,0.7663289
17,0.7666309
18,0.7676953
19,0.76818115
20,0.76812047
21,0.76842403
22,0.7691329
23,0.76959
24,0.7695041
25,0.76956433
26,0.7700814
27,0.77100176
28,0.77149147
29,0.77159566
30,0.7718284
31,0.7723305
32,0.77258897
33,0.772919
34,0.77350825
35,0.77411366
36,0.77470136
37,0.77541393
38,0.7759583
39,0.7763007
40,0.77648973
41,0.77699065
42,0.77760863
43,0.7780187
44,0.7782266
45,0.7786683
46,0.7793449
47,0.7797228
48,0.7800175
49,0.7803564
50,0.7808883
51,0.7812824
52,0.78160924
53,0.7819693
54,0.78251296
55,0.78319067
56,0.7835543
57,0.78392404
58,0.7843287
59,0.78487945
60,0.78531957
61,0.78574014
62,0.78617007
63,0.7866709
64,0.78717136
65,0.7875962
66,0.7879823
67,0.7884929
68,0.78896815
69,0.78940177
70,0.789896
71,0.79038185
72,0.7907707
73,0.7911533
74,0.79160255
75,0.7920922
76,0.7924168
77,0.7926522
78,0.79303235
79,0.7934226
80,0.7937262
81,0.79386866
82,0.79437226
83,0.7948403
84,0.795035
85,0.7952391
86,0.7956719
