,0
0,0.45697188
1,0.4455706
2,0.43672976
3,0.42465502
4,0.4186153
5,0.41430137
6,0.42358285
7,0.4130714
8,0.4080547
9,0.4285103
10,0.41281307
11,0.40391043
12,0.39720806
13,0.3882406
14,0.38395873
15,0.40068364
16,0.39088157
17,0.3843994
18,0.40135768
19,0.3854508
20,0.37653637
21,0.36700112
22,0.3598107
23,0.35547492
24,0.3640617
25,0.35793012
26,0.353296
27,0.3633938
28,0.3502592
29,0.34490645
30,0.3668569
31,0.35397327
32,0.34424236
33,0.34269446
34,0.33252984
35,0.32671973
36,0.3431789
37,0.335552
38,0.3300555
39,0.31432974
40,0.30748537
41,0.3027472
42,0.30638835
43,0.29929298
44,0.29498157
45,0.30003342
46,0.2950076
47,0.29092625
48,0.29694974
49,0.29159153
50,0.2870793
51,0.27341807
52,0.268805
53,0.26544625
54,0.2699897
55,0.2657312
56,0.2621467
57,0.25560984
58,0.25187913
59,0.2484504
60,0.25023165
61,0.24633706
62,0.24297939
63,0.23793179
64,0.2341545
65,0.23109235
66,0.23056321
67,0.22729917
68,0.22420573
69,0.22543594
70,0.22196233
71,0.21873127
72,0.21891353
73,0.21553013
74,0.21232837
75,0.22020939
76,0.21327569
77,0.20867756
78,0.20901401
79,0.20553578
80,0.20249254
81,0.19859108
82,0.1933949
83,0.18973088
84,0.18582012
85,0.18250336
86,0.1796306
