,0
0,0.76471394
1,0.7646728
2,0.7645749
3,0.76448274
4,0.76462936
5,0.76483667
6,0.7648639
7,0.7648734
8,0.7649787
9,0.7656788
10,0.7662314
11,0.76627934
12,0.7661631
13,0.76641196
14,0.76685417
15,0.7666534
16,0.7663615
17,0.7666667
18,0.7677325
19,0.76822007
20,0.7681626
21,0.7684699
22,0.76918113
23,0.7696404
24,0.76955795
25,0.7696224
26,0.7701429
27,0.77106357
28,0.7715557
29,0.77166414
30,0.77190036
31,0.7724041
32,0.77266496
33,0.7730002
34,0.7735947
35,0.7742014
36,0.774789
37,0.7755042
38,0.7760515
39,0.7763982
40,0.776591
41,0.77709544
42,0.77771556
43,0.7781296
44,0.7783414
45,0.778786
46,0.77946377
47,0.7798453
48,0.78014237
49,0.7804861
50,0.7810204
51,0.7814178
52,0.7817481
53,0.78211266
54,0.7826581
55,0.7833382
56,0.7837049
57,0.7840777
58,0.7844864
59,0.7850389
60,0.7854825
61,0.7859062
62,0.7863399
63,0.7868434
64,0.7873463
65,0.7877742
66,0.78816277
67,0.78867525
68,0.7891533
69,0.78958994
70,0.7900858
71,0.7905729
72,0.7909644
73,0.79134995
74,0.79180115
75,0.79229045
76,0.7926178
77,0.7928578
78,0.7932403
79,0.7936302
80,0.79393506
81,0.7940806
82,0.79458636
83,0.7950557
84,0.79525113
85,0.79545957
86,0.79589546
87,0.79643095
88,0.7965791
89,0.79668844
90,0.7969156
91,0.79736924
92,0.7976098
93,0.7975654
94,0.797827
95,0.79829425
96,0.7983563
97,0.7983775
98,0.7986778
99,0.79912466
100,0.7992814
101,0.79939175
102,0.7994784
103,0.79983896
104,0.80009353
105,0.8002694
106,0.8005679
107,0.8010693
108,0.80171955
109,0.80219394
110,0.80257314
111,0.803197
112,0.8037162
113,0.8040429
114,0.8050144
115,0.805952
116,0.80638856
117,0.80742854
118,0.8087031
119,0.80949116
120,0.81035113
121,0.8114926
122,0.812546
123,0.8131482
124,0.8136961
125,0.8145644
126,0.8156402
127,0.81636167
128,0.8168903
129,0.81772643
130,0.81862944
131,0.8192691
132,0.81942976
133,0.81968963
134,0.8203142
135,0.8207387
136,0.8208338
137,0.82107383
138,0.8217622
139,0.82229686
140,0.8224485
141,0.8229115
142,0.82363033
143,0.8240855
144,0.82449865
145,0.82506543
146,0.82565093
147,0.826084
148,0.8264632
149,0.82696027
150,0.8275067
151,0.82792664
152,0.82828844
153,0.82858044
154,0.8289025
155,0.829265
156,0.829087
157,0.8289133
158,0.829201
159,0.8291261
160,0.8287175
161,0.8286304
162,0.82823247
163,0.82764757
164,0.8273121
165,0.82722414
166,0.82698274
167,0.8265375
168,0.82639784
169,0.8264415
170,0.8262266
171,0.8259267
172,0.8258672
173,0.8258666
174,0.82587373
175,0.82582676
176,0.82576513
177,0.82588166
178,0.8260412
179,0.82602787
180,0.826214
181,0.82651
182,0.8267076
183,0.826675
184,0.82696193
185,0.8273364
186,0.8272326
187,0.8271894
188,0.82745147
189,0.8274672
190,0.8273126
191,0.82734203
192,0.82747185
193,0.8275041
194,0.82745117
195,0.8274779
196,0.82753015
197,0.82759374
198,0.8274601
199,0.82744503
200,0.82746947
201,0.8276198
202,0.8275216
203,0.8275243
204,0.82768524
205,0.8279091
206,0.82774943
207,0.82778096
208,0.82786345
209,0.82808137
210,0.8279277
211,0.8280057
212,0.8282025
213,0.82831925
214,0.8282225
215,0.82835495
216,0.8284325
217,0.82855535
218,0.82868767
219,0.82873523
220,0.8287415
221,0.8288077
222,0.82904273
223,0.829108
224,0.829131
225,0.8292636
226,0.829463
227,0.8295302
228,0.82948977
229,0.82944566
230,0.82953
231,0.82955724
232,0.8295307
233,0.8295094
234,0.8295553
235,0.8295656
236,0.82954276
