,0
0,1.8687074
1,1.8685818
2,1.8688143
3,1.8693047
4,1.8693956
5,1.8692682
6,1.8689449
7,1.8685055
8,1.8682995
9,1.8695993
10,1.8705258
11,1.8701551
12,1.869767
13,1.8703938
14,1.871089
15,1.8705168
16,1.8699343
17,1.8703742
18,1.8720404
19,1.872762
20,1.8724093
21,1.87254
22,1.873404
23,1.8739411
24,1.8733289
25,1.8728936
26,1.8734279
27,1.8747102
28,1.8751733
29,1.8749325
30,1.8748993
31,1.8756273
32,1.8763975
33,1.8767521
34,1.8770549
35,1.877614
36,1.8779953
37,1.8781154
38,1.8785017
39,1.8789419
40,1.8795452
41,1.8798876
42,1.8801696
43,1.8806152
44,1.8811598
45,1.8815267
46,1.8816864
47,1.882039
48,1.8823394
49,1.8827156
50,1.882995
51,1.8833303
52,1.8835953
53,1.8838725
54,1.8842632
55,1.8843639
56,1.8845496
57,1.8846025
58,1.8848763
59,1.8850371
60,1.8851787
61,1.8852686
62,1.8854709
63,1.8856506
64,1.8856666
65,1.8857036
66,1.8858452
67,1.8858345
68,1.8857939
69,1.8858612
70,1.8858486
71,1.8857746
72,1.885738
73,1.8857322
74,1.8856764
75,1.8851433
76,1.8848549
77,1.8850148
78,1.8849201
79,1.8845699
80,1.8843615
81,1.8846295
82,1.8844212
83,1.8839864
84,1.8837929
85,1.8837664
86,1.8835084
87,1.8828722
88,1.8826494
89,1.8826661
90,1.8826158
91,1.8821381
92,1.8818305
93,1.8819708
94,1.8817995
95,1.8812535
96,1.8809793
97,1.8808908
98,1.8806243
99,1.880127
100,1.8798726
101,1.879674
102,1.8794779
103,1.8789611
104,1.8786106
105,1.8787353
106,1.8786991
107,1.8780867
108,1.8769181
109,1.8762822
110,1.8760794
111,1.8752043
112,1.8742802
113,1.8739079
114,1.8724939
115,1.8709393
116,1.870229
117,1.868942
118,1.8672209
119,1.8659954
120,1.8647747
121,1.863332
122,1.8619275
123,1.8611821
124,1.8605745
125,1.8594756
126,1.8579319
127,1.8569486
128,1.8563495
129,1.8552151
130,1.8539429
131,1.853127
132,1.8528223
133,1.8522954
134,1.8513689
135,1.8509116
136,1.8508447
137,1.8504102
138,1.8495607
139,1.8490417
140,1.8488988
141,1.848233
142,1.8473165
143,1.8468415
144,1.8463076
145,1.8455039
146,1.8447618
147,1.8442056
148,1.8436624
149,1.8429637
150,1.8421564
151,1.8415251
152,1.8409902
153,1.840557
154,1.8400642
155,1.8394952
156,1.8398985
157,1.8402967
158,1.8398528
159,1.8397708
160,1.8402891
161,1.8404562
162,1.8411443
163,1.8419507
164,1.8423302
165,1.8427355
166,1.8433645
167,1.843945
168,1.8440919
169,1.8442107
170,1.8446921
171,1.8452132
172,1.8453691
173,1.8455098
174,1.84562
175,1.8458096
176,1.8460045
177,1.8459011
178,1.8456627
179,1.845716
180,1.8453777
181,1.8447877
182,1.8443239
183,1.8444337
184,1.8438404
185,1.8429537
186,1.8431596
187,1.8432577
188,1.8426114
189,1.8423012
190,1.8423939
191,1.8422165
192,1.8418348
193,1.8415358
194,1.8413858
195,1.8412127
196,1.8409724
197,1.8405799
198,1.8406261
199,1.8405378
200,1.840296
201,1.8396893
202,1.8395636
203,1.8393693
204,1.8388395
205,1.8381218
206,1.838079
207,1.8377718
208,1.837281
209,1.8365239
210,1.8364849
211,1.8360722
212,1.8353524
213,1.8346585
214,1.8343711
215,1.8337882
216,1.8334537
217,1.8329543
218,1.8323175
219,1.8318615
220,1.8315493
221,1.8311085
222,1.830386
223,1.8299752
224,1.829629
225,1.8291793
226,1.8286333
227,1.8282354
228,1.8277638
229,1.8273194
230,1.8269284
231,1.8265995
232,1.8261714
233,1.8257349
234,1.8254201
235,1.8251064
236,1.8247018
