,0
0,14.446877
1,14.41696
2,14.391628
3,14.353158
4,14.334947
5,14.324701
6,14.3423
7,14.351381
8,14.356751
9,14.368739
10,14.383549
11,14.397899
12,14.371621
13,14.364039
14,14.36408
15,14.3074875
16,14.288773
17,14.27248
18,14.312928
19,14.347917
20,14.359277
21,14.426386
22,14.393431
23,14.401408
24,14.398291
25,14.403826
26,14.406203
27,14.422075
28,14.416525
29,14.425709
30,14.353198
31,14.338631
32,14.322376
33,14.358616
34,14.385201
35,14.402777
36,14.417502
37,14.416072
38,14.415984
39,14.435681
40,14.450199
41,14.464198
42,14.48685
43,14.480501
44,14.485963
45,14.490329
46,14.479361
47,14.4640665
48,14.494194
49,14.51792
50,14.525936
51,14.530554
52,14.5162735
53,14.526775
54,14.571535
55,14.558549
56,14.575945
57,14.590822
58,14.616185
59,14.626167
60,14.642353
61,14.642634
62,14.648927
63,14.659416
64,14.637667
65,14.640677
66,14.651488
67,14.641753
68,14.64365
69,14.672135
70,14.673977
71,14.684905
72,14.691752
73,14.688028
74,14.686553
75,14.64957
76,14.630239
77,14.62853
78,14.599716
79,14.516334
80,14.489263
81,14.521778
82,14.539858
83,14.542006
84,14.561313
85,14.56591
86,14.581798
