,0
0,1.8687057
1,1.8685784
2,1.8688102
3,1.8692994
4,1.8693876
5,1.8692563
6,1.8689296
7,1.8684859
8,1.8682777
9,1.8695656
10,1.8704696
11,1.8700867
12,1.869683
13,1.8702881
14,1.8709521
15,1.8703301
16,1.869704
17,1.8701049
18,1.8718164
19,1.8725423
20,1.8720901
21,1.8721014
22,1.8729488
23,1.8734725
24,1.8728018
25,1.8722093
26,1.8726294
27,1.8739953
28,1.8744135
29,1.8740311
30,1.8738885
31,1.8745002
32,1.8751652
33,1.8753036
34,1.8753664
35,1.8758174
36,1.8758247
37,1.8755853
38,1.8757167
39,1.8762915
40,1.8769494
41,1.8772154
42,1.8773522
43,1.8777959
44,1.878309
45,1.8782878
46,1.8782895
47,1.8786904
48,1.8797175
49,1.880806
50,1.8813457
51,1.8813037
52,1.8815706
53,1.8823149
54,1.8826747
55,1.8825464
56,1.8828592
57,1.8833096
58,1.8837044
59,1.883918
60,1.8844929
61,1.8852086
62,1.885727
63,1.8857948
64,1.8858318
65,1.886332
66,1.8868594
67,1.8868673
68,1.8869075
69,1.887671
70,1.8882611
71,1.8883617
72,1.8885046
73,1.8890376
74,1.8895884
75,1.8887348
76,1.8877833
77,1.887954
78,1.8872404
79,1.8860658
80,1.8858559
81,1.8877623
82,1.8887398
83,1.887929
84,1.8874435
85,1.8883102
86,1.888982
