,0
0,0.45697188
1,0.44557375
2,0.43673843
3,0.4246605
4,0.41862577
5,0.41431612
6,0.42359227
7,0.41309205
8,0.40808386
9,0.42854062
10,0.41286272
11,0.40397328
12,0.39723995
13,0.38828042
14,0.38400882
15,0.400747
16,0.3909698
17,0.38451076
18,0.401483
19,0.3855984
20,0.37669018
21,0.36711654
22,0.3599319
23,0.35559657
24,0.36427703
25,0.35815698
26,0.35353658
27,0.36369294
28,0.35047826
29,0.34512368
30,0.3672653
31,0.35440674
32,0.34468013
33,0.3431145
34,0.3329393
35,0.3271083
36,0.3437772
37,0.33614436
38,0.33064762
39,0.31476608
40,0.3078744
41,0.30312964
42,0.30691397
43,0.29977828
44,0.29543912
45,0.30068848
46,0.29563192
47,0.29155064
48,0.29781485
49,0.29241005
50,0.28787604
51,0.27391505
52,0.2692967
53,0.26594427
54,0.27068093
55,0.2663761
56,0.2627947
57,0.25612822
58,0.25240928
59,0.24897079
60,0.25091377
61,0.24700166
62,0.24364199
63,0.23851544
64,0.23471229
65,0.23165913
66,0.23114428
67,0.2278737
68,0.224782
69,0.22618616
70,0.22266802
71,0.21943341
72,0.21969785
73,0.21629395
74,0.21308935
75,0.22150892
76,0.21430723
77,0.2095945
78,0.21004188
79,0.20650369
80,0.20342284
81,0.19939114
82,0.19407934
83,0.1904288
84,0.18630713
85,0.18296109
86,0.18007395
