,0
0,0.7647124
1,0.76466924
2,0.7645705
3,0.7644769
4,0.7646213
5,0.76482636
6,0.7648518
7,0.7648594
8,0.7649625
9,0.7656606
10,0.7662129
11,0.7662592
12,0.7661385
13,0.76638407
14,0.7668249
15,0.7666206
16,0.7663232
17,0.7666243
18,0.7676887
19,0.7681744
20,0.7681126
21,0.7684154
22,0.7691233
23,0.76957923
24,0.76949066
25,0.76954895
26,0.7700638
27,0.7709856
28,0.7714757
29,0.7715788
30,0.7718085
31,0.77231175
32,0.7725686
33,0.7728984
34,0.7734857
35,0.77409154
36,0.77468514
37,0.7753986
38,0.7759459
39,0.77628314
40,0.7764684
41,0.7769676
42,0.7775887
43,0.77799606
44,0.77820164
45,0.77864003
46,0.7793219
47,0.7796963
48,0.7799925
49,0.7803241
50,0.7808551
51,0.78124833
52,0.7815733
53,0.7819289
54,0.7824715
55,0.7831516
56,0.7835136
57,0.7838827
58,0.7842846
59,0.7848371
60,0.78527457
61,0.78569263
62,0.78612024
63,0.78662133
64,0.7871234
65,0.78754735
66,0.7879342
67,0.7884479
68,0.78892374
69,0.78935444
70,0.7898528
71,0.7903424
72,0.7907284
73,0.791108
74,0.79156035
75,0.7920582
76,0.79237914
77,0.7926089
78,0.7929901
79,0.7933862
80,0.7936898
81,0.79382676
82,0.7943342
83,0.7948066
84,0.7950032
85,0.7952003
86,0.7956344
