,0
0,0.9859403
1,0.97200316
2,0.9623439
3,0.9527883
4,0.9420462
5,0.93135786
6,0.9214146
7,0.91148823
8,0.9014122
9,0.89127797
10,0.8812177
11,0.87126094
12,0.8613277
13,0.85146767
14,0.8416602
15,0.83190924
16,0.82231134
17,0.81278914
18,0.8032916
19,0.7938362
20,0.78443813
21,0.77507395
22,0.7657035
23,0.7564309
24,0.7473572
25,0.73832965
26,0.7293088
27,0.72019273
28,0.7111327
29,0.7022252
30,0.69341326
31,0.68465656
32,0.675922
33,0.6673043
34,0.6587315
35,0.6501961
36,0.64169574
37,0.63325787
38,0.62487984
39,0.6166115
40,0.60835004
41,0.60014397
42,0.591957
43,0.5838321
44,0.5757849
45,0.5677561
46,0.55978376
47,0.55188227
48,0.54404145
49,0.5362439
50,0.5285058
51,0.52089334
52,0.5133303
53,0.50579786
54,0.4983118
55,0.49088764
56,0.48352298
57,0.47622037
58,0.46895516
59,0.4617599
60,0.45463952
61,0.44756195
62,0.4405357
63,0.433581
64,0.4266775
65,0.41982985
66,0.41301414
67,0.40625927
68,0.399578
69,0.39295372
70,0.38637695
71,0.37986922
72,0.37340876
73,0.36702636
74,0.3607138
75,0.35447016
76,0.34832644
77,0.34226847
78,0.33626494
79,0.33026853
80,0.32438695
81,0.31852293
82,0.31270418
83,0.30698264
84,0.3012909
85,0.2957015
86,0.29019657
