,0
0,0.0
1,-2.2999339e-36
2,-2.5076282e-35
3,1.38363225e-33
4,-1.3749054e-33
5,7.514537e-32
6,-6.143405e-32
7,5.9061586e-33
8,3.3223357e-33
9,4.0927425e-32
10,-3.4909414e-32
11,-2.9069117e-32
12,2.9104285e-32
13,-9.7358564e-33
14,2.7136278e-32
15,3.8572426e-33
16,-1.7755196e-32
17,4.3484346e-33
18,6.8236394e-31
19,3.7686843e-31
20,1.3660126e-33
21,6.37828e-31
22,-1.5107917e-31
23,-5.3891285e-32
24,-3.2428178e-32
25,-2.2381807e-31
26,-3.8408194e-31
27,9.085259e-32
28,-6.2628094e-32
29,-6.246258e-32
30,1.1516562e-32
31,2.0249608e-32
32,3.3893408e-32
33,-1.0195023e-30
34,-4.3478497e-30
35,-8.8103426e-30
36,-8.558111e-30
37,-5.4205603e-30
38,1.1997035e-30
39,2.192396e-28
40,1.8913653e-28
41,3.3612593e-28
42,-4.6461404e-28
43,-8.073078e-28
44,-1.1459949e-27
45,-1.760197e-28
46,-1.393037e-28
47,-4.948904e-28
48,-3.5314025e-27
49,-2.014254e-27
50,-7.6784237e-28
51,1.2750603e-27
52,2.560218e-27
53,1.6433329e-27
54,-6.435545e-28
55,-2.3952037e-28
56,-2.6536541e-28
57,-1.3913009e-27
58,-1.0395102e-27
59,-8.714876e-28
60,-6.1215452e-27
61,-4.477744e-27
62,-3.858037e-27
63,1.4795789e-27
64,-3.6100636e-27
65,-5.9107772e-27
66,-4.545063e-27
67,-4.861142e-27
68,-3.1265963e-27
69,4.174352e-29
70,-7.145005e-28
71,-1.2046047e-27
72,5.596707e-28
73,-8.221375e-28
74,-2.2852114e-27
75,4.252705e-27
76,8.671248e-28
77,-4.8134425e-28
78,-2.3352911e-26
79,-6.062876e-26
80,-8.796277e-26
81,-1.1820711e-25
82,-4.3964303e-26
83,-2.075668e-26
84,3.3044178e-27
85,7.616323e-27
86,8.9054515e-27
