,0
0,0.45697188
1,0.4455706
2,0.4367364
3,0.4246631
4,0.41864774
5,0.41436788
6,0.42363417
7,0.41321072
8,0.40829656
9,0.42880535
10,0.4132867
11,0.4046574
12,0.39769265
13,0.388915
14,0.38488773
15,0.4022725
16,0.39298284
17,0.38720006
18,0.40483487
19,0.38933012
20,0.3807381
21,0.37004328
22,0.3636615
23,0.35948083
24,0.37185088
25,0.36619785
26,0.36234477
27,0.3746553
28,0.36034524
29,0.35484034
30,0.38099867
31,0.36888367
32,0.35985586
33,0.35989466
34,0.34985903
35,0.34414732
36,0.3671288
37,0.36130387
38,0.35653073
39,0.333039
40,0.32580537
41,0.32185867
42,0.33504358
43,0.32744828
44,0.32256112
45,0.3372706
46,0.33170587
47,0.32762522
48,0.34178212
49,0.33720413
50,0.33354282
51,0.30593494
52,0.3015603
53,0.2989445
54,0.315683
55,0.31048912
56,0.30669966
57,0.29092187
58,0.28766105
59,0.2845611
60,0.29571614
61,0.29226637
62,0.2894354
63,0.28036106
64,0.27587214
65,0.2734169
66,0.2750651
67,0.27120546
68,0.26852903
69,0.28197512
70,0.27608892
71,0.2724195
72,0.27816355
73,0.27418572
74,0.2712893
75,0.32516825
76,0.31402782
77,0.30403334
78,0.30435008
79,0.29294333
80,0.28551677
81,0.26452938
82,0.25706014
83,0.2522793
84,0.23446454
85,0.22902279
86,0.225994
