,0
0,14.446877
1,14.41696
2,14.391628
3,14.353158
4,14.334948
5,14.324701
6,14.3423
7,14.351381
8,14.3567505
9,14.368738
10,14.38355
11,14.397899
12,14.371622
13,14.364039
14,14.364079
15,14.30749
16,14.288774
17,14.272484
18,14.312931
19,14.347917
20,14.359278
21,14.426384
22,14.393434
23,14.401407
24,14.398293
25,14.403823
26,14.406204
27,14.4220705
28,14.416527
29,14.425707
30,14.353201
31,14.338632
32,14.322381
33,14.358617
34,14.385199
35,14.402773
36,14.4175005
37,14.416069
38,14.414936
39,14.435816
40,14.450315
41,14.46412
42,14.486786
43,14.480452
44,14.485924
45,14.480987
46,14.46654
47,14.458184
48,14.494034
49,14.516035
50,14.524871
51,14.527479
52,14.515799
53,14.524706
54,14.554431
55,14.561371
56,14.569601
57,14.590876
58,14.614737
59,14.623813
60,14.640408
61,14.641161
62,14.6473875
63,14.657419
64,14.637118
65,14.639144
66,14.649809
67,14.63815
68,14.642172
69,14.670602
70,14.672093
71,14.682742
72,14.688719
73,14.683226
74,14.681339
75,14.645647
76,14.628126
77,14.628416
78,14.600715
79,14.517868
80,14.489808
81,14.521889
82,14.539471
83,14.54288
84,14.560212
85,14.565454
86,14.5810175
