,0
0,-6.92e-43
1,-1.8217045e-38
2,-3.019682e-36
3,5.579652e-34
4,3.488517e-32
5,2.3259935e-31
6,-2.1058995e-31
7,-4.4862855e-31
8,-9.157931e-31
9,-1.067755e-30
10,2.5383364e-30
11,1.3959103e-29
12,-6.4315768e-31
13,-1.0604255e-29
14,-1.2268582e-29
15,-1.2722938e-29
16,-1.2715727e-29
17,-2.1209282e-29
18,4.5283714e-29
19,1.8310765e-29
20,5.097409e-31
21,-1.070152e-28
22,1.4851025e-29
23,3.0136452e-29
24,6.733853e-29
25,4.6410407e-29
26,2.671949e-29
27,4.181803e-29
28,1.7377279e-29
29,-7.206155e-31
30,-7.20872e-30
31,6.5503834e-30
32,5.066516e-30
33,1.5246555e-30
34,-2.1483796e-31
35,9.590898e-31
36,-4.1320347e-31
37,-8.021036e-31
38,6.803682e-30
39,-2.2221816e-30
40,-3.2647994e-29
41,-1.1672191e-28
42,-1.6668497e-30
43,-6.1413615e-29
44,4.1852013e-29
45,-1.7368645e-28
46,-2.0745638e-28
47,-1.9210591e-28
48,-2.5586287e-28
49,-1.9995768e-29
50,2.6426231e-28
51,-6.1975613e-29
52,-2.4224174e-28
53,4.161398e-28
54,9.911211e-28
55,-2.323977e-29
56,-9.417583e-28
57,-4.107247e-28
58,-3.0545535e-29
59,3.301755e-30
60,3.1184203e-30
61,-6.871935e-30
62,-7.739212e-30
63,-7.9653737e-28
64,-1.5366393e-27
65,-1.978249e-27
66,-2.282258e-27
67,-1.2128327e-27
68,-6.342368e-28
69,-1.3317125e-27
70,-9.27346e-28
71,-5.886178e-28
72,-3.6338364e-28
73,-1.9387639e-28
74,-1.1456938e-28
75,-2.000375e-28
76,-1.9866002e-28
77,-1.2444579e-28
78,1.2206899e-28
79,1.392287e-28
80,9.1026136e-29
81,-8.391888e-29
82,-2.748398e-29
83,-2.191179e-28
84,-1.356382e-28
85,-1.3627742e-28
86,-5.430955e-29
