,0
0,1.8687057
1,1.8685766
2,1.8687979
3,1.8692834
4,1.8693753
5,1.8692358
6,1.8689156
7,1.8685024
8,1.8683078
9,1.8695421
10,1.8703966
11,1.8700175
12,1.8696442
13,1.8702345
14,1.8708597
15,1.8702487
16,1.8696418
17,1.8700213
18,1.8716904
19,1.872376
20,1.8719404
21,1.8719642
22,1.8727812
23,1.873266
24,1.8725784
25,1.8719984
26,1.872391
27,1.8737333
28,1.8740807
29,1.8736714
30,1.8735241
31,1.8741224
32,1.8747016
33,1.8747702
34,1.874824
35,1.8752695
36,1.8751612
37,1.8747524
38,1.8747892
39,1.87568
40,1.8763149
41,1.8762571
42,1.8763748
43,1.8769963
44,1.8774335
45,1.8771448
46,1.8770325
47,1.8775146
48,1.8789802
49,1.8800476
50,1.880392
51,1.8802941
52,1.8806994
53,1.8814199
54,1.8815529
55,1.8814362
56,1.8817954
57,1.8822689
58,1.8824613
59,1.8825674
60,1.8834243
61,1.8843355
62,1.8846757
63,1.8844769
64,1.8846718
65,1.8852836
66,1.8856506
67,1.8855513
68,1.8856424
69,1.8864597
70,1.8870447
71,1.8870163
72,1.8871431
73,1.8877358
74,1.8882421
75,1.8875225
76,1.8867077
77,1.886783
78,1.8859085
79,1.8847141
80,1.8844905
81,1.886643
82,1.8880076
83,1.8875204
84,1.8866343
85,1.8874474
86,1.8885932
