,0
0,0.7648987
1,0.76512754
2,0.7651852
3,0.76524615
4,0.76545113
5,0.7656605
6,0.7657613
7,0.76586604
8,0.76606536
9,0.7662749
10,0.7664168
11,0.76655835
12,0.7667608
13,0.7669717
14,0.76714134
15,0.76731026
16,0.7675204
17,0.7677389
18,0.76794076
19,0.76814336
20,0.76836705
21,0.7685986
22,0.7688202
23,0.76904243
24,0.76927763
25,0.76951855
26,0.7697556
27,0.77000076
28,0.770255
29,0.77050775
30,0.7707551
31,0.77100843
32,0.77127045
33,0.7715366
34,0.7717998
35,0.77206314
36,0.7723367
37,0.77261394
38,0.772886
39,0.7731557
40,0.77343184
41,0.77371264
42,0.7739935
43,0.77427346
44,0.77455527
45,0.7748431
46,0.7751319
47,0.7754177
48,0.7757055
49,0.7759975
50,0.7762895
51,0.7765805
52,0.77687275
53,0.7771674
54,0.7774655
55,0.7777632
56,0.7780594
57,0.77835673
58,0.77865577
59,0.778956
60,0.77925503
61,0.77955496
62,0.77985644
63,0.78015935
64,0.7804622
65,0.7807646
66,0.7810685
67,0.78137386
68,0.78167844
69,0.78198314
70,0.7822892
71,0.78259575
72,0.7829003
73,0.7832053
74,0.78351176
75,0.7838088
76,0.7841049
77,0.78440964
78,0.7847131
79,0.78500986
80,0.7853085
81,0.78561646
82,0.7859233
83,0.78622186
84,0.78651834
85,0.78682095
86,0.78712475
87,0.787414
88,0.7877021
89,0.78800213
90,0.7883031
91,0.7885941
92,0.78888434
93,0.78918123
94,0.78947854
95,0.78976953
96,0.790055
97,0.79034424
98,0.79063773
99,0.79092324
100,0.7912071
101,0.7914983
102,0.7917875
103,0.79207206
104,0.792359
105,0.79264987
106,0.7929394
107,0.7932271
108,0.79350936
109,0.79379374
110,0.79408395
111,0.7943682
112,0.79464865
113,0.79493463
114,0.79521966
115,0.7955012
116,0.79578257
117,0.7960674
118,0.79635197
119,0.79663646
120,0.7969195
121,0.79720616
122,0.79749763
123,0.7977832
124,0.79806745
125,0.7983578
126,0.79864943
127,0.79893744
128,0.79922706
129,0.7995241
130,0.7998216
131,0.8001145
132,0.8003981
133,0.80068564
134,0.8009808
135,0.801269
136,0.8015507
137,0.80183846
138,0.8021308
139,0.8024182
140,0.8027019
141,0.8029902
142,0.8032798
143,0.8035626
144,0.8038419
145,0.8041212
146,0.80439776
147,0.8046655
148,0.80493
149,0.80519676
150,0.8054606
151,0.80571777
152,0.8059733
153,0.80623186
154,0.80648756
155,0.80673635
156,0.80698144
157,0.80722505
158,0.8074669
159,0.80770135
160,0.8079318
161,0.8081619
162,0.8083903
163,0.8086123
164,0.80882955
165,0.8090423
166,0.80925286
167,0.80945945
168,0.80965865
169,0.8098534
170,0.8100468
171,0.8102345
172,0.81041485
173,0.810591
174,0.81077397
175,0.8109514
176,0.8111136
177,0.8112757
178,0.8114383
179,0.81158864
180,0.81172794
181,0.8118617
182,0.811991
183,0.8121145
184,0.8122278
185,0.81233364
186,0.81244427
187,0.81254953
188,0.81263995
189,0.812724
190,0.81280935
191,0.81289
192,0.8129674
193,0.8130386
194,0.8131025
195,0.8131706
196,0.8132345
197,0.81328654
198,0.81333745
199,0.81338817
200,0.8134324
201,0.81347173
202,0.81350833
203,0.8135422
204,0.8135809
205,0.8136144
206,0.81363803
207,0.81365913
208,0.813681
209,0.8136969
210,0.813705
211,0.81370896
212,0.8137124
213,0.81371635
214,0.81371397
215,0.8137052
216,0.8137053
217,0.8137036
218,0.81368905
219,0.8136766
220,0.8136682
221,0.8136531
222,0.8136413
223,0.81362873
224,0.8136104
225,0.81359625
226,0.8135817
227,0.8135602
228,0.81353706
229,0.8135153
230,0.81349105
231,0.8134612
232,0.8134287
233,0.8133971
234,0.8133726
235,0.81334275
236,0.81330496
237,0.8132764
238,0.8132506
239,0.81321484
240,0.81318223
241,0.81315345
242,0.81312037
243,0.8130827
244,0.81304514
245,0.8130095
246,0.8129737
247,0.8129332
248,0.8128906
249,0.8128613
250,0.81283045
251,0.8127876
252,0.8127537
253,0.81272626
254,0.81268996
