,0
0,1.869309
1,1.8695512
2,1.8696246
3,1.8697023
4,1.869925
5,1.870155
6,1.8702853
7,1.8704207
8,1.8706458
9,1.8708837
10,1.8710623
11,1.871241
12,1.8714783
13,1.8717248
14,1.8719347
15,1.872147
16,1.872396
17,1.8726506
18,1.8728936
19,1.8731376
20,1.8733952
21,1.8736619
22,1.873921
23,1.8741753
24,1.8744395
25,1.8747078
26,1.8749688
27,1.8752341
28,1.8755028
29,1.8757653
30,1.8760245
31,1.8762844
32,1.8765422
33,1.8768008
34,1.8770547
35,1.8773015
36,1.8775553
37,1.8778073
38,1.8780456
39,1.8782837
40,1.8785231
41,1.8787534
42,1.8789814
43,1.8792062
44,1.8794229
45,1.8796397
46,1.8798528
47,1.8800546
48,1.8802546
49,1.8804524
50,1.8806403
51,1.8808234
52,1.8810022
53,1.8811729
54,1.8813446
55,1.88151
56,1.881663
57,1.881814
58,1.8819623
59,1.8820999
60,1.8822324
61,1.8823612
62,1.8824809
63,1.8825963
64,1.8827059
65,1.8828058
66,1.8829033
67,1.8829951
68,1.883076
69,1.8831551
70,1.88323
71,1.8832929
72,1.8833544
73,1.8834121
74,1.8834579
75,1.8835003
76,1.8835393
77,1.8835689
78,1.883594
79,1.8836143
80,1.8836257
81,1.8836346
82,1.8836379
83,1.8836303
84,1.883621
85,1.8836073
86,1.8835825
87,1.8835554
88,1.8835251
89,1.8834846
90,1.8834407
91,1.8833933
92,1.8833364
93,1.883275
94,1.8832097
95,1.8831358
96,1.8830597
97,1.8829783
98,1.882887
99,1.8827934
100,1.8826962
101,1.8825891
102,1.8824794
103,1.8823668
104,1.8822452
105,1.8821186
106,1.8819882
107,1.8818517
108,1.8817158
109,1.8815746
110,1.8814231
111,1.8812733
112,1.8811225
113,1.8809607
114,1.8807982
115,1.880636
116,1.8804646
117,1.8802912
118,1.8801157
119,1.8799336
120,1.8797557
121,1.8795761
122,1.8793857
123,1.8792014
124,1.8790197
125,1.8788273
126,1.8786412
127,1.8784589
128,1.8782669
129,1.8780822
130,1.8779011
131,1.877711
132,1.8775214
133,1.8773353
134,1.8771448
