,0
0,14.491531
1,14.491748
2,14.49204
3,14.4923935
4,14.492811
5,14.493336
6,14.49393
7,14.494635
8,14.495479
9,14.4964905
10,14.497653
11,14.498982
12,14.500528
13,14.502239
14,14.504138
15,14.506188
16,14.508395
17,14.510762
18,14.5131645
19,14.515662
20,14.518231
21,14.520758
22,14.5232935
23,14.525796
24,14.528201
25,14.530528
26,14.532752
27,14.53476
28,14.536658
29,14.538424
30,14.540009
31,14.541472
32,14.542808
33,14.543917
34,14.544972
35,14.545939
36,14.5468235
37,14.547676
38,14.548465
39,14.549064
40,14.549673
41,14.550251
42,14.550764
43,14.551299
44,14.551805
45,14.552218
46,14.552655
47,14.553062
48,14.553342
49,14.553644
50,14.553915
51,14.554159
52,14.554451
53,14.554724
54,14.554959
55,14.555226
56,14.555466
57,14.555526
58,14.555639
59,14.555736
60,14.555724
61,14.555765
62,14.555788
63,14.555811
64,14.555888
65,14.555946
66,14.555952
67,14.556016
68,14.556059
69,14.556052
70,14.556104
71,14.55613
72,14.5560055
73,14.555947
74,14.555877
75,14.555574
76,14.555231
77,14.554823
78,14.554352
79,14.553876
80,14.553383
81,14.552941
82,14.5525255
83,14.552111
84,14.551643
85,14.551192
86,14.550744
87,14.550212
88,14.549643
89,14.549071
90,14.548591
91,14.548079
92,14.547565
93,14.547248
94,14.546812
95,14.546155
96,14.5452795
97,14.544137
98,14.542877
99,14.541639
100,14.54018
101,14.5386915
102,14.537247
103,14.535576
104,14.5338955
105,14.532473
106,14.530699
107,14.528878
108,14.527125
109,14.525053
110,14.523009
111,14.521303
112,14.519237
113,14.517214
114,14.515596
115,14.513542
116,14.511501
117,14.50997
118,14.507877
119,14.505712
120,14.503879
121,14.501392
122,14.498925
123,14.496923
124,14.494342
125,14.491839
126,14.489941
127,14.487377
128,14.485916
129,14.485473
130,14.484803
131,14.484713
132,14.485542
133,14.485518
134,14.485481
135,14.486188
136,14.485943
137,14.48577
138,14.486193
139,14.485617
140,14.485182
141,14.485873
142,14.485936
143,14.486467
144,14.488469
145,14.489986
146,14.492108
147,14.495751
148,14.498347
149,14.501368
