,0
0,0.4401598
1,0.43304864
2,0.42652053
3,0.41615114
4,0.4113625
5,0.40707216
6,0.42100415
7,0.41362235
8,0.40808684
9,0.4213023
10,0.40861008
11,0.39768562
12,0.38559973
13,0.3801319
14,0.37534764
15,0.3940246
16,0.38550606
17,0.37930048
18,0.38105372
19,0.36925077
20,0.36028028
21,0.3473062
22,0.3428063
23,0.33801767
24,0.35252947
25,0.34643623
26,0.34108737
27,0.33587205
28,0.32769364
29,0.32236648
30,0.3557872
31,0.3390714
32,0.32560298
33,0.31473842
34,0.30684415
35,0.30117875
36,0.32023966
37,0.3145556
38,0.30933714
39,0.28231686
40,0.2789162
41,0.27609316
42,0.28498742
43,0.27833375
44,0.27365068
45,0.2862176
46,0.28168154
47,0.2773118
48,0.30163363
49,0.29482386
50,0.2890043
51,0.25317022
52,0.24688306
53,0.2446922
54,0.2644996
55,0.25942442
56,0.25532785
57,0.23975271
58,0.23773275
59,0.23514837
60,0.2491129
61,0.24465089
62,0.24106307
63,0.22929482
64,0.2249674
65,0.22223176
66,0.22637787
67,0.22270884
68,0.21947463
69,0.23027015
70,0.22578084
71,0.22224025
72,0.22724336
73,0.22339967
74,0.22022402
75,0.25261858
76,0.24029179
77,0.23147209
78,0.22453433
79,0.21919921
80,0.21459855
81,0.20049934
82,0.19455102
83,0.1921298
84,0.17992893
85,0.17849965
86,0.17692293
87,0.215265
88,0.20518364
89,0.19785768
90,0.1982876
91,0.19271211
92,0.18842979
93,0.17395009
94,0.16265795
95,0.15615678
96,0.15366846
97,0.15199356
98,0.15037291
99,0.14961053
100,0.1471279
101,0.14510512
102,0.15593092
103,0.15224719
104,0.14967358
105,0.143707
106,0.13544902
107,0.13126375
108,0.15869805
109,0.15121365
110,0.14507855
111,0.16976528
112,0.1630968
113,0.15707485
114,0.16272902
115,0.15796426
116,0.1530862
117,0.1705511
118,0.16505128
119,0.16073444
120,0.16869563
121,0.1629292
122,0.15892614
123,0.14611551
124,0.1368112
125,0.13153023
126,0.12683962
127,0.12332065
128,0.119867235
129,0.13934107
130,0.13593812
131,0.13358802
132,0.13870606
133,0.12928368
134,0.12206756
135,0.17119816
136,0.1654356
137,0.1588899
138,0.14780712
139,0.1433015
140,0.13856001
141,0.11562808
142,0.111365974
143,0.10849824
144,0.09586914
145,0.091667
146,0.08870221
147,0.09595627
148,0.09044444
149,0.087571226
150,0.08012916
151,0.079076156
152,0.07794304
153,0.079345115
154,0.075261086
155,0.07283522
156,0.06423732
157,0.06135574
158,0.059018426
159,0.05509303
160,0.052874252
161,0.05195418
162,0.07847086
163,0.07095877
164,0.065839395
165,0.08374192
166,0.07707495
167,0.07363675
168,0.10811648
169,0.09950993
170,0.093918644
171,0.09223871
172,0.085996255
173,0.08184736
174,0.08451038
175,0.076005034
176,0.07112697
177,0.047995158
178,0.047240067
179,0.046631
180,0.06451896
181,0.057490185
182,0.053850085
183,0.048121076
184,0.047126498
185,0.046884954
186,0.05536403
187,0.046335347
188,0.043278284
189,0.06429456
190,0.06145125
191,0.059803866
192,0.055706788
193,0.04829645
194,0.046883173
195,0.044985652
196,0.042692304
197,0.0416322
198,0.050540496
199,0.04275206
200,0.039945476
201,0.04260531
202,0.03514834
203,0.03389338
204,0.056678157
205,0.050821442
206,0.047849867
207,0.05176427
208,0.04821342
209,0.046547826
210,0.10325332
211,0.09159272
212,0.082063794
213,0.06321622
214,0.055702355
215,0.053372674
216,0.0578776
217,0.045702174
218,0.041140758
219,0.037955265
220,0.03627512
221,0.035888128
