,0
0,0.0
1,-0.0
2,-1.33e-43
3,-9.26768e-40
4,-4.706971e-39
5,1.6061412e-37
6,1.6567145e-36
7,3.4993933e-35
8,2.1113171e-35
9,-1.1511847e-34
10,-3.6873748e-35
11,1.6929892e-34
12,6.6454856e-34
13,1.2028161e-33
14,2.4803412e-33
15,1.6794151e-32
16,6.1353735e-32
17,1.1485336e-31
18,2.2127974e-32
19,8.489105e-33
20,4.5525416e-33
21,-1.6836165e-32
22,-3.2550067e-32
23,-3.376642e-32
24,3.5919867e-33
25,1.2100095e-33
26,7.895288e-34
27,-1.4451568e-33
28,-3.1772497e-34
29,2.1723377e-34
30,-3.6458184e-35
31,3.2831036e-33
32,2.3168702e-33
33,2.0884773e-33
34,3.218088e-33
35,2.231207e-33
36,2.6178048e-33
37,2.7389676e-33
38,2.1948853e-33
39,-1.5979606e-32
40,-2.7443347e-32
41,-3.5814824e-32
42,-5.8273876e-33
43,8.00426e-34
44,3.0278349e-33
45,-4.9031307e-34
46,-1.5765851e-34
47,3.1890923e-34
48,1.5473695e-33
49,4.758575e-33
50,5.426862e-33
51,-1.4326974e-33
52,1.3098001e-33
53,2.050139e-33
54,6.172463e-34
55,4.6864342e-34
56,4.445178e-34
57,8.488493e-35
58,-1.0605987e-34
59,-4.5144553e-34
60,4.679518e-35
61,-2.8479535e-34
62,-6.073726e-34
63,9.045892e-34
64,1.7046128e-33
65,1.6686096e-33
66,2.2261863e-33
67,1.8877828e-33
68,1.6873847e-33
69,9.596397e-34
70,4.581622e-34
71,2.4942489e-34
72,2.221378e-34
73,1.539341e-35
74,-5.083562e-35
75,-3.7720275e-34
76,-1.109599e-33
77,-1.4933618e-33
78,1.001468e-34
79,5.444382e-34
80,5.7550224e-34
81,-5.134747e-34
82,-3.5219273e-34
83,-1.6716318e-34
84,1.3137553e-34
85,5.208216e-34
86,6.954991e-34
87,4.389801e-34
88,6.508749e-34
89,8.5442e-34
90,3.1958904e-34
91,2.0650561e-34
92,2.260544e-34
93,-8.032436e-33
94,-3.2344717e-32
95,-3.2027963e-32
96,-2.5376525e-32
97,-2.7488888e-32
98,-3.1103692e-32
99,-1.4352286e-32
100,-7.257677e-33
101,8.735021e-33
102,9.6989326e-33
103,-2.888685e-33
104,-3.030926e-31
105,-3.1720318e-31
106,6.974253e-31
107,9.469921e-31
108,-1.4054029e-30
109,-3.5181967e-30
110,-2.9746197e-30
111,-3.095188e-30
112,-8.732736e-31
113,-1.0700497e-30
114,-5.4397515e-31
115,1.9208178e-30
116,2.0106974e-30
117,-9.055548e-30
118,-1.6690258e-29
119,-1.1213713e-29
120,-1.2273487e-29
121,-4.6127207e-30
122,-1.9893585e-30
123,9.84255e-30
124,1.0927161e-29
125,1.3253278e-29
126,1.0549429e-29
127,7.7741336e-30
128,6.263559e-30
129,6.72857e-30
130,4.7184637e-30
131,3.8725215e-30
132,8.274477e-31
133,4.0732305e-30
134,4.6239577e-30
135,6.722873e-30
136,3.5283744e-30
137,-2.6525897e-30
138,1.710394e-30
139,3.4674255e-30
140,3.3673768e-30
141,5.3763493e-30
142,1.15945745e-29
143,7.614061e-30
144,-1.4261669e-29
145,2.899372e-29
146,-1.066332e-29
147,-5.410002e-28
148,-6.181712e-28
149,-6.474338e-28
150,-4.037439e-28
151,-6.630288e-28
152,-1.19852e-27
153,2.0783517e-28
154,-3.9598653e-28
155,-9.356471e-28
156,1.0320867e-27
157,8.220263e-28
158,8.531093e-28
159,-2.361505e-28
160,6.580507e-28
161,1.2411329e-27
162,2.1196009e-27
163,2.8674555e-27
164,2.9298602e-27
165,-2.5903245e-27
166,-5.1789493e-27
167,-3.0736896e-27
168,-2.4236426e-27
169,-1.0347994e-27
170,-5.339903e-28
171,2.2239625e-28
172,4.310793e-28
173,6.328641e-28
174,7.2003395e-28
175,7.3223577e-28
176,3.1249422e-28
177,1.1614759e-27
178,1.1216562e-27
179,-4.839502e-27
180,3.506343e-26
181,9.913301e-26
182,2.0458898e-25
183,2.7895e-25
184,1.6492226e-25
185,-2.3086875e-25
186,5.7709158e-27
187,-5.875459e-25
188,-6.3684677e-25
189,-7.9376925e-25
190,-6.580042e-25
191,-7.2734805e-25
192,1.8558059e-25
193,-1.666849e-25
194,-8.161412e-25
195,-9.891505e-25
196,-9.678353e-25
197,-9.797377e-25
198,-3.1505164e-25
199,1.9134072e-26
200,2.3349208e-25
201,1.5301461e-24
202,2.0335038e-24
203,2.9727182e-24
204,2.6384855e-24
205,1.8189927e-24
206,-4.014348e-25
207,-1.0851186e-24
208,-5.968073e-25
209,-1.1618584e-24
210,-1.5934262e-25
211,-6.441798e-25
212,-1.7911964e-24
213,-2.2912522e-24
214,-5.9720865e-24
215,-7.080309e-24
216,-7.829148e-25
217,-1.7697629e-24
218,-4.1315647e-24
219,-5.4233556e-24
220,-3.8704944e-24
221,-3.9662944e-24
222,-5.03505e-25
223,-1.3883615e-25
224,4.2747046e-25
225,2.1532735e-25
226,3.1589213e-25
227,1.9572761e-25
228,2.400111e-25
229,-2.2671342e-26
230,-2.3329696e-25
231,2.3279838e-25
232,6.449346e-26
233,-5.0306395e-25
234,-1.9532304e-24
235,-2.4574037e-24
236,-1.9369685e-24
237,-2.145996e-24
238,-1.1491418e-24
239,-1.52877595e-24
240,-5.922974e-26
241,7.3008204e-25
242,7.8508354e-25
243,8.333071e-25
244,1.6301656e-24
245,4.065416e-24
246,-6.667647e-26
247,-3.5223874e-24
248,-1.2371642e-24
249,7.704181e-24
250,1.3124405e-23
251,1.20421345e-23
252,1.7301747e-23
253,1.8932483e-23
254,1.6260384e-23
255,9.0880334e-24
256,-3.312185e-24
257,-8.91233e-24
258,7.232375e-24
259,1.2808735e-23
260,1.6824109e-23
261,1.9055181e-23
262,1.8403573e-23
263,8.0988294e-24
264,-1.2624749e-23
265,-8.558911e-24
266,-2.9388078e-24
267,-3.3324995e-24
268,-8.306434e-26
269,9.4846e-25
270,-1.752468e-24
271,-3.0747108e-24
272,-9.2570745e-24
273,-6.498867e-25
274,2.8485617e-24
275,5.634717e-24
276,4.056651e-27
277,-1.9592783e-25
278,1.403425e-25
279,-1.3961808e-25
280,-4.8557683e-26
281,-3.3826088e-26
282,-4.97738e-25
283,-2.7673213e-26
284,1.4282589e-26
285,2.238362e-25
286,8.548505e-25
287,2.0442873e-24
288,5.822671e-24
289,9.731187e-24
290,4.5622796e-24
291,7.325915e-24
292,3.9515644e-24
293,2.1465665e-24
294,6.7030887e-25
295,1.1962962e-24
296,1.3793456e-24
297,4.5487534e-25
298,3.4298314e-25
299,1.1515253e-24
300,8.118078e-25
301,-4.545663e-24
302,-1.8243855e-23
303,-6.3800857e-24
304,9.844459e-25
305,1.1660176e-23
306,3.5070058e-23
307,9.2976535e-23
308,1.2441673e-22
309,1.961405e-23
310,-1.4491694e-23
