,0
0,135.85748
1,135.67119
2,135.75266
3,135.92253
4,135.9789
5,136.00409
6,135.85126
7,135.68121
8,135.69199
9,136.59259
10,137.36075
11,137.44514
12,137.17776
13,137.50636
14,138.14381
15,138.00089
16,137.73656
17,138.18495
18,139.29463
19,139.92986
20,140.12958
21,140.5221
22,141.28416
23,141.89412
24,141.5897
25,141.38362
26,141.95511
27,143.43217
28,144.26753
29,144.36392
30,144.5332
31,145.13919
32,145.6269
33,146.32152
34,147.12117
35,147.7356
36,148.55202
37,149.47652
38,150.20544
39,150.30782
40,150.5286
41,151.23763
42,152.13882
43,152.59325
44,152.85931
45,153.6175
46,154.49135
47,154.93127
48,154.97604
49,155.35193
50,156.05461
51,156.45268
52,156.59521
53,156.9599
54,157.81758
55,158.4383
56,158.63156
57,158.71057
58,159.10419
59,159.5804
60,159.80821
61,159.95166
62,160.31029
63,160.86627
64,161.22408
65,161.40956
66,161.80032
67,162.29965
68,162.60913
69,162.89412
70,163.32126
71,163.74857
72,164.0494
73,164.33357
74,164.71765
75,164.57928
76,164.3859
77,164.63695
78,165.10152
79,165.19038
80,165.14937
81,165.64006
82,166.28049
83,166.47308
84,166.45639
85,166.79102
86,167.2756
87,167.04521
88,166.77019
89,167.08511
90,167.60362
91,167.67143
92,167.59459
93,167.87277
94,168.3484
95,168.53165
96,168.4595
97,168.59248
98,168.90237
99,168.87718
100,168.70122
101,168.7827
102,168.89209
103,168.81801
104,168.71217
105,168.67032
106,168.67055
107,168.61954
108,169.02605
109,169.48233
110,169.53891
111,169.99066
112,170.62311
113,170.79395
114,170.2361
115,170.0347
116,170.34138
117,170.58202
118,170.34297
119,170.15552
120,169.6415
121,169.06111
122,168.87263
123,170.49017
124,171.4103
125,170.68709
126,170.21751
127,171.00742
128,171.38707
129,170.02834
130,169.19624
131,169.89557
132,170.78793
133,170.28369
134,169.72017
135,171.18285
136,172.46689
137,171.93503
138,171.62111
139,172.72714
140,173.49658
141,172.98622
142,172.72461
143,173.52657
144,173.92113
145,173.28253
146,173.0732
147,173.66576
148,173.66437
149,172.97195
150,172.60326
151,172.76857
152,172.60046
153,171.36366
154,170.52998
155,170.62466
156,170.19319
157,169.06012
158,168.45819
