,0
0,135.85754
1,135.67139
2,135.75291
3,135.92274
4,135.97902
5,136.00351
6,135.84872
7,135.67496
8,135.68015
9,136.58183
10,137.34781
11,137.41765
12,137.13354
13,137.45277
14,138.07741
15,137.90796
16,137.61653
17,138.04082
18,139.13687
19,139.75972
20,139.93962
21,140.2618
22,140.93912
23,141.49709
24,141.15259
25,140.87988
26,141.34393
27,142.83704
28,143.7092
29,143.75409
30,143.75575
31,144.3603
32,144.92268
33,145.47324
34,146.22263
35,147.02512
36,148.05298
37,149.02979
38,149.81903
39,149.84445
40,149.97072
41,150.69759
42,151.74059
43,152.32285
44,152.65439
45,153.65582
46,154.8027
47,155.37936
48,154.99472
49,155.22366
50,156.26927
51,156.71591
52,156.73933
53,157.22588
54,158.43628
55,159.23851
56,159.4267
57,159.64998
58,160.355
59,161.03075
60,161.19614
61,161.36281
62,161.97803
63,162.82535
64,163.35448
65,163.7055
66,164.37123
67,165.17195
68,165.71011
69,166.04295
70,166.61783
71,167.33684
72,168.12376
73,168.69899
74,169.21017
75,168.46008
76,167.51367
77,167.46155
78,168.01517
79,167.69841
80,166.82295
81,167.28734
82,168.84436
83,169.23402
84,168.60635
85,169.00815
86,170.22275
87,168.55376
88,166.34972
89,166.66954
90,168.71057
91,168.70302
92,167.242
93,167.10219
94,168.21321
95,168.36975
96,168.098
97,168.5785
98,169.39986
99,169.4775
100,169.29704
101,169.71616
102,170.2078
103,170.2266
104,170.15962
105,170.39415
106,170.89067
107,171.13712
108,170.4669
109,169.97131
110,170.15239
111,169.10896
112,167.63445
113,167.37598
114,167.18779
115,165.97224
116,164.77582
117,166.5556
118,168.24358
119,167.36952
120,164.34047
121,163.38007
122,164.23553
123,166.98424
124,167.40436
125,165.9617
126,165.69441
127,166.90985
128,166.83006
129,165.21703
130,164.62827
131,165.33165
132,167.67761
133,168.89684
134,168.68362
135,169.23376
136,170.99084
137,172.19823
138,172.41278
139,172.98169
140,174.36086
141,175.49521
142,175.80127
143,176.31421
144,177.47983
145,178.31296
146,178.60037
147,179.63657
148,179.10995
149,178.60327
150,179.82347
151,179.28226
152,179.3525
153,179.93475
154,178.50424
155,178.73628
156,179.42561
157,179.0945
158,178.4941
159,178.8999
160,179.38092
161,179.09225
162,177.7205
