,0
0,-0.0
1,5.65e-43
2,3.05463e-40
3,-5.453604e-38
4,5.1882984e-37
5,1.14462055e-35
6,5.905594e-35
7,5.0978128e-36
8,-3.8096994e-34
9,1.062852e-33
10,9.657849e-34
11,8.406569e-34
12,-2.8696753e-35
13,-5.8030372e-34
14,-1.1648135e-33
15,3.7745146e-33
16,2.2856977e-33
17,-1.8338487e-35
18,4.6670423e-34
19,5.4281625e-34
20,6.5452122e-34
21,3.7702055e-34
22,-4.4263627e-35
23,-4.354658e-34
24,-7.5800357e-34
25,-8.820625e-34
26,-1.0291966e-33
27,1.13236225e-33
28,1.1893545e-33
29,1.105063e-33
30,1.2541629e-33
31,1.605059e-33
32,1.919738e-33
33,-7.4737155e-34
34,-2.0230105e-33
35,-1.7785163e-33
36,1.6212117e-33
37,5.2098468e-33
38,7.841011e-33
39,1.2531057e-33
40,-3.7278e-33
41,-1.3571937e-32
42,-1.5513623e-33
43,-1.6756457e-33
44,-1.1941038e-34
45,3.0809228e-33
46,1.95734e-34
47,-3.6528071e-34
48,-3.282001e-33
49,-4.4846153e-33
50,-5.27756e-33
51,-3.9778854e-33
52,-1.3523541e-33
53,1.207594e-33
54,2.178947e-32
55,3.55723e-32
56,4.878274e-32
57,1.19966744e-32
58,6.9287685e-33
59,7.892472e-33
60,1.908969e-32
61,4.2121162e-33
62,-6.7167115e-33
63,-6.605619e-33
64,-5.5988924e-33
65,-2.1194951e-33
66,1.2018663e-34
67,3.2471716e-34
68,3.377823e-34
69,9.191489e-34
70,-5.904918e-34
71,-1.1525243e-33
72,-1.0697441e-33
73,-5.6712775e-35
74,3.7343713e-34
75,-5.662746e-34
76,-6.9707395e-35
77,1.2403846e-33
78,1.0392441e-33
79,2.7896843e-34
80,1.1752043e-34
81,1.496546e-34
82,1.2940621e-34
83,1.9386283e-34
84,5.8995536e-34
85,8.361146e-34
86,1.0596109e-33
87,8.851109e-34
88,5.572037e-34
89,3.1928376e-34
90,1.1518615e-33
91,1.02561845e-33
92,5.46634e-34
93,4.5371207e-34
94,5.5545143e-36
95,4.7196576e-34
96,-3.253862e-33
97,-1.5887972e-33
98,6.549936e-33
99,1.7779137e-33
100,-1.0743939e-33
101,-2.5918605e-33
102,4.3108434e-33
103,1.3606012e-32
104,2.259364e-32
105,8.568177e-33
106,6.390127e-33
107,2.8689165e-32
108,9.464677e-32
109,2.8383103e-31
110,3.1508757e-31
111,-6.2990434e-32
112,-1.3845988e-32
113,4.6714798e-32
114,-9.204996e-32
115,-1.1634091e-31
116,-5.681372e-32
117,-3.6032307e-33
118,-5.760583e-32
119,-1.328711e-31
120,-1.1330257e-32
121,5.4402725e-32
122,7.684824e-32
123,1.2469313e-31
124,1.0926635e-31
125,6.8666514e-32
126,7.584819e-33
127,-2.3516114e-32
128,-2.028432e-32
129,-2.6309079e-33
130,-7.633906e-33
131,2.6139906e-32
132,2.1813258e-31
133,2.2952124e-31
134,1.5878135e-31
135,2.1361993e-31
136,3.2504852e-31
137,2.769245e-31
138,2.07897e-31
139,-4.327162e-31
140,-1.1831891e-30
141,9.5919594e-30
142,1.460886e-29
143,1.5134695e-29
144,9.899647e-30
145,1.4238016e-29
146,1.760756e-29
147,2.2533927e-29
148,2.269153e-29
149,1.8710115e-29
150,4.191617e-30
151,-2.2303313e-30
152,-1.828748e-30
153,-1.476434e-31
154,8.409349e-31
155,2.1790987e-30
156,-3.5143487e-31
157,-1.3470166e-30
158,-1.5721168e-30
159,-2.1637863e-31
160,7.433324e-33
161,-1.6195764e-31
162,-7.2643166e-30
163,-9.2191536e-30
164,-8.8499626e-30
165,-1.4979793e-30
166,1.7798482e-29
167,7.0686045e-30
168,5.046744e-29
169,1.5402513e-28
170,2.9424892e-28
171,-1.3882972e-28
172,-2.2880435e-28
173,-1.81745e-28
174,-1.119879e-28
175,7.352179e-28
176,-1.5962868e-27
177,2.0954925e-27
178,1.6686765e-27
179,6.9789774e-28
180,-6.27426e-28
181,3.456401e-27
182,8.445376e-27
183,-7.8084735e-28
184,7.145305e-27
185,1.4727653e-26
186,-9.685124e-27
187,-7.189458e-27
188,1.8002915e-27
189,1.9640243e-27
190,-7.820453e-27
191,-1.4805272e-26
192,-1.198663e-26
193,-2.1772844e-26
194,-3.9257734e-26
195,-1.5551675e-26
196,-8.412689e-27
197,-5.9607378e-27
198,1.0167557e-27
199,-7.5709184e-27
200,-1.38282e-26
201,-9.1803965e-27
202,-5.3142158e-27
203,5.6646176e-27
204,8.568044e-27
205,1.4573658e-26
206,1.8259871e-26
207,-1.2030661e-26
208,-4.73556e-27
209,-7.02211e-27
210,-3.7298182e-26
211,-8.5286575e-26
212,-1.5676621e-25
213,-2.4667153e-25
214,-3.9012914e-25
215,-5.3607994e-25
216,-5.7155206e-25
217,-4.5651795e-25
218,-4.7407666e-25
219,-2.42277e-25
220,-3.7611845e-25
221,-4.1144414e-25
222,-4.449258e-25
223,-3.630223e-25
224,-1.5526193e-25
225,-7.9111045e-26
226,-5.7399485e-26
227,-4.356081e-26
228,-3.329113e-26
229,2.738639e-26
230,4.004845e-26
231,-4.8039688e-27
232,2.1865374e-26
233,7.0770185e-26
234,-3.8994554e-27
235,-1.83842e-26
236,-2.9448523e-26
237,7.929916e-26
238,9.0004426e-26
239,8.319298e-26
240,-1.5599446e-25
241,-2.8086154e-26
242,4.735024e-26
243,6.187677e-26
244,-3.3972948e-26
245,-7.325358e-26
246,1.38008e-25
247,-3.5235893e-26
248,-3.4970968e-26
249,2.1151284e-26
250,5.7764204e-26
251,1.0273107e-26
252,-1.4611294e-26
253,-1.7205343e-26
254,-1.7713454e-26
255,-6.751665e-27
256,-2.886281e-27
257,5.508326e-27
258,6.970326e-27
259,1.7655054e-27
260,2.0695257e-26
261,3.2335547e-26
262,3.1729717e-26
263,1.8132339e-26
264,1.8223417e-26
265,1.3597338e-26
266,1.7724453e-27
267,-3.2588685e-26
268,-2.197745e-26
269,-3.320884e-27
270,2.4970539e-27
271,-1.2945725e-27
272,-2.4017153e-27
273,1.5383178e-27
274,2.82481e-27
275,-3.1491504e-28
276,-5.877963e-26
277,-1.4374504e-25
278,-1.5072313e-25
279,-1.1555625e-25
280,-2.1468263e-26
281,1.5965626e-26
282,-2.4464741e-26
283,-7.749935e-26
284,-1.4975088e-25
285,-1.5958004e-25
286,-1.02228916e-25
