,0
0,3.8769336
1,3.88186
2,3.886705
3,4.577113
4,4.5726137
5,4.567775
6,4.5807037
7,4.5911317
8,4.602599
9,4.596495
10,4.59923
11,4.5997
12,5.312932
13,5.3083925
14,5.303947
15,5.3109193
16,5.323066
17,5.336406
18,4.616201
19,4.614664
20,4.614034
21,4.6030293
22,4.5992074
23,4.5973415
24,4.6114507
25,4.6181173
26,4.6250153
27,4.618608
28,4.6135125
29,4.60902
30,5.341279
31,5.343551
32,5.340411
33,5.3460865
34,4.614051
35,4.6128483
36,4.637822
37,4.6531377
38,4.6653085
39,4.617264
40,4.609694
41,4.607065
42,4.618567
43,4.6245337
44,4.62665
45,4.6471705
46,4.64554
47,4.646792
48,4.6359024
49,4.6308994
50,4.6335793
51,4.633695
52,4.6284766
53,4.6282587
54,4.6519575
55,4.6668916
56,4.6733603
57,5.3249955
58,4.596762
59,4.59636
60,4.6076765
61,4.604387
62,3.9217172
63,3.9333248
64,3.9326532
65,3.9327064
66,3.95033
67,3.949086
68,3.949293
69,3.9729993
70,3.9748523
71,4.6539197
72,4.658806
73,4.651662
74,4.6484084
75,4.0109653
76,4.0336366
77,4.0367107
78,4.0402765
79,4.022838
80,4.016348
81,4.0029154
82,3.9925005
83,3.9887743
84,3.977817
85,3.9640484
86,3.9577076
87,3.9878738
88,4.74302
89,4.7429385
90,4.7273564
91,3.967252
92,3.9606383
93,3.9635365
94,3.962584
95,4.631584
96,4.6196904
97,4.6086626
98,4.6048803
99,4.602562
100,4.598085
101,4.5985627
102,5.2822967
103,6.011917
104,6.0098906
105,5.1991115
106,5.1820235
107,5.1761966
108,5.188098
109,4.466503
110,4.474084
111,4.4767637
112,4.485018
113,4.49105
114,4.498049
115,4.501989
116,4.5069375
117,4.5188136
118,4.5225406
119,3.9211576
120,3.9235451
121,3.9251142
122,3.9274108
123,3.9288528
124,3.9333503
125,3.9395275
126,3.9545717
127,3.9648144
128,3.9727447
129,4.6784105
130,4.6841645
131,4.688984
132,4.6648083
133,4.6688643
134,3.9761343
135,3.9678793
136,3.967788
137,3.9719062
138,3.9895785
139,4.0085545
140,4.7705603
141,4.018868
142,4.021766
143,4.760694
144,3.9845705
145,3.986889
146,3.989778
147,4.6726
148,4.6714835
149,4.671218
150,4.6491413
151,4.6457334
152,4.6460505
153,4.639444
154,4.6404195
155,4.6414156
156,5.3010526
157,3.9370403
158,3.936937
159,3.9369862
160,3.9379587
161,3.9393992
162,3.9435139
163,3.9496884
164,3.9562032
165,4.6305966
166,4.6259084
167,4.6253257
168,4.6108265
169,4.6163807
170,4.6205797
171,4.0340023
172,4.045129
173,4.0548835
174,4.802743
175,4.795685
176,4.7836204
177,4.744721
178,4.742531
179,4.7381516
180,5.362635
181,5.3707843
182,4.6536064
183,3.9853144
184,3.9892707
185,3.9950404
186,5.3481803
187,5.34474
188,5.347091
189,3.9860456
190,4.627151
191,3.9837818
192,4.617375
193,3.9794319
194,3.980546
195,3.9846864
196,3.990873
197,4.729049
198,4.6311593
199,4.641019
200,4.6488595
201,4.649405
202,4.6493998
203,4.651456
204,4.6404166
205,5.3505816
206,5.3522415
207,4.0074124
208,4.000597
209,4.0045586
210,4.0169
211,4.7439504
212,4.7579503
213,4.0439897
214,4.7559557
215,4.759759
216,5.975196
217,5.345704
218,5.9785757
219,5.9820576
220,5.2873063
221,5.2894964
222,5.9756436
223,5.979188
224,5.9841166
225,5.99159
226,5.368579
227,5.37101
228,4.737697
229,4.6623178
230,4.6721005
231,4.052515
232,4.067939
233,4.708494
234,4.6657205
235,4.6723986
236,4.6687026
237,5.9581356
238,5.340576
239,5.332805
240,5.31445
241,5.3304334
242,5.3382607
243,4.669152
244,5.366003
245,5.3742576
246,4.7098994
247,5.415114
248,4.779562
249,5.3554955
250,5.341146
251,5.324457
252,5.9887447
253,5.9771385
254,5.9630756
255,5.9643874
256,5.9644823
257,5.9616356
258,6.022776
259,6.0716023
260,5.3983283
261,4.8056
262,5.506877
263,5.520097
264,4.7303205
265,4.7432704
266,4.746323
267,4.7239723
268,4.731415
269,4.732511
270,4.7426214
271,4.7475867
272,4.7527103
273,4.7468996
274,4.7643247
275,5.459417
276,4.829591
277,5.4962626
278,5.51877
279,5.535055
280,5.534451
281,5.5359993
282,4.804922
283,4.8025284
284,5.475176
285,4.8203874
286,4.814926
287,4.824631
288,5.503459
289,5.5057635
290,5.513838
291,5.5380673
292,5.531823
293,5.529539
294,5.509405
295,5.504256
296,5.4950137
297,4.764596
298,4.763435
299,4.7661858
300,4.767656
301,4.774473
302,4.783332
303,6.17937
304,6.169819
305,6.157721
306,5.450306
307,5.4592113
308,5.4701247
309,5.46998
310,5.4817433
311,4.7910314
312,5.2941437
313,5.282855
314,5.2807117
315,4.520515
316,4.51491
317,4.5129967
318,4.5649147
319,4.0953712
320,4.1190414
321,4.0951796
322,5.216582
323,5.2001896
324,4.4651713
325,4.463292
326,4.470185
327,5.1748095
328,5.191304
329,5.202673
330,5.227047
331,5.235556
332,5.2389355
333,5.242465
334,5.2364397
335,5.23587
336,5.240279
337,5.2486687
338,5.2610445
339,5.7958584
340,5.782111
341,5.773696
342,5.2770033
343,5.296085
344,5.3195324
345,5.3312874
346,5.3511386
347,4.058312
348,4.659596
349,5.2034783
350,5.1981163
351,5.2377577
352,5.9823933
353,5.3720293
354,5.9587765
355,5.942316
356,5.934552
357,5.9398217
358,5.9447956
359,5.947148
360,5.217862
361,5.227298
362,5.245877
363,5.2491026
364,5.258818
365,5.2699566
366,5.3561244
367,5.956196
368,5.250299
369,5.955702
370,5.961192
371,5.971386
372,5.9867873
373,5.990881
374,5.9970527
375,5.9856606
376,5.972759
377,5.965114
378,5.9672084
379,5.9722
380,5.982836
381,5.9981856
382,5.3688836
383,5.370638
384,5.3742127
385,5.3724604
386,5.3750167
387,5.389126
388,5.395831
389,5.402828
390,5.3994284
391,5.398838
392,4.6982093
393,4.688432
394,4.6913114
395,4.70137
396,4.69619
397,5.3997545
398,5.400786
399,5.410245
400,5.4144735
401,4.7046394
402,4.7928534
403,5.4299207
404,4.088797
405,5.402755
406,4.743929
407,5.3901396
408,4.73958
409,5.39021
410,4.0191092
411,4.669164
412,4.017211
413,4.0169
414,4.0151525
415,4.0199413
416,4.023607
417,4.0042167
418,4.6523333
419,3.9997833
420,4.0146966
421,4.0126467
422,4.0206733
423,4.0174203
424,4.0186133
425,4.018483
426,4.009119
427,4.0013895
428,3.9987288
429,4.005373
430,4.006021
431,4.007419
432,4.014311
433,4.0201497
434,4.0228906
435,3.9953723
436,3.9844246
437,3.978214
438,3.981564
