,0
0,85.032906
1,85.00158
2,84.9457
3,84.88926
4,84.89504
5,84.925674
6,84.87056
7,84.68765
8,84.54035
9,85.85426
10,86.775604
11,86.41697
12,85.44254
13,85.560135
14,86.212494
15,85.84086
16,85.06614
17,85.11642
18,86.51834
19,87.077255
20,86.560036
21,86.45011
22,87.12597
23,87.48604
24,86.92573
25,86.684814
26,87.201645
27,88.03811
28,88.09011
29,87.858665
30,87.23254
31,86.94279
32,87.02799
33,87.792435
34,88.13745
35,87.934265
36,88.24424
37,88.88091
38,89.04067
39,88.473564
40,88.38885
41,88.90742
42,89.561905
43,89.61653
44,89.49746
45,89.67448
46,89.98714
47,90.05079
48,89.95608
49,90.11133
50,90.41421
51,90.71027
52,90.77432
53,90.86231
54,91.22342
55,91.490105
56,91.50489
57,91.44117
58,91.60568
59,91.84205
60,91.59954
61,91.287926
62,91.37977
63,92.0458
64,92.304695
65,92.100494
66,92.212105
67,92.66253
68,92.857254
69,92.629196
70,92.57596
71,92.84183
72,93.039764
73,92.97228
74,92.9615
75,92.333664
76,91.91793
77,92.19755
78,92.831276
79,92.95779
80,92.869736
81,93.59841
82,94.375084
83,94.497734
84,94.497154
85,94.96782
86,95.54075
87,95.4484
88,95.41588
89,95.96086
90,97.37706
91,98.287964
92,98.56764
93,98.56185
94,98.915375
95,99.47588
96,99.47446
97,99.277596
98,99.55947
99,100.05575
100,100.15622
101,100.10447
102,100.81131
103,101.515625
104,101.54116
105,101.1016
106,101.18773
107,101.64301
108,101.551994
109,101.18808
110,101.311516
111,102.10875
112,102.48384
113,102.194305
114,102.43417
115,103.194756
116,103.48311
117,104.61261
118,105.99255
119,106.61126
120,107.163605
121,108.00201
122,108.86341
123,108.849686
124,108.81862
125,109.41657
126,109.983505
127,109.98784
128,109.94373
129,111.545876
130,113.18588
131,113.53365
132,111.74866
133,111.14365
134,112.287506
135,113.53288
136,113.46018
137,113.3728
138,114.0035
139,114.68766
140,114.72091
141,113.760666
142,113.40197
143,113.85286
144,113.47083
145,112.52137
146,112.27002
147,112.175255
148,111.60353
149,110.94635
150,110.66253
151,110.42823
152,109.962296
153,110.59702
154,111.36832
155,111.23262
156,110.74601
157,111.02432
158,111.57833
159,111.111244
160,110.45833
161,110.64273
162,111.08694
163,110.921745
164,110.5793
165,111.532555
166,112.45619
167,112.091354
168,110.36257
169,109.97819
170,110.73002
171,110.833244
172,109.97348
173,109.64162
174,110.98366
175,111.781296
176,111.059425
177,111.027245
178,112.01781
179,112.40858
180,111.21522
181,110.62792
182,111.39858
183,112.16908
184,111.69821
185,111.2572
186,112.37912
187,113.12654
188,112.52612
189,112.43118
190,113.451065
191,113.93691
192,112.68493
193,112.03749
194,112.874916
195,113.36336
196,112.67871
197,112.30731
198,112.48829
199,112.435844
200,112.01266
201,112.52634
202,113.26393
203,113.18602
204,113.14073
205,113.553986
206,113.86546
207,113.69499
208,113.61795
209,113.95657
210,113.89136
211,113.45151
212,113.34576
213,113.93906
214,114.204025
215,113.90926
216,113.481285
217,113.55975
218,113.80267
219,113.323
220,112.78545
221,112.90912
222,113.72013
223,113.89528
224,113.50063
225,113.88376
226,114.67126
227,114.77764
228,115.289276
229,116.2569
230,116.66034
231,115.98664
232,115.7064
233,116.28802
234,115.90563
235,115.31948
236,115.62475
237,115.83474
238,115.58443
239,115.46935
240,116.3729
241,116.959366
242,116.746704
243,116.48373
244,116.93928
245,117.395874
246,117.75523
247,117.92761
248,118.064644
249,117.60786
250,117.33743
251,117.63627
252,117.70878
253,117.35537
254,117.22747
255,117.17556
256,117.067215
257,116.98147
