,0
0,0.5864244
1,0.53270614
2,0.47705743
3,0.48418108
4,0.543998
5,0.53517514
6,0.5833337
7,0.5396343
8,0.53736484
9,0.56411535
10,0.54871374
11,0.5707643
12,0.5493737
13,0.559118
14,0.5610294
15,0.5103202
16,0.54138726
17,0.5299642
18,0.55630815
19,0.542694
20,0.56881255
21,0.53340256
22,0.5349742
23,0.5628692
24,0.54285485
25,0.571325
26,0.5295749
27,0.5619609
28,0.5435923
29,0.5622384
30,0.55967325
31,0.5426926
32,0.5482182
33,0.5457914
34,0.5406061
35,0.56131136
36,0.54072976
37,0.5565858
38,0.5279673
39,0.52012146
40,0.5574184
41,0.519291
42,0.53190786
43,0.5211934
44,0.52361083
45,0.5318239
46,0.52367634
47,0.52681273
48,0.50042915
49,0.51805514
50,0.5232732
51,0.5125786
52,0.5196224
53,0.50150466
54,0.50533456
55,0.4970585
56,0.5018995
57,0.4994835
58,0.48611695
59,0.48550168
60,0.49801582
61,0.47973704
62,0.497414
63,0.48481396
64,0.48680112
65,0.48471513
66,0.484852
67,0.4752488
68,0.474031
69,0.48517525
70,0.46552855
71,0.4717797
72,0.46713108
73,0.4512981
74,0.4692244
75,0.47951823
76,0.41467705
77,0.44179556
78,0.44238403
79,0.44597277
80,0.47491187
81,0.43397877
82,0.45471227
83,0.41499302
84,0.43998936
85,0.4321823
86,0.4360899
87,0.43248945
88,0.42270827
89,0.41649875
90,0.44285962
91,0.41160783
92,0.43143153
93,0.42910463
94,0.44017267
95,0.4289043
96,0.4298249
97,0.40611157
98,0.41923496
99,0.42751175
100,0.39784035
101,0.40852335
102,0.39672902
103,0.39820662
104,0.40062508
105,0.41628847
106,0.39790988
107,0.41063935
108,0.4057216
109,0.39033538
110,0.3907887
111,0.38659504
112,0.38964036
113,0.39139226
114,0.3964553
115,0.37315
116,0.37007535
117,0.39418915
118,0.37213397
119,0.39485547
120,0.3461175
121,0.37547398
122,0.37749922
123,0.38111794
124,0.36899507
125,0.3644554
126,0.3797651
127,0.38359234
128,0.35857612
129,0.38271934
130,0.38053954
131,0.3715767
132,0.372949
133,0.34319508
134,0.35901126
135,0.3621653
136,0.3292601
137,0.36530814
138,0.35842985
139,0.3327633
140,0.3764918
141,0.33084583
142,0.3512311
143,0.36601537
144,0.31969106
145,0.35569763
146,0.3418627
147,0.34336627
148,0.3557247
149,0.33141664
150,0.3488554
151,0.34550112
152,0.35401884
153,0.3449519
154,0.33665437
155,0.34522814
156,0.3460271
157,0.3319424
158,0.34093344
159,0.3266549
160,0.34158182
161,0.33726653
162,0.3507831
163,0.33764097
164,0.30428028
165,0.32125974
166,0.33673537
167,0.31421152
168,0.3317669
169,0.35444835
170,0.29834583
171,0.34495625
172,0.32962877
173,0.3095899
174,0.31563085
175,0.32622895
176,0.34878802
177,0.30759177
178,0.32709536
179,0.33618847
180,0.31074595
181,0.33836287
182,0.33346644
183,0.29782075
184,0.33327022
185,0.3143505
186,0.32052544
187,0.33919063
188,0.3053866
189,0.33378074
190,0.31861633
191,0.32879317
192,0.31239876
193,0.303573
194,0.30781192
195,0.34403434
196,0.3073264
197,0.33159262
198,0.32687774
199,0.31248802
200,0.33406296
201,0.2918744
202,0.30329177
203,0.31679818
204,0.31353256
205,0.31836498
206,0.29541144
207,0.3246109
208,0.33929428
209,0.291739
210,0.31188655
211,0.31539035
212,0.3192467
213,0.31925833
214,0.30420175
215,0.3146828
216,0.33387116
217,0.29117665
218,0.3032355
219,0.32121986
220,0.3122756
221,0.30781823
222,0.29565284
223,0.32533014
224,0.32297045
225,0.27852055
226,0.31208697
227,0.31812435
228,0.30215406
229,0.32106593
230,0.31402805
231,0.3046431
232,0.30354592
233,0.32520592
234,0.31565726
235,0.30718535
236,0.30013302
