,0
0,62.64761
1,27.864473
2,32.258385
3,71.77636
4,96.20872
5,87.55217
6,96.30802
7,126.85986
8,177.48332
9,146.22478
10,139.46239
11,168.80318
12,165.0559
13,156.82562
14,157.8213
15,148.47157
16,148.46823
17,116.125824
18,153.39154
19,109.825356
20,161.52469
21,114.181755
22,112.23976
23,129.1522
24,78.59414
25,158.10126
26,90.61153
27,149.44922
28,120.65674
29,109.73498
30,163.40321
31,104.69287
32,154.13348
33,134.49553
34,104.7103
35,164.20862
36,106.689156
37,142.41908
38,128.58913
39,109.9672
40,171.73245
41,88.35139
42,162.02058
43,132.23332
44,103.26337
45,156.54884
46,110.69291
47,140.54584
48,125.69813
49,109.23424
50,166.76515
51,89.29603
52,165.08025
53,128.61514
54,118.59307
55,160.6745
56,107.74797
57,155.40865
58,130.03535
59,124.32349
60,178.07442
61,103.234535
62,149.06625
63,132.82759
64,116.810005
65,178.67854
66,103.142654
67,144.79184
68,139.77885
69,119.56289
70,167.88281
71,118.84405
72,130.00504
73,148.6711
74,119.588295
75,154.32951
76,128.95099
77,114.1481
78,150.8854
79,99.85128
80,160.92197
81,117.975685
82,113.51714
83,142.21918
84,102.160324
85,166.12659
86,111.85719
87,125.49519
88,143.64148
89,86.75782
90,174.93272
91,110.68218
92,125.84281
93,136.48802
94,97.99414
95,176.22021
96,107.09168
97,135.88106
98,148.13351
99,98.30684
100,175.00241
101,117.58792
102,127.40284
103,157.08081
104,103.73826
105,170.13486
106,131.12909
107,119.86209
108,163.75337
109,105.85685
110,161.93723
111,132.27177
112,103.13337
113,161.26651
114,94.96468
115,156.78537
116,122.35617
117,99.186195
118,154.4991
119,86.81018
120,175.72859
121,131.80557
122,103.62752
123,157.03775
124,113.56387
125,150.40663
126,150.79326
127,118.99859
128,167.3371
129,135.3597
130,120.61464
131,175.44698
132,123.978004
133,146.82928
134,161.37622
135,132.25763
136,160.72147
137,162.65782
138,118.70003
139,179.13657
140,141.52031
141,122.868385
142,158.39684
143,114.21194
144,156.72908
145,127.34858
146,114.262184
147,166.14998
148,98.538536
149,154.54794
150,125.60677
151,109.86752
152,170.38115
153,96.148026
154,155.20822
155,131.87207
156,102.26737
157,158.19789
158,84.7502
159,170.06313
160,122.87772
161,111.62455
162,165.28583
163,114.13291
164,160.20334
165,152.57109
166,122.3085
167,174.42607
168,146.42343
169,136.53491
170,176.29399
171,141.31213
172,136.48717
173,176.61743
174,125.2987
175,148.77248
176,160.17557
177,118.918564
178,164.91461
179,147.03558
180,132.7302
181,171.15126
182,125.603546
183,148.7059
184,162.9247
185,121.030014
186,160.03366
187,140.62187
188,138.09315
189,174.2106
190,116.0624
191,154.68286
192,158.95055
193,128.4749
194,159.25662
195,146.7303
196,144.08601
197,162.84628
198,136.70265
199,145.4737
200,177.49673
201,136.64893
202,138.82526
203,151.66606
204,142.10391
205,153.85112
206,134.60876
207,133.75404
208,174.1213
209,120.52437
210,136.69455
211,148.30759
212,124.177155
213,160.34708
214,128.58774
215,145.4139
216,174.60384
217,125.97634
218,143.57713
219,152.61186
220,132.48975
221,155.45401
222,133.34193
223,130.68533
224,174.02368
225,117.04568
226,139.6682
227,154.85535
228,121.77626
229,158.69864
230,129.09625
231,135.64246
232,177.54936
233,128.39647
234,142.06023
235,166.37572
236,124.00075
