,0
0,0.97369885
1,0.94831085
2,0.93145126
3,0.91501075
4,0.89669657
5,0.8789074
6,0.8623071
7,0.84614736
8,0.83020145
9,0.8146511
10,0.79955024
11,0.78481483
12,0.77039963
13,0.7563014
14,0.74251574
15,0.7290314
16,0.7158444
17,0.70294183
18,0.69032097
19,0.67796165
20,0.66585374
21,0.65398985
22,0.6423598
23,0.6309587
24,0.6197838
25,0.6088399
26,0.598118
27,0.5875987
28,0.57728744
29,0.5671839
30,0.55727977
31,0.5475677
32,0.5380444
33,0.5287208
34,0.5195788
35,0.5106092
36,0.5018113
37,0.49320218
38,0.48477235
39,0.47652027
40,0.4684055
41,0.4604285
42,0.45259726
43,0.44492626
44,0.43740654
45,0.43001983
46,0.42278418
47,0.4156969
48,0.40874633
49,0.4019346
50,0.39525798
51,0.38872644
52,0.38230503
53,0.37598905
54,0.36978862
55,0.36371598
56,0.3577621
57,0.35192987
58,0.3461965
59,0.34055936
60,0.33503103
61,0.32960823
62,0.3242835
63,0.3190546
64,0.3139249
65,0.30888996
66,0.30394197
67,0.2990886
68,0.29432735
69,0.28965345
70,0.28507352
71,0.280583
72,0.2761692
73,0.27184337
74,0.26760197
75,0.2634445
76,0.25938675
77,0.25541914
78,0.25153008
79,0.24771531
80,0.24397147
81,0.24029057
82,0.23666114
83,0.23308557
84,0.2295674
85,0.22610307
86,0.22269112
87,0.21932764
88,0.21604347
89,0.21283185
90,0.20966554
91,0.20655163
92,0.20349336
93,0.20049101
94,0.19753452
95,0.19462222
96,0.19174574
97,0.18891267
98,0.18612486
99,0.18337329
100,0.18066466
101,0.1780001
102,0.1753692
103,0.17277837
104,0.17022903
105,0.16772358
106,0.16526456
107,0.16284856
108,0.16048568
109,0.15815634
110,0.15585773
111,0.15358697
112,0.15136237
113,0.14918238
114,0.14702201
115,0.144895
116,0.1428088
117,0.1407338
118,0.13870798
119,0.13673764
120,0.13480656
121,0.13290037
122,0.13102497
123,0.1292078
124,0.12742151
125,0.12565629
126,0.12391776
127,0.122206055
128,0.12051842
129,0.118832804
130,0.11717411
131,0.11554917
132,0.113979705
133,0.11243876
134,0.110919334
135,0.10944929
136,0.10801324
137,0.10660032
138,0.105219804
139,0.103864074
140,0.1025289
141,0.101209424
142,0.099906065
143,0.09862104
144,0.09734923
145,0.09609083
146,0.094848834
147,0.093621634
148,0.09241132
149,0.09121873
150,0.09002549
151,0.0888472
152,0.087689914
153,0.08653297
154,0.08538965
155,0.08426701
156,0.08316448
157,0.08207341
158,0.08099499
159,0.07994163
160,0.07890312
161,0.07787611
162,0.07686758
163,0.07588819
164,0.074934475
165,0.07401303
166,0.073115356
167,0.07223729
168,0.07136951
169,0.07051902
170,0.06968696
171,0.068878405
172,0.06808584
173,0.06730621
174,0.066538185
175,0.06579193
176,0.06506567
177,0.064342126
178,0.06362776
179,0.06292721
180,0.06223019
181,0.06153689
182,0.06085057
183,0.0601692
184,0.05949512
185,0.05882891
186,0.05816363
187,0.057513315
188,0.056878865
189,0.05626136
190,0.055653837
191,0.055054683
192,0.054466635
193,0.053884137
194,0.053306405
195,0.052742004
196,0.05218601
197,0.051635593
198,0.051083315
199,0.0505363
200,0.04999693
201,0.04946464
202,0.048939373
203,0.0484208
204,0.047906745
205,0.047410935
206,0.04693165
207,0.046471845
208,0.04601453
209,0.04555851
210,0.045113403
211,0.044677626
212,0.044247583
213,0.043826997
214,0.0434134
215,0.043004643
216,0.04258591
217,0.04216866
218,0.041757714
219,0.04135703
220,0.040958222
221,0.04056039
222,0.04016869
223,0.039788086
224,0.039415736
225,0.039051767
226,0.03869519
227,0.038345113
228,0.03799796
229,0.037659246
230,0.037328627
231,0.03701431
232,0.036709454
233,0.036409754
234,0.03611755
235,0.035829578
236,0.035544034
237,0.035254758
238,0.034967262
239,0.034683198
240,0.03438939
241,0.03409833
242,0.03381342
243,0.03353883
244,0.0332656
245,0.032992184
246,0.032728765
247,0.032475963
248,0.03222902
249,0.031977803
250,0.031727027
251,0.031479694
252,0.031227723
253,0.03097806
254,0.030732833
255,0.030497396
256,0.03026148
257,0.0300237
258,0.029807398
