,0
0,-0.0
1,-0.0
2,-6.03e-43
3,-3.7692e-41
4,-3.360678e-39
5,-1.2357679e-37
6,-6.2283596e-37
7,5.5960544e-36
8,-1.9104833e-34
9,4.7023837e-33
10,4.0509925e-32
11,2.7241268e-31
12,5.0881776e-31
13,9.462351e-31
14,1.6333996e-30
15,3.5047475e-30
16,7.468348e-30
17,1.9086516e-29
18,3.1698177e-29
19,1.242683e-28
20,3.764196e-28
21,-4.58785e-29
22,-7.061689e-28
23,-1.936023e-27
24,5.169413e-27
25,2.007764e-27
26,-2.653483e-26
27,7.158964e-27
28,1.5831676e-26
29,1.3627632e-26
30,-1.5028705e-26
31,-3.7588553e-26
32,-7.8181465e-26
33,-1.2657482e-26
34,3.405247e-26
35,8.256688e-26
36,-1.1194562e-25
37,-5.0558426e-25
38,-1.9139331e-24
39,-3.5345e-25
40,9.734502e-25
41,2.3255142e-24
42,4.664821e-24
43,-4.601084e-24
44,-3.3329212e-23
45,-1.2496495e-22
46,-2.2953197e-22
47,-3.6934203e-22
48,-3.144218e-22
49,-2.4359348e-22
50,-1.393264e-22
51,-8.791623e-22
52,-7.5657744e-22
53,-4.5458487e-22
54,-2.6756258e-21
55,-3.2694964e-21
56,-3.5703805e-21
57,-7.034865e-21
58,-7.995562e-21
59,-9.114612e-21
60,-1.0610024e-20
61,-1.071194e-20
62,-1.1028953e-20
63,-1.6456742e-20
64,-1.08894765e-20
65,-3.9312005e-21
66,-4.3863982e-21
67,7.663372e-23
68,5.51654e-21
69,-2.5318992e-20
70,-4.546133e-20
71,-6.775907e-20
72,-1.1095188e-19
73,-1.0514074e-19
74,-9.591691e-20
75,-3.8240947e-21
76,-1.6436775e-22
77,-5.428532e-22
78,-3.2423725e-21
79,-5.6401904e-21
80,-7.012885e-21
81,-3.075931e-21
82,5.1740445e-22
83,2.506178e-21
84,2.5382887e-20
85,2.6469083e-20
86,3.1460797e-20
87,-1.7782882e-20
88,-1.2596752e-20
89,-7.7134665e-21
90,-1.6610785e-20
91,-2.0851436e-20
92,-2.2173145e-20
93,-5.4863994e-21
94,-2.7180042e-22
95,1.7482204e-21
96,2.1053647e-23
97,-1.6763627e-21
98,-6.2432745e-21
99,-8.711489e-21
100,-9.460819e-21
101,-9.211579e-21
102,-5.3605496e-21
103,-4.2359685e-21
104,-3.8437823e-21
105,2.1628122e-22
106,2.9683972e-21
107,4.446759e-21
108,8.258532e-21
109,1.8315839e-20
110,4.090729e-20
111,1.2091373e-19
112,2.7182044e-19
113,5.3232903e-19
114,1.1732451e-18
115,2.0943192e-18
116,3.3990702e-18
117,4.1795583e-18
118,5.1044857e-18
119,5.7828077e-18
120,1.3110811e-17
121,2.247215e-17
122,3.1976122e-17
123,7.088593e-17
124,1.4246826e-16
125,2.439907e-16
126,2.65622e-16
127,2.98379e-16
128,3.0638352e-16
129,1.4884958e-16
130,1.0606145e-16
131,7.588654e-17
132,8.410083e-17
133,1.0798499e-16
134,1.2957888e-16
135,1.6559992e-16
136,1.8201703e-16
137,1.8825023e-16
138,2.2271254e-16
139,2.0575661e-16
140,1.8759636e-16
141,1.5383734e-16
142,1.1223707e-16
143,8.401763e-17
144,6.280958e-17
145,4.7165766e-17
146,3.642851e-17
147,2.7666996e-17
148,2.0754299e-17
149,1.548868e-17
150,1.3074129e-17
151,1.18823875e-17
152,1.0734667e-17
153,8.982851e-18
154,9.598971e-18
155,1.0016976e-17
156,7.072925e-18
157,6.6367463e-18
158,6.220009e-18
159,3.6963815e-18
160,3.1183388e-18
161,2.617051e-18
162,6.874679e-20
163,2.5528154e-20
164,8.254395e-21
165,8.261797e-21
166,6.2059912e-21
167,5.965046e-22
168,-5.2041794e-20
169,-7.754855e-20
170,-8.349733e-20
171,-3.298009e-20
172,6.806095e-21
173,4.5387882e-20
174,-8.98485e-21
175,-1.0243122e-20
176,-7.61456e-21
177,5.4791317e-21
178,1.1897924e-20
179,1.5773872e-20
180,3.7343036e-20
181,7.569376e-20
182,1.2970537e-19
183,1.5240285e-19
184,2.2649922e-19
185,3.3375797e-19
186,2.6443333e-19
187,3.1596345e-19
188,3.9926256e-19
189,3.0511803e-19
190,2.809138e-19
191,2.411606e-19
192,5.7834304e-20
193,5.216077e-21
194,-1.9344625e-20
195,1.03977876e-19
196,1.5541506e-19
197,1.9710332e-19
198,1.9752886e-19
199,2.6409052e-19
200,3.4889667e-19
201,4.440607e-19
202,5.877511e-19
203,7.460085e-19
204,5.3065074e-19
205,5.9991145e-19
206,6.3839494e-19
207,6.736864e-19
208,7.449476e-19
209,7.5732686e-19
210,1.1897554e-18
211,1.8437314e-18
212,2.6908462e-18
213,2.489145e-18
214,2.474264e-18
215,2.3322124e-18
216,1.2754552e-18
217,8.710185e-19
218,6.1320925e-19
219,5.3421035e-19
220,5.06651e-19
221,4.7459694e-19
222,5.5093377e-19
223,7.33252e-19
224,9.409983e-19
225,7.42844e-19
226,6.8279226e-19
227,5.9776026e-19
228,6.5914926e-19
229,7.513027e-19
230,7.9212496e-19
231,9.291199e-19
232,9.710954e-19
233,9.640881e-19
234,7.0282486e-19
235,5.975087e-19
236,4.923765e-19
237,3.8469823e-19
238,3.6296807e-19
239,3.3831935e-19
240,1.961284e-19
241,1.3249063e-19
242,8.552621e-20
243,6.660315e-20
244,5.861926e-20
245,5.0339007e-20
246,6.463614e-20
247,8.5192385e-20
248,1.0407445e-19
249,9.692206e-20
250,1.07245537e-19
251,1.1258335e-19
252,6.3819265e-20
253,5.175719e-20
254,3.9966792e-20
255,1.5771135e-20
256,1.0609988e-20
257,6.798617e-21
258,1.9326188e-20
259,2.761001e-20
260,3.1978948e-20
261,7.39631e-20
262,1.1834301e-19
263,1.6794898e-19
264,2.1247875e-19
265,2.6431636e-19
266,3.0037836e-19
267,1.8276053e-19
268,1.3137497e-19
269,9.468053e-20
270,7.198011e-20
271,5.888209e-20
272,4.734949e-20
273,9.011953e-20
274,1.6338191e-19
275,2.5271792e-19
276,1.9162792e-19
277,1.452668e-19
278,7.528384e-20
279,-1.5637205e-20
280,-6.545451e-20
281,-8.3854414e-20
282,-6.129121e-20
283,-2.1844585e-20
284,3.1500353e-20
285,3.802155e-20
286,2.8303513e-20
287,4.210544e-21
288,-5.849659e-20
289,-1.211394e-19
290,-1.844993e-19
291,-7.462809e-20
292,2.1341635e-21
293,6.6516605e-20
294,6.783625e-20
295,7.386404e-20
296,8.34343e-20
297,8.07906e-20
298,8.273692e-20
299,8.1836397e-20
300,1.7950846e-19
301,3.6524227e-19
302,6.485969e-19
303,4.3394184e-19
304,3.8850487e-19
305,3.2435517e-19
306,1.521959e-19
307,1.767605e-19
308,2.2038958e-19
309,9.949372e-19
310,1.9289862e-18
311,2.9591104e-18
312,7.132743e-18
313,1.1084321e-17
314,1.5617966e-17
315,1.574173e-17
