,0
0,-0.0
1,-0.0
2,-6.03e-43
3,-3.7687e-41
4,-3.360682e-39
5,-1.2358696e-37
6,-6.2275493e-37
7,5.5957793e-36
8,-1.9105477e-34
9,4.7022467e-33
10,4.0509554e-32
11,2.7241595e-31
12,5.088084e-31
13,9.462163e-31
14,1.6333853e-30
15,3.5047355e-30
16,7.468164e-30
17,1.9086474e-29
18,3.1693834e-29
19,1.2426581e-28
20,3.7642932e-28
21,-4.5881318e-29
22,-7.0619903e-28
23,-1.9360182e-27
24,5.1695615e-27
25,2.0079337e-27
26,-2.6535287e-26
27,7.158807e-27
28,1.5832029e-26
29,1.362765e-26
30,-1.5028621e-26
31,-3.7588304e-26
32,-7.818115e-26
33,-1.2656912e-26
34,3.4053467e-26
35,8.256965e-26
36,-1.1194193e-25
37,-5.055855e-25
38,-1.9139253e-24
39,-3.5345105e-25
40,9.734367e-25
41,2.3254497e-24
42,4.6647286e-24
43,-4.6010995e-24
44,-3.332944e-23
45,-1.2496573e-22
46,-2.2953045e-22
47,-3.693429e-22
48,-3.1442302e-22
49,-2.435928e-22
50,-1.3932475e-22
51,-8.791658e-22
52,-7.565753e-22
53,-4.5458573e-22
54,-2.6756268e-21
55,-3.2694944e-21
56,-3.570393e-21
57,-7.0347955e-21
58,-7.99569e-21
59,-9.114589e-21
60,-1.0610004e-20
61,-1.0712024e-20
62,-1.1028966e-20
63,-1.6456831e-20
64,-1.0889535e-20
65,-3.9311322e-21
66,-4.3865347e-21
67,7.64866e-23
68,5.5166686e-21
69,-2.5319596e-20
70,-4.5461572e-20
71,-6.775922e-20
72,-1.1095236e-19
73,-1.05141054e-19
74,-9.591678e-20
75,-3.8241097e-21
76,-1.643722e-22
77,-5.4285207e-22
78,-3.2423727e-21
79,-5.6401597e-21
80,-7.012941e-21
81,-3.0759109e-21
82,5.1741374e-22
83,2.5061967e-21
84,2.5382885e-20
85,2.6469067e-20
86,3.1460897e-20
87,-1.7782848e-20
88,-1.2596769e-20
89,-7.713536e-21
90,-1.6610761e-20
91,-2.0851577e-20
92,-2.2173101e-20
93,-5.486397e-21
94,-2.7183102e-22
95,1.7482012e-21
96,2.1003445e-23
97,-1.6764299e-21
98,-6.243298e-21
99,-8.7114615e-21
100,-9.460841e-21
101,-9.211592e-21
102,-5.3605545e-21
103,-4.2359317e-21
104,-3.8437657e-21
105,2.1628526e-22
106,2.9684025e-21
107,4.4467473e-21
108,8.2586076e-21
109,1.8315895e-20
110,4.090727e-20
111,1.2091408e-19
112,2.7182153e-19
113,5.323298e-19
114,1.1732487e-18
115,2.0943264e-18
116,3.3990752e-18
117,4.1795695e-18
118,5.104503e-18
119,5.782814e-18
120,1.311085e-17
121,2.2472239e-17
122,3.1976235e-17
123,7.088605e-17
124,1.4246917e-16
125,2.4399213e-16
126,2.6562326e-16
127,2.983806e-16
128,3.063846e-16
129,1.4884999e-16
130,1.0606223e-16
131,7.588684e-17
132,8.4101345e-17
133,1.0798569e-16
134,1.2957935e-16
135,1.6560139e-16
136,1.8201874e-16
137,1.8825244e-16
138,2.2271387e-16
139,2.0575767e-16
140,1.87597e-16
141,1.5383836e-16
142,1.1223786e-16
143,8.4018045e-17
144,6.280989e-17
145,4.716597e-17
146,3.6428786e-17
147,2.7667176e-17
148,2.0754286e-17
149,1.5488777e-17
150,1.3074162e-17
151,1.188234e-17
152,1.07346686e-17
153,8.982872e-18
154,9.599027e-18
155,1.00170174e-17
156,7.072937e-18
157,6.6367778e-18
158,6.2200392e-18
159,3.6964042e-18
160,3.1183551e-18
161,2.6170702e-18
162,6.874756e-20
163,2.5528847e-20
164,8.2544765e-21
165,8.261831e-21
166,6.2061717e-21
167,5.9728347e-22
168,-5.204162e-20
169,-7.7548577e-20
170,-8.349683e-20
171,-3.298151e-20
172,6.80935e-21
173,4.5389578e-20
174,-8.984809e-21
175,-1.0242464e-20
176,-7.6143995e-21
177,5.4794273e-21
178,1.18986256e-20
179,1.5773399e-20
180,3.734368e-20
181,7.569457e-20
182,1.2970652e-19
183,1.5240401e-19
184,2.2650092e-19
185,3.3375711e-19
186,2.6443473e-19
187,3.1596526e-19
188,3.992663e-19
189,3.0511979e-19
190,2.80914e-19
191,2.4116634e-19
192,5.78362e-20
193,5.2180795e-21
194,-1.9343591e-20
195,1.0397721e-19
196,1.5541608e-19
197,1.9710339e-19
198,1.975299e-19
199,2.6409168e-19
200,3.488957e-19
201,4.440624e-19
202,5.8775127e-19
203,7.46008e-19
204,5.306552e-19
205,5.9991274e-19
206,6.3839633e-19
207,6.7368655e-19
208,7.449476e-19
209,7.5732743e-19
210,1.1897587e-18
211,1.8437407e-18
212,2.6908467e-18
213,2.4891509e-18
214,2.4742699e-18
215,2.332221e-18
216,1.2754566e-18
217,8.710188e-19
218,6.1320817e-19
219,5.342083e-19
220,5.0665004e-19
221,4.745952e-19
222,5.5092974e-19
223,7.3325027e-19
224,9.409934e-19
225,7.428455e-19
226,6.827901e-19
227,5.977588e-19
228,6.5914776e-19
229,7.5129946e-19
230,7.921233e-19
231,9.291131e-19
232,9.710905e-19
233,9.640847e-19
234,7.0282104e-19
235,5.9750776e-19
236,4.9237275e-19
237,3.846969e-19
238,3.6296667e-19
239,3.383172e-19
240,1.9612706e-19
241,1.3248927e-19
242,8.552548e-20
243,6.6602677e-20
244,5.8618846e-20
245,5.0338816e-20
246,6.463599e-20
247,8.519275e-20
248,1.0407451e-19
249,9.692309e-20
250,1.07244716e-19
251,1.1258409e-19
252,6.381927e-20
253,5.1757628e-20
254,3.996634e-20
255,1.5771321e-20
256,1.06100026e-20
257,6.798688e-21
258,1.9326209e-20
259,2.7609796e-20
260,3.1979058e-20
261,7.3963266e-20
262,1.1834332e-19
263,1.6794942e-19
264,2.1247923e-19
265,2.643165e-19
266,3.0037795e-19
267,1.827604e-19
268,1.3137453e-19
269,9.468103e-20
270,7.198003e-20
271,5.888213e-20
272,4.7349456e-20
273,9.011951e-20
274,1.6338222e-19
275,2.5271795e-19
276,1.9162758e-19
277,1.4526649e-19
278,7.528414e-20
279,-1.5636733e-20
280,-6.545455e-20
281,-8.385461e-20
282,-6.1291505e-20
283,-2.1844867e-20
284,3.1500424e-20
285,3.802152e-20
286,2.830295e-20
287,4.2103683e-21
288,-5.849721e-20
289,-1.2113944e-19
290,-1.8450014e-19
291,-7.4628035e-20
292,2.1341783e-21
293,6.651647e-20
294,6.7835576e-20
295,7.3863707e-20
296,8.3434064e-20
297,8.079068e-20
298,8.273705e-20
299,8.18364e-20
300,1.7950812e-19
301,3.6524318e-19
302,6.485988e-19
303,4.3394164e-19
304,3.8850362e-19
305,3.2435422e-19
306,1.5219553e-19
307,1.7676066e-19
308,2.203891e-19
309,9.949326e-19
310,1.9289813e-18
311,2.959107e-18
312,7.132725e-18
313,1.1084323e-17
