,0
0,6.7044363
1,6.7043176
2,6.7042007
3,6.704071
4,6.7039423
5,6.7038145
6,6.7037168
7,6.703618
8,6.703522
9,6.7034197
10,6.703317
11,6.703216
12,6.7031097
13,6.703005
14,6.702899
15,6.7027903
16,6.7026815
17,6.7025747
18,6.7025247
19,6.7024755
20,6.7024255
21,6.7023516
22,6.7022767
23,5.994697
24,5.9946594
25,6.702111
26,5.994585
27,5.9944973
28,5.994409
29,5.9943223
30,5.9942703
31,5.9942193
32,5.994169
33,5.994132
34,5.9940953
35,5.9940596
36,6.6993113
37,6.69917
38,7.403801
39,8.111053
40,7.404026
41,7.403812
42,6.6961517
43,6.6959267
44,6.6957026
45,6.695437
46,6.6951723
47,6.694908
48,6.694624
49,7.4011145
50,7.40076
51,7.4005322
52,7.4003053
53,7.4000764
54,6.6947446
55,6.6944294
56,6.6941147
57,6.693863
58,6.693613
59,6.693362
60,6.6930943
61,6.6928267
62,6.692559
63,6.692285
64,6.692011
65,6.691737
66,6.691457
67,6.6911774
68,6.690898
69,6.6905932
70,6.690288
71,6.689984
72,6.6896944
73,6.689406
74,6.689117
75,6.6889715
76,6.688826
77,6.688683
78,6.688522
79,6.688362
80,6.688205
81,6.687974
82,6.687743
83,6.6875134
84,6.6872625
85,6.6870112
86,6.686761
87,7.3911805
88,7.3910294
89,7.3908787
90,7.3906054
91,7.3903337
92,7.3900614
93,7.3896923
94,7.389325
95,7.388957
96,7.3886347
97,7.388312
98,7.3879895
99,7.387699
100,7.3874087
101,7.3871202
102,7.3868527
103,7.386585
104,7.386319
105,7.386014
106,7.385709
107,7.385405
108,7.385212
109,7.3850193
110,7.384826
111,7.384541
112,7.3842564
113,7.3839726
114,7.383706
115,7.3834414
116,7.3831763
117,7.3830037
118,7.3828306
119,7.382659
120,7.382327
121,7.381997
122,7.381669
123,7.381347
124,7.381025
125,7.380705
126,8.087456
127,8.087117
128,8.086779
129,8.086596
130,8.785586
131,8.785293
132,8.784771
133,8.78425
134,8.783727
135,8.782771
136,8.781812
137,8.7808485
138,8.779805
139,8.778758
140,8.777706
141,8.7768
142,10.185319
143,10.1843195
144,10.183402
145,10.182485
146,10.181563
147,10.180513
148,10.179462
149,9.475036
150,9.474091
151,9.473143
152,10.17543
153,10.174725
154,10.174017
155,10.173307
156,10.172844
157,10.172382
158,10.17192
159,10.171536
160,10.171151
161,10.170766
162,10.171402
163,10.172032
164,9.466147
165,9.466041
166,9.465933
167,9.465824
168,9.464987
169,9.464146
170,9.463301
171,9.46238
172,9.461456
173,9.46053
174,9.460349
175,9.460166
176,9.459982
177,9.459823
178,9.459664
179,9.459506
180,9.459103
181,9.4587
182,9.458298
183,9.457934
184,9.45757
185,9.457207
186,9.457302
187,9.457394
188,9.457487
189,9.457396
190,8.752441
191,8.752344
192,8.752064
193,8.751782
194,8.7515
195,8.7513895
196,8.751277
197,8.751164
198,8.750927
199,8.750689
200,8.750451
201,8.750429
202,8.750408
203,8.750387
204,8.750683
205,8.7509775
206,8.75127
207,8.751176
208,8.7510805
209,8.750986
210,8.750324
211,8.749661
212,8.748998
213,8.748565
214,8.748133
215,8.7477
216,8.747309
217,8.746918
218,8.746528
219,8.746249
220,8.745972
221,8.745692
222,8.74582
223,8.745947
224,8.746072
225,8.746191
226,8.746307
227,8.746423
228,8.74641
229,8.746396
230,8.047875
231,7.342206
232,7.3417015
233,7.341196
234,7.3408227
235,7.340449
236,7.3400764
237,7.3397994
238,7.3395224
239,7.3392453
240,7.3390784
241,7.338912
242,7.338743
243,7.3385835
244,7.3384223
245,7.338262
246,7.3380537
247,7.3378453
248,7.3376374
249,7.3374557
250,7.3372736
251,7.337092
252,7.3370085
253,7.3369255
254,7.336843
255,8.038705
256,8.038595
257,8.038486
258,8.037918
259,8.037353
260,8.036785
261,8.036
262,8.035213
263,8.034426
264,8.033939
265,8.033452
266,8.032965
267,8.032652
268,8.03234
269,8.032027
270,8.031658
271,8.031288
272,8.030919
273,7.3289986
274,7.3283596
275,7.32772
276,7.327033
277,7.3263464
278,7.3256607
279,7.324891
280,7.3241224
281,7.323353
282,7.323041
283,7.32273
284,7.322418
285,7.322038
286,7.3216567
287,7.3212767
288,7.320489
289,7.3197
290,7.3189087
291,7.3183017
292,7.3176928
293,7.3170834
294,7.316936
295,7.316788
296,7.3166385
297,7.316375
298,7.3161106
299,7.3158464
300,7.315522
301,7.3151975
302,7.3148723
303,7.314581
304,7.314288
305,7.313996
306,7.313897
307,7.313799
308,7.3136997
309,7.312838
310,7.3119764
311,7.3111124
312,8.017132
313,8.015969
314,8.014805
315,8.013698
316,8.012587
317,8.011474
318,8.010227
319,8.008978
320,8.703678
321,8.702527
322,8.701374
323,8.700217
324,8.699081
325,8.697941
326,8.696797
327,8.695801
328,8.694802
329,8.693801
330,8.692803
331,8.691803
332,8.6908
333,8.689915
334,8.689027
335,8.688135
336,8.687272
337,8.686407
338,8.685538
339,8.68477
340,8.683997
341,8.683226
342,8.68275
343,8.682275
344,8.681801
345,8.681271
346,8.68074
347,8.680211
348,8.679798
349,8.679386
350,8.678972
351,8.678928
352,8.678883
353,8.678837
354,8.678349
355,8.677859
356,8.677371
357,9.374045
358,9.373674
359,9.373304
360,9.373006
361,8.675821
362,8.675571
363,8.675433
364,8.675297
365,8.675159
366,8.674974
367,8.674789
368,8.674605
369,8.674216
370,8.673826
371,8.673437
372,8.672792
373,8.672147
374,8.671499
375,8.670889
376,8.670279
377,8.669665
378,8.668928
379,8.668189
380,8.667448
381,8.666512
382,8.665569
383,8.664622
384,8.663747
385,8.662867
386,8.661982
387,8.661104
388,8.660221
389,8.659335
390,8.658457
391,8.657577
392,8.6566925
393,8.656171
394,8.655649
395,8.655127
396,8.654326
397,8.6535225
398,8.652714
399,8.651793
400,8.650866
401,8.64993
402,8.649002
403,8.648069
404,8.647133
405,8.646495
406,8.645856
407,8.645216
408,8.644363
409,8.643508
410,8.642648
411,8.641695
412,8.640736
413,8.639772
414,8.639172
415,8.638571
416,8.637967
417,8.637209
418,8.636447
419,8.63568
420,8.634811
421,8.633939
422,8.633062
423,8.632147
424,8.6312275
425,8.630304
426,8.629514
427,8.628721
428,8.627926
429,8.627022
430,8.626116
431,8.625205
432,8.624306
433,8.6234045
434,8.6225
435,8.621876
436,8.621249
437,8.620622
438,8.6198635
439,8.6191025
440,8.618341
441,8.617587
442,8.616832
443,7.9081755
444,7.907478
445,7.906779
446,7.9060793
447,7.9051094
448,7.9041376
449,8.610966
450,7.902369
451,7.9015737
452,7.900776
453,8.603249
454,8.602515
455,8.601781
456,8.601254
457,8.600727
458,8.600198
