,0
0,1.4153645
1,1.4047825
2,1.3944726
3,1.1648703
4,1.155546
5,1.1463805
6,1.7435929
7,1.7310742
8,1.719006
9,1.8186955
10,1.807826
11,1.7974833
12,1.1076535
13,1.1012466
14,1.0948218
15,1.6117514
16,1.5947243
17,1.5785986
18,2.0765026
19,2.0591044
20,2.0432794
21,1.3887082
22,1.3823262
23,1.3762095
24,1.7345865
25,1.7251847
26,1.7161634
27,1.791908
28,1.7807811
29,1.7704065
30,1.4548721
31,1.434299
32,1.4148406
33,1.8719046
34,1.8532239
35,1.8369014
36,2.9333098
37,2.9011443
38,2.8731644
39,1.2215228
40,1.2158456
41,1.2104715
42,2.1947045
43,2.172866
44,2.1540303
45,2.5716352
46,2.5471187
47,2.5255005
48,2.4595394
49,2.437901
50,2.4177732
51,2.077898
52,2.0604343
53,2.0451264
54,2.8060572
55,2.7791111
56,2.7552352
57,1.9460618
58,1.93159
59,1.9188112
60,1.9812809
61,1.9653723
62,1.9510472
63,2.2272425
64,2.2032888
65,2.1826444
66,2.2865086
67,2.261715
68,2.240025
69,2.7913585
70,2.7626543
71,2.7375646
72,2.7044165
73,2.6772728
74,2.653555
75,3.1835766
76,3.1401603
77,3.0991797
78,2.515526
79,2.4848924
80,2.4558268
81,3.5583696
82,3.509834
83,3.4673371
84,2.6605027
85,2.6291556
86,2.6023571
87,2.6997783
88,2.6653893
89,2.6331124
90,2.411192
91,2.3919969
92,2.3741145
93,3.925403
94,3.8468747
95,3.779367
96,2.2296739
97,2.2100081
98,2.1933658
99,1.8256716
100,1.814246
101,1.8048615
102,1.5612315
103,1.5535686
104,1.5471059
105,1.8870628
106,1.8661416
107,1.8484997
108,1.2837915
109,1.2728491
110,1.2622029
111,2.038314
112,2.0165434
113,1.9958946
114,2.228906
115,2.2151392
116,2.2018135
117,3.7861104
118,3.7631474
119,3.7429547
120,3.2118766
121,3.191084
122,3.1711285
123,2.5294418
124,2.5058534
125,2.4829433
126,2.409413
127,2.3890834
128,2.3691494
129,3.1100988
130,3.090267
131,3.0715034
132,1.8337486
133,1.8183271
134,1.8028097
135,2.6512241
136,2.6082134
137,2.5689764
138,2.5564017
139,2.4915943
140,2.4347756
141,1.9307532
142,1.890615
143,1.8565491
144,1.5147997
145,1.4987037
146,1.4849885
147,1.7901074
148,1.7712398
149,1.7550133
150,1.4913931
151,1.4820952
152,1.4737653
153,1.2172364
154,1.2094171
155,1.2025673
156,1.2181262
157,1.1949539
158,1.1765349
159,1.1613904
160,1.1378962
161,1.1192206
162,4.7820644
163,4.5308647
164,4.331871
165,3.027371
166,2.9792492
167,2.9409623
168,1.9452978
169,1.8943336
170,1.8486209
171,1.9187948
172,1.8823459
173,1.8501235
174,3.5753212
175,3.4969473
176,3.4344556
177,2.1530766
178,2.1305618
179,2.112233
180,0.8567182
181,0.8552208
182,0.8535547
183,0.8706168
184,0.86889964
185,0.867009
186,2.2099795
187,2.176435
188,2.149269
189,1.9712874
190,1.9543815
191,1.9403384
192,1.005161
193,1.0032703
194,1.001387
195,1.4545299
196,1.443502
197,1.4343803
198,0.8721319
199,0.8686106
200,0.8651589
201,1.2377956
202,1.2314199
203,1.2261237
204,3.0684192
205,3.014565
206,2.970201
207,1.5823419
208,1.5765817
209,1.5714464
210,1.6188201
211,1.5936909
212,1.5707583
213,1.6984667
214,1.6914693
215,1.6847284
216,0.92678094
217,0.91396105
218,0.9022913
219,0.83161044
220,0.8289181
221,0.8261794
222,2.1274376
223,2.084667
224,2.0501268
225,2.1598828
226,2.1346323
227,2.1143286
228,2.3365126
229,2.3187246
230,2.3039596
231,2.5620065
232,2.5474408
233,2.5340176
234,1.7437148
235,1.7386885
236,1.73377
237,1.2402612
238,1.2384651
239,1.2365712
240,1.1713192
241,1.1687028
242,1.1661677
243,1.5149494
244,1.5104648
245,1.5068092
246,2.7247841
247,2.710871
248,2.6992602
249,1.2083454
250,1.2059915
251,1.2036729
252,1.2379224
253,1.2325823
254,1.2279108
255,1.084123
256,1.0792063
257,1.0753206
258,2.865025
259,2.848363
260,2.8334317
261,2.9167423
262,2.8926854
263,2.8707187
264,1.3807292
265,1.3720963
266,1.3638084
267,0.9397352
268,0.93761855
269,0.93536097
270,1.1901402
271,1.1876382
272,1.1851788
273,1.6371228
274,1.5963769
275,1.5599678
276,3.4792485
277,3.4334335
278,3.3917313
279,3.6635861
280,3.610768
281,3.5630312
282,1.6933355
283,1.6788585
284,1.6665952
285,3.0511918
286,3.0287967
287,3.0101552
288,3.333251
289,3.295156
290,3.260926
291,1.8669208
292,1.8333846
293,1.8035502
294,1.6416298
295,1.606962
296,1.578875
297,1.5274358
298,1.5155209
299,1.5049876
300,1.2084768
301,1.2020115
302,1.1956589
303,1.1699375
304,1.1643233
305,1.1586862
306,1.4837258
307,1.462423
308,1.4440804
309,2.1363056
310,2.1009545
311,2.0689425
312,2.8046176
313,2.7433887
314,2.6891916
315,2.2154706
316,2.1706042
317,2.1315255
318,3.3622494
319,3.295488
320,3.2374742
321,2.6502805
322,2.6053622
323,2.5662017
324,2.196857
325,2.1766355
326,2.1581707
327,2.1307998
328,2.116715
329,2.1027956
330,3.1968067
331,3.173568
332,3.1516566
333,3.4474583
334,3.4242887
335,3.4025736
336,2.8545663
337,2.8357966
338,2.817845
339,3.3011513
340,3.2747886
341,3.2505093
342,1.7054923
343,1.6896293
344,1.6746142
345,1.3458593
346,1.3354211
347,1.325295
348,1.2504764
349,1.2465948
350,1.2427464
351,1.6861956
352,1.6514922
353,1.6224484
354,1.1637684
355,1.1461447
356,1.1303653
357,0.9313221
358,0.92596644
359,0.9208504
360,2.3077998
361,2.2663517
362,2.2314765
363,2.015618
