,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,-0.0
10,-0.0
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,3e-45
17,2.1e-44
18,2.7e-44
19,8.5e-44
20,1.92e-43
21,3.05e-43
22,3.97e-43
23,4.18e-43
24,-4.5e-43
25,-6.879e-42
26,-2.9282e-41
27,-3.291e-41
28,-2.2044e-41
29,1.8448e-41
30,2.175e-42
31,-4.0195e-41
32,-1.17455e-40
33,1.1122e-41
34,-2.424e-41
35,-2.23216e-40
36,9.75092e-40
37,1.34808e-39
38,-4.31482e-40
39,-7.503949e-39
40,-2.3294467e-38
41,-5.367538e-38
42,-1.2333294e-37
43,-2.203179e-37
44,-3.5820016e-37
45,-6.0966963e-37
46,-9.897414e-37
47,-1.6049618e-36
48,-3.5644047e-36
49,-6.562435e-36
50,-1.0845864e-35
51,-1.7448543e-35
52,-2.7648864e-35
53,-4.344114e-35
54,-4.7556532e-35
55,-4.6270388e-35
56,-3.7940386e-35
57,-5.211011e-35
58,-7.129552e-35
59,-1.0172099e-34
60,-3.161099e-34
61,-6.393249e-34
62,-1.1044702e-33
63,-1.40641305e-33
64,-1.5236602e-33
65,-1.3945243e-33
66,-1.906603e-33
67,-2.4200552e-33
68,-2.9930118e-33
69,-4.8323405e-33
70,-7.225111e-33
71,-1.0567979e-32
72,-1.5279253e-32
73,-2.1082399e-32
74,-2.8994238e-32
75,-2.8225192e-32
76,-2.6824702e-32
77,-2.4119963e-32
78,-1.4586057e-32
79,-5.899371e-33
80,1.1390793e-33
81,-1.634942e-32
82,-3.0595476e-32
83,-4.389013e-32
84,-5.6038555e-32
85,-6.57248e-32
86,-7.509651e-32
87,-6.937822e-32
88,-6.112323e-32
89,-5.078598e-32
90,-3.410378e-32
91,-2.7235187e-32
92,-3.2325948e-32
93,2.6404442e-32
94,6.4472303e-32
95,8.769192e-32
96,1.0597119e-31
97,1.6518331e-31
98,2.822078e-31
99,3.2373796e-31
100,3.668703e-31
101,4.1548906e-31
102,4.2443687e-31
103,4.284745e-31
104,4.284678e-31
105,8.280381e-31
106,1.4306604e-30
107,2.308444e-30
108,3.0965246e-30
109,3.904068e-30
110,4.7987392e-30
111,5.7224856e-30
112,6.297173e-30
113,6.1332537e-30
114,8.986592e-30
115,1.1834619e-29
116,1.3787063e-29
117,5.560543e-30
118,-9.865047e-31
119,-6.8012704e-30
120,-1.0384219e-29
121,-1.5263031e-29
122,-2.1957276e-29
123,-3.3152648e-29
124,-4.5642888e-29
125,-5.8909906e-29
126,-4.6252553e-29
127,-2.8796896e-29
128,-4.658027e-30
129,4.560576e-30
130,9.4971194e-30
131,1.0293508e-29
132,3.029019e-29
133,6.395115e-29
134,1.1490823e-28
135,1.3140866e-28
136,1.4281913e-28
137,1.4533267e-28
138,1.4570965e-28
139,1.4693828e-28
140,1.4604385e-28
141,-1.355483e-28
142,-4.5805076e-28
143,-8.195282e-28
144,-1.2526551e-27
145,-1.6990976e-27
146,-2.1723265e-27
147,-2.8669087e-27
148,-3.5451448e-27
149,-4.214557e-27
150,-5.2374536e-27
151,-6.2762086e-27
152,-7.335519e-27
153,-8.1008804e-27
154,-8.76409e-27
155,-9.299785e-27
156,-8.5095836e-27
157,-7.982676e-27
158,-7.53027e-27
159,-5.8811368e-27
160,-4.654887e-27
161,-3.6315304e-27
162,-1.4671948e-27
163,-5.208976e-28
164,-1.4533023e-28
165,2.4812793e-28
166,5.7382775e-28
167,8.56005e-28
168,1.0954236e-27
169,1.2968363e-27
170,1.4651858e-27
171,2.0604758e-27
172,2.6762168e-27
173,3.3585595e-27
174,3.0820514e-27
175,2.7973541e-27
176,2.498805e-27
177,2.1585569e-27
178,1.8812387e-27
179,1.6391332e-27
180,1.6785675e-27
181,1.7195833e-27
182,1.7585485e-27
183,1.6775543e-27
184,1.615191e-27
185,1.5546216e-27
186,1.2711272e-27
187,1.0834828e-27
188,9.52341e-28
189,9.182556e-28
190,8.59578e-28
191,7.8540463e-28
192,7.407793e-28
193,6.90092e-28
194,6.382538e-28
195,1.1386054e-27
196,1.4360529e-27
197,1.618819e-27
198,1.5608096e-27
199,1.5156933e-27
200,1.46513965e-27
201,1.4323456e-27
202,1.416256e-27
203,1.3973378e-27
204,1.2084928e-27
205,1.0612018e-27
206,9.300322e-28
207,8.949789e-28
208,8.792205e-28
209,8.671668e-28
210,1.1655876e-27
211,1.5159549e-27
212,1.9462866e-27
213,2.1942297e-27
214,2.4304797e-27
215,2.6684276e-27
216,2.389187e-27
217,2.1474731e-27
218,1.9257901e-27
219,1.8100096e-27
220,1.7095725e-27
221,1.6063812e-27
222,1.4689706e-27
223,1.3672802e-27
224,1.2774307e-27
225,1.0563936e-27
226,8.861994e-28
227,7.3610256e-28
228,6.8619637e-28
229,6.471432e-28
230,6.069851e-28
231,7.6911584e-28
232,9.467438e-28
233,1.1506505e-27
234,1.1306617e-27
235,1.10416395e-27
236,1.0691005e-27
237,9.506191e-28
238,8.431856e-28
239,7.3675136e-28
240,5.786091e-28
241,4.5862685e-28
242,3.579884e-28
243,2.8569254e-28
244,2.321731e-28
245,1.8572465e-28
246,1.5662697e-28
247,1.3466903e-28
248,1.1184537e-28
249,9.4272327e-29
250,9.3202304e-29
251,9.8258015e-29
252,6.0291363e-29
253,4.0795855e-29
254,2.533878e-29
255,1.2057176e-29
256,9.330722e-30
257,8.2514896e-30
258,4.1520465e-29
259,7.214557e-29
260,9.969668e-29
261,1.6881324e-28
262,2.4947473e-28
263,3.4273356e-28
264,4.373191e-28
265,5.5741454e-28
266,6.941843e-28
267,7.660872e-28
268,8.315321e-28
269,8.802751e-28
270,9.158241e-28
271,9.501285e-28
272,9.775268e-28
273,1.3083369e-27
274,1.6729556e-27
275,2.0748556e-27
276,2.1100078e-27
277,2.0279574e-27
278,1.7828291e-27
279,1.545901e-27
280,1.32271925e-27
281,1.0940107e-27
282,1.7336048e-27
283,2.4560393e-27
284,3.2470986e-27
285,2.1792075e-27
286,1.2320361e-27
287,3.3201354e-28
288,-8.590941e-28
289,-2.4733337e-27
290,-4.6246104e-27
291,-3.1775007e-27
292,-9.799952e-28
293,1.9297776e-27
294,4.8148934e-27
295,6.90189e-27
296,8.416959e-27
297,9.032157e-27
298,9.417484e-27
299,9.6203336e-27
300,1.1972937e-26
301,1.4204327e-26
302,1.629857e-26
303,1.849241e-26
304,2.034727e-26
305,2.1676118e-26
306,1.7589364e-26
307,1.5007384e-26
308,1.312917e-26
309,1.8218536e-26
310,2.3953513e-26
311,3.0784545e-26
312,4.4923518e-26
313,6.2040625e-26
314,8.419958e-26
315,9.748475e-26
316,1.092793e-25
317,1.2031885e-25
318,1.4550391e-25
319,1.6894624e-25
320,1.9239707e-25
321,2.1258704e-25
