,0
0,14.488547
1,14.485738
2,14.482947
3,14.479738
4,14.476383
5,14.47304
6,14.471294
7,14.469339
8,14.467399
9,14.464405
10,14.4611845
11,14.457956
12,14.455096
13,14.452067
14,14.449047
15,14.446884
16,14.444562
17,14.442251
18,14.43969
19,14.436861
20,14.434007
21,14.431244
22,14.428278
23,14.425296
24,14.42367
25,14.42181
26,14.419955
27,14.41661
28,14.41309
29,14.409553
30,14.406473
31,14.403332
32,14.400203
33,14.398325
34,14.3961735
35,14.393955
36,14.390673
37,14.387196
38,14.383595
39,14.380161
40,14.376659
41,14.373137
42,14.370355
43,14.367378
44,14.364288
45,14.359969
46,14.355564
47,14.351038
48,14.344628
49,14.338426
50,14.33219
51,14.328698
52,14.325122
53,14.321461
54,14.314987
55,14.308624
56,14.302122
57,14.296982
58,14.291939
59,14.286823
60,14.280438
61,14.274275
62,14.268082
63,14.261875
64,14.2558365
65,14.249688
66,14.242899
67,14.236323
68,14.229675
69,14.222024
70,14.214661
71,14.207227
72,14.19956
73,14.192253
74,14.1848955
75,14.181432
76,14.177799
77,14.174134
78,14.169985
79,14.165749
80,14.161463
81,14.153023
82,14.144956
83,14.136703
84,14.129184
85,14.122249
86,14.115269
87,14.115007
88,14.11428
89,14.113354
90,14.108459
91,14.103739
92,14.099036
93,14.090944
94,14.083289
95,14.07551
96,14.070845
97,14.066605
98,14.062426
99,14.060278
100,14.058307
101,14.056351
102,14.055558
103,14.054797
104,14.054019
105,14.0510845
106,14.048064
107,14.045156
108,14.040167
109,14.035051
110,14.029983
111,14.019977
112,14.0103445
113,14.000836
114,13.99356
115,13.986396
116,13.9794
117,13.980547
118,13.980236
119,13.979634
120,13.969274
121,13.95903
122,13.94898
123,13.937354
124,13.925842
125,13.914508
126,13.906295
127,13.8978615
128,13.889592
129,13.888371
130,13.886017
131,13.883666
132,13.877427
133,13.870503
134,13.863726
135,13.844683
136,13.826799
137,13.809341
138,13.782611
139,13.758312
140,13.734586
141,13.713837
142,13.6960745
143,13.679165
144,13.668936
145,13.660752
146,13.653085
147,13.643279
148,13.635532
149,13.628358
150,13.624691
151,13.622112
152,13.619706
153,13.633815
154,13.645239
155,13.655214
156,13.675907
157,13.692111
158,13.706273
159,13.725646
160,13.740695
161,13.75402
162,13.803811
163,13.840646
164,13.871692
165,13.887067
166,13.898458
167,13.908443
168,13.895377
169,13.882988
170,13.870433
171,13.857765
172,13.846212
173,13.834915
174,13.847767
175,13.855989
176,13.862147
177,13.871216
178,13.878114
179,13.884262
180,13.885815
181,13.886904
182,13.887939
183,13.889077
184,13.889649
185,13.890177
186,13.898975
187,13.905601
188,13.91166
189,13.914503
190,13.916148
191,13.917557
192,13.920435
193,13.922513
194,13.924522
195,13.930153
196,13.93444
197,13.938489
198,13.940661
199,13.942119
200,13.943504
201,13.946515
202,13.948536
203,13.950458
204,13.958591
205,13.9647045
206,13.9703455
207,13.97196
208,13.972788
209,13.97358
210,13.966374
211,13.959206
212,13.951999
213,13.948444
214,13.944739
215,13.941151
216,13.940626
217,13.939675
218,13.938654
219,13.940085
220,13.940888
221,13.941684
222,13.947945
223,13.952485
224,13.956546
225,13.962829
226,13.967612
227,13.972073
228,13.9747305
229,13.976353
230,13.97781
231,13.971687
232,13.965698
233,13.959838
234,13.957209
235,13.954381
236,13.951681
237,13.951906
238,13.951628
239,13.951385
240,13.953968
241,13.955841
242,13.957676
243,13.959712
244,13.960995
245,13.962209
246,13.962879
247,13.962817
248,13.962679
249,13.9641075
250,13.964857
251,13.965596
252,13.970008
253,13.973451
254,13.976788
255,13.981304
256,13.984878
257,13.988282
258,13.983862
259,13.9793625
260,13.974918
261,13.965685
262,13.956783
263,13.948001
264,13.944106
265,13.940101
266,13.936189
267,13.936837
268,13.937025
269,13.93721
270,13.937843
271,13.938054
272,13.938253
273,13.933636
274,13.928613
275,13.923378
276,13.91721
277,13.911025
278,13.90482
279,13.896303
280,13.888171
281,13.880091
282,13.880896
283,13.880949
284,13.880723
285,13.881964
286,13.8824415
287,13.882605
288,13.875089
289,13.867959
290,13.86087
291,13.85496
292,13.849162
293,13.843387
294,13.850871
295,13.8562975
296,13.860788
297,13.86533
298,13.868838
299,13.872084
300,13.871644
301,13.870647
302,13.869655
303,13.872595
304,13.87472
305,13.876793
306,13.886075
307,13.893163
308,13.899685
309,13.884976
310,13.871452
311,13.858245
312,13.836829
313,13.8172035
314,13.797883
315,13.780807
316,13.7654705
317,13.750662
318,13.728798
319,13.709406
320,13.690849
321,13.676443
322,13.664018
323,13.652374
324,13.640917
325,13.630451
326,13.620315
327,13.614792
328,13.609287
329,13.603777
330,13.597562
331,13.590928
332,13.583934
333,13.58037
334,13.576157
335,13.571536
336,13.567251
337,13.562687
338,13.557921
339,13.555804
340,13.552944
341,13.549682
342,13.558989
343,13.566156
344,13.572528
345,13.579881
346,13.585725
347,13.591208
348,13.601206
349,13.609121
350,13.616476
351,13.63651
352,13.652345
353,13.66664
354,13.669448
355,13.671703
356,13.674091
357,13.681824
358,13.688139
359,13.69423
360,13.707868
361,13.718766
362,13.728709
363,13.740244
364,13.749648
365,13.758185
366,13.765794
367,13.772201
368,13.778285
369,13.781071
370,13.783055
371,13.784866
372,13.780741
373,13.776723
374,13.772746
375,13.767784
376,13.76314
377,13.758425
378,13.749829
379,13.74217
380,13.734635
381,13.718544
382,13.703857
383,13.6891365
384,13.674999
385,13.662539
386,13.650191
387,13.636712
388,13.625048
389,13.613516
390,13.603234
391,13.594919
392,13.58688
393,13.59405
394,13.6007395
395,13.606661
396,13.598529
397,13.5921755
398,13.586061
399,13.573606
400,13.563231
401,13.55321
402,13.547225
403,13.542919
404,13.538951
405,13.547244
406,13.554992
407,13.562034
408,13.557386
409,13.554099
410,13.551099
411,13.544113
412,13.538912
413,13.534103
414,13.543477
415,13.552069
416,13.559767
417,13.555383
418,13.552251
419,13.549194
420,13.546425
421,13.54492
422,13.543604
423,13.540509
424,13.538695
425,13.537074
426,13.537774
427,13.539335
428,13.540833
429,13.5386715
430,13.537815
431,13.53711
432,13.535986
433,13.5360565
434,13.536269
435,13.544896
436,13.553067
437,13.56063
438,13.567201
439,13.573383
440,13.579139
441,13.581979
442,13.584918
443,13.587627
444,13.592167
445,13.596697
446,13.600963
447,13.596449
448,13.593042
449,13.589918
450,13.591586
451,13.593767
452,13.595891
453,13.599994
454,13.604188
455,13.608185
456,13.619173
457,13.629022
458,13.638123
459,13.640667
460,13.643523
461,13.646307
462,13.646839
463,13.647821
464,13.6488285
465,13.647868
466,13.647565
467,13.647333
468,13.646501
469,13.64647
470,13.646531
471,13.648945
472,13.6518135
473,13.654571
474,13.664805
475,13.67314
476,13.680372
477,13.6907
478,13.698963
479,13.706221
480,13.710086
481,13.713652
482,13.716938
483,13.719796
484,13.722725
485,13.72556
486,13.72977
487,13.733663
488,13.7373705
489,13.744144
490,13.749535
491,13.754339
492,13.75516
493,13.755881
494,13.756537
495,13.754707
496,13.753033
497,13.751471
498,13.747574
499,13.7433405
500,13.739094
501,13.742802
502,13.745352
503,13.747687
504,13.7568
505,13.763046
506,13.768572
507,13.784928
508,13.797567
509,13.808964
510,13.797816
511,13.787204
512,13.7768
513,13.760341
514,13.744736
515,13.729399
516,13.717657
517,13.706504
518,13.695738
519,13.682922
520,13.671167
521,13.659965
522,13.638354
523,13.619071
524,13.600664
525,13.579664
526,13.561806
527,13.544996
528,13.533845
529,13.524971
530,13.51673
531,13.508592
532,13.502524
533,13.4968405
534,13.471563
535,13.451249
536,13.432473
