,0
0,14.488542
1,14.485722
2,14.482923
3,14.479705
4,14.476337
5,14.472979
6,14.471219
7,14.469244
8,14.467283
9,14.4642725
10,14.46103
11,14.457777
12,14.454889
13,14.451827
14,14.4487705
15,14.446567
16,14.4442
17,14.441838
18,14.43923
19,14.43635
20,14.433436
21,14.430613
22,14.427574
23,14.424519
24,14.42281
25,14.420863
26,14.418913
27,14.415471
28,14.411844
29,14.408192
30,14.404986
31,14.401709
32,14.398436
33,14.396405
34,14.394097
35,14.391711
36,14.388247
37,14.384574
38,14.380765
39,14.377102
40,14.373356
41,14.369578
42,14.366525
43,14.363258
44,14.359863
45,14.355197
46,14.350421
47,14.3454895
48,14.338636
49,14.331958
50,14.325212
51,14.321177
52,14.317022
53,14.312742
54,14.305545
55,14.29841
56,14.291063
57,14.285054
58,14.279093
59,14.272997
60,14.265556
61,14.258284
62,14.250905
63,14.243302
64,14.23579
65,14.228056
66,14.219557
67,14.211176
68,14.202594
69,14.192809
70,14.183202
71,14.173361
72,14.163098
73,14.153068
74,14.142804
75,14.137623
76,14.132151
77,14.126594
78,14.120465
79,14.114094
80,14.107569
81,14.094886
82,14.082426
83,14.06949
84,14.057103
85,14.045207
86,14.033012
87,14.030638
88,14.027561
89,14.024188
90,14.015414
91,14.006671
92,13.997784
93,13.982489
94,13.967508
95,13.952004
96,13.941021
97,13.930469
98,13.919805
99,13.911756
100,13.903903
101,13.895969
102,13.889689
103,13.883446
104,13.877138
105,13.868153
106,13.858985
107,13.849871
108,13.837706
109,13.825339
110,13.813004
111,13.793624
112,13.774553
113,13.755495
114,13.740955
115,13.726219
116,13.711572
117,13.711469
118,13.708641
119,13.705186
120,13.685765
121,13.665993
122,13.646268
123,13.624599
124,13.602675
125,13.580861
126,13.563276
127,13.544948
128,13.526703
129,13.518591
130,13.508502
131,13.498377
132,13.486102
133,13.472135
134,13.458246
135,13.428648
136,13.40008
137,13.372229
138,13.330635
139,13.292381
140,13.255504
141,13.222094
142,13.191826
143,13.162733
144,13.14472
145,13.127722
146,13.111125
147,13.093319
148,13.076346
149,13.059849
150,13.049658
151,13.039077
152,13.028565
153,13.041322
154,13.049897
155,13.057067
156,13.077653
157,13.092215
158,13.10469
159,13.126182
160,13.141222
161,13.154152
162,13.216671
163,13.265612
164,13.3088
165,13.333698
166,13.350467
167,13.36423
168,13.340582
169,13.3177185
170,13.295008
171,13.274743
172,13.255408
173,13.236602
174,13.241471
175,13.240076
176,13.235677
177,13.238244
178,13.237507
179,13.235696
180,13.230714
181,13.224659
182,13.218585
183,13.21148
184,13.203286
185,13.19507
186,13.190721
187,13.184208
188,13.177317
189,13.169311
190,13.159693
191,13.149859
192,13.15075
193,13.149932
194,13.149006
195,13.148627
196,13.145943
197,13.142933
198,13.136884
199,13.1296
200,13.122253
201,13.114257
202,13.1049795
203,13.095674
204,13.09283
205,13.087461
206,13.08156
207,13.073215
208,13.063406
209,13.053501
210,13.03767
211,13.021081
212,13.004321
213,12.993304
214,12.981327
215,12.969417
216,12.960443
217,12.950764
218,12.941203
219,12.935285
220,12.928242
221,12.921306
222,12.916852
223,12.910099
224,12.902608
225,12.899789
226,12.894459
227,12.888479
228,12.880754
229,12.870918
230,12.860614
231,12.84458
232,12.828122
233,12.811845
234,12.803571
235,12.794117
236,12.784659
237,12.781698
238,12.777029
239,12.772127
240,12.769316
241,12.765156
242,12.760966
243,12.75344
244,12.744638
245,12.735803
246,12.72609
247,12.714628
248,12.7028675
249,12.694777
250,12.685417
251,12.676044
252,12.6713705
253,12.665087
254,12.658691
255,12.653306
256,12.646265
257,12.6389885
258,12.618926
259,12.598536
260,12.578341
261,12.553283
262,12.5284195
263,12.503867
264,12.490431
265,12.476448
266,12.462698
267,12.4558115
268,12.4480715
269,12.440455
270,12.431707
271,12.422439
272,12.413246
273,12.407852
274,12.400468
275,12.392553
276,12.381864
277,12.369455
278,12.356048
279,12.344192
280,12.331507
281,12.318228
282,12.29781
283,12.27967
284,12.262322
285,12.242475
286,12.224824
287,12.2078705
288,12.193126
289,12.178791
290,12.164454
291,12.160435
292,12.155478
293,12.15034
294,12.137125
295,12.12674
296,12.117491
297,12.120683
298,12.123569
299,12.126457
300,12.120662
301,12.114426
302,12.108206
303,12.106072
304,12.103265
305,12.100668
306,12.124439
307,12.143426
308,12.160803
309,12.126135
310,12.095283
311,12.066247
312,12.010495
313,11.962475
314,11.918081
315,11.883462
316,11.853626
317,11.825899
318,11.771936
319,11.725024
320,11.681266
321,11.653853
322,11.628479
323,11.603807
324,11.580124
325,11.556824
326,11.533731
327,11.511813
328,11.488819
329,11.46558
330,11.442131
331,11.417302
332,11.3917265
333,11.370498
334,11.347784
335,11.324326
336,11.298555
337,11.271349
338,11.243402
339,11.21349
340,11.182318
341,11.150216
342,11.141735
343,11.130676
344,11.119083
345,11.1126995
346,11.103559
347,11.094011
348,11.086384
349,11.076886
350,11.067389
351,11.0828285
352,11.094862
353,11.106949
354,11.094276
355,11.079426
356,11.064516
357,11.056633
358,11.045747
359,11.034576
360,11.0483265
361,11.058555
362,11.068239
363,11.072997
364,11.074812
365,11.075712
366,11.073799
367,11.0695095
368,11.064993
369,11.066553
370,11.065627
371,11.064601
372,11.066181
373,11.065608
374,11.064708
375,11.048251
376,11.031663
377,11.015101
378,11.007666
379,10.999085
380,10.99022
381,10.952434
382,10.916947
383,10.88229
384,10.84851
385,10.817034
386,10.786304
387,10.749585
388,10.716434
389,10.68441
390,10.663541
391,10.643851
392,10.624439
393,10.648041
394,10.66782
395,10.686725
396,10.667921
397,10.650125
398,10.632645
399,10.594811
400,10.561359
401,10.529622
402,10.51553
403,10.502241
404,10.489344
405,10.514471
406,10.5366
407,10.557735
408,10.540899
409,10.524182
