,0
0,-0.0
1,0.0
2,0.0
3,-1.61e-43
4,-2.194e-42
5,3.458e-41
6,-2.70975e-40
7,3.554157e-39
8,1.1516566e-38
9,-6.387007e-38
10,-1.5309419e-37
11,-4.175293e-38
12,8.157618e-38
13,6.341071e-36
14,3.3354974e-35
15,1.9168281e-34
16,5.534427e-34
17,1.0861317e-33
18,3.94205e-34
19,-8.388466e-36
20,3.5735215e-35
21,-2.7443708e-33
22,-8.277819e-33
23,-1.9335192e-32
24,-5.3333683e-32
25,-2.024825e-31
26,-6.940881e-31
27,-7.7968138e-31
28,-4.7975536e-31
29,4.90514e-31
30,1.7662912e-30
31,1.9941009e-30
32,1.5412856e-30
33,3.8695288e-30
34,8.399981e-30
35,1.7563986e-29
36,3.8814494e-29
37,7.286857e-29
38,1.2890566e-28
39,1.477027e-28
40,1.2873534e-28
41,6.9787137e-29
42,7.3424213e-29
43,6.3472344e-29
44,1.4621075e-29
45,-7.1008947e-29
46,-3.4450212e-28
47,-1.0657575e-27
48,-2.071657e-28
49,2.4139225e-27
50,6.0908956e-27
51,2.888769e-27
52,3.8248807e-27
53,3.5657838e-26
54,1.2983109e-25
55,2.825145e-25
56,5.2921927e-25
57,1.1784546e-24
58,2.5621782e-24
59,5.454914e-24
60,8.090877e-24
61,1.0245052e-23
62,1.2093287e-23
63,1.6356657e-23
64,2.7026722e-23
65,7.523926e-23
66,2.42885e-22
67,6.8822225e-22
68,1.7822125e-21
69,3.258505e-21
70,5.7276623e-21
71,9.617414e-21
72,1.4780585e-20
73,2.178287e-20
74,3.069986e-20
75,3.8864338e-20
76,4.981247e-20
77,6.500706e-20
78,4.0981995e-20
79,1.4055128e-20
80,-1.19888545e-20
81,6.3940615e-20
82,2.3873614e-19
83,6.167802e-19
84,1.2675651e-18
85,2.4741049e-18
86,4.844638e-18
87,1.5823997e-18
88,-1.5736536e-18
89,-4.2381372e-18
90,-4.9212246e-18
91,-5.378102e-18
92,-5.443734e-18
93,-4.6816413e-18
94,7.626089e-18
95,4.3408338e-17
96,1.0586752e-16
97,2.1079413e-16
98,3.8676956e-16
99,5.314683e-16
100,7.0695583e-16
101,9.369916e-16
102,8.598717e-16
103,7.3602806e-16
104,5.9688834e-16
105,5.8066734e-16
106,4.811481e-16
107,3.2720327e-16
108,2.6638993e-16
109,2.0308158e-16
110,1.6157958e-16
111,5.4861625e-16
112,1.1730344e-15
113,2.11081e-15
114,4.6627186e-15
115,9.151487e-15
116,1.6759553e-14
117,2.9036117e-14
118,4.851373e-14
119,7.8371723e-14
120,1.2435914e-13
121,1.8593449e-13
122,2.6714967e-13
123,4.1119202e-13
124,6.1943294e-13
125,9.169458e-13
126,1.3569519e-12
127,1.9748094e-12
128,2.8164287e-12
129,3.36195e-12
130,4.049327e-12
131,4.8503454e-12
132,6.440896e-12
133,8.493887e-12
134,1.09684015e-11
135,1.5206354e-11
136,2.0586914e-11
137,2.7457873e-11
138,3.9582e-11
139,5.575125e-11
140,7.6735646e-11
141,9.614963e-11
142,1.174124e-10
143,1.3981465e-10
144,1.6952864e-10
145,2.0452925e-10
146,2.4225008e-10
147,2.8023683e-10
148,3.2816902e-10
149,3.834786e-10
150,4.801328e-10
151,6.105406e-10
152,7.698188e-10
153,9.685241e-10
154,1.2085336e-09
155,1.4753685e-09
156,1.7035027e-09
157,1.9980204e-09
158,2.3375621e-09
159,2.539691e-09
160,2.7877685e-09
161,3.0527827e-09
162,3.3995902e-09
163,3.637478e-09
164,3.689038e-09
165,4.2732684e-09
166,4.912179e-09
167,5.559004e-09
168,6.2497896e-09
169,6.7285906e-09
170,7.0619475e-09
171,7.676011e-09
172,8.195816e-09
173,8.629986e-09
174,1.1154606e-08
175,1.3708779e-08
176,1.6319897e-08
177,1.8442543e-08
178,2.0524483e-08
179,2.2604855e-08
180,4.2484924e-08
181,7.456187e-08
182,1.1972928e-07
183,1.3121075e-07
184,1.4489589e-07
185,1.6213312e-07
186,1.9213462e-07
187,2.2014896e-07
188,2.4818678e-07
189,2.534051e-07
190,2.623969e-07
191,2.7567017e-07
192,2.4076172e-07
193,2.22597e-07
194,2.0759619e-07
195,2.1886454e-07
196,2.2230691e-07
197,2.225314e-07
198,2.9272505e-07
199,3.6046458e-07
200,4.3288557e-07
201,5.0618297e-07
202,5.969505e-07
203,6.909616e-07
204,6.1238285e-07
205,5.520788e-07
206,5.1296945e-07
207,5.079511e-07
208,5.040163e-07
209,4.9935096e-07
210,6.1646847e-07
211,7.037544e-07
212,7.374231e-07
213,7.50192e-07
214,7.681268e-07
215,7.905743e-07
216,8.703113e-07
217,9.236409e-07
218,9.63153e-07
219,8.628043e-07
220,7.581862e-07
221,6.7315807e-07
222,6.3241544e-07
223,5.681238e-07
224,5.082266e-07
225,5.803662e-07
226,6.4434374e-07
227,7.0641056e-07
228,7.388091e-07
229,7.853743e-07
230,8.3879564e-07
231,9.278725e-07
232,9.844792e-07
233,9.995705e-07
234,1.0107985e-06
235,1.0096231e-06
236,1.0341386e-06
237,1.0046787e-06
238,9.8013e-07
239,9.511152e-07
240,9.633999e-07
241,9.482312e-07
242,9.158741e-07
243,9.089354e-07
244,8.867277e-07
245,8.616304e-07
246,8.8115917e-07
247,9.017166e-07
248,9.201176e-07
249,9.543924e-07
250,9.717595e-07
251,9.807671e-07
252,8.6212407e-07
253,7.5755764e-07
254,6.619627e-07
255,5.145765e-07
256,4.047632e-07
257,3.241001e-07
258,3.052011e-07
259,2.8502797e-07
260,2.6314262e-07
261,3.0103385e-07
262,3.3631665e-07
263,3.7082282e-07
264,3.489443e-07
265,3.3221806e-07
266,3.1755272e-07
267,2.9439173e-07
268,2.7144605e-07
269,2.4959377e-07
270,2.4147914e-07
271,2.2592808e-07
272,2.0750278e-07
273,2.0197741e-07
274,1.8527682e-07
275,1.6446374e-07
276,1.67436e-07
277,1.6370072e-07
278,1.5750501e-07
279,1.456497e-07
280,1.3240572e-07
281,1.1983308e-07
282,1.165362e-07
283,1.0960348e-07
284,1.0245339e-07
285,9.348049e-08
286,8.313678e-08
287,7.293295e-08
288,6.973051e-08
289,6.5459815e-08
290,6.0784124e-08
291,7.20576e-08
292,8.412338e-08
293,9.686596e-08
294,1.014877e-07
295,1.0325381e-07
296,1.0337673e-07
297,8.992631e-08
298,7.655961e-08
299,6.437239e-08
300,4.754351e-08
301,3.776672e-08
302,3.010005e-08
303,2.9708096e-08
304,2.9526957e-08
305,2.8991916e-08
306,2.5284708e-08
307,2.207891e-08
308,1.893877e-08
309,2.0362767e-08
310,2.0538954e-08
311,1.992123e-08
312,2.2257142e-08
313,2.276022e-08
314,2.2575547e-08
315,2.0336342e-08
316,1.8231733e-08
317,1.6427464e-08
318,1.7449144e-08
319,1.7637506e-08
320,1.75814e-08
321,1.6881328e-08
322,1.6347357e-08
