,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-0.0
8,-0.0
9,-0.0
10,-0.0
11,-0.0
12,-0.0
13,0.0
14,-0.0
15,-0.0
16,-0.0
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,-1e-45
24,1e-45
25,7e-45
26,1.5e-44
27,4e-44
28,7.7e-44
29,1.56e-43
30,1.9e-43
31,2.33e-43
32,2.77e-43
33,3.28e-43
34,4.13e-43
35,4.92e-43
36,8.21e-43
37,1.145e-42
38,1.512e-42
39,2.158e-42
40,2.713e-42
41,3.698e-42
42,4.06e-42
43,2.504e-42
44,-1.882e-42
45,-1.051e-41
46,-2.4577e-41
47,-4.5726e-41
48,-5.5186e-41
49,-5.3525e-41
50,-5.926e-41
51,-5.127e-41
52,-4.5953e-41
53,-1.7777e-41
54,-9.3188e-41
55,-1.796e-40
56,-2.645e-40
57,-3.65382e-40
58,-4.5259e-40
59,-5.26623e-40
60,-4.56622e-40
61,-3.73984e-40
62,-2.5364e-40
63,-8.1805e-41
64,1.30377e-40
65,4.30384e-40
66,4.77193e-40
67,5.81771e-40
68,7.54954e-40
69,9.97681e-40
70,1.333593e-39
71,1.750404e-39
72,2.180576e-39
73,2.596635e-39
74,3.003592e-39
75,3.366646e-39
76,3.742006e-39
77,4.066771e-39
78,5.26703e-39
79,7.955482e-39
80,1.257896e-38
81,1.9834463e-38
82,3.1073485e-38
83,4.6336512e-38
84,5.2103505e-38
85,5.736709e-38
86,6.700949e-38
87,7.644996e-38
88,9.3975666e-38
89,1.0807137e-37
90,1.2544685e-37
91,1.5195144e-37
92,1.7143303e-37
93,2.050446e-37
94,2.2824784e-37
95,2.7006728e-37
96,2.3791873e-37
97,2.7140732e-37
98,4.255103e-37
99,7.177708e-37
100,1.31292205e-36
101,2.1639135e-36
102,2.178312e-36
103,2.2651419e-36
104,2.300205e-36
105,2.2226954e-36
106,2.1153162e-36
107,2.0397293e-36
108,1.0863195e-36
109,-2.9026626e-37
110,-2.3475703e-36
111,-4.9891567e-36
112,-8.8030314e-36
113,-1.3287057e-35
114,-1.9987096e-35
115,-2.836492e-35
116,-3.9810975e-35
117,-5.3036623e-35
118,-7.1386314e-35
119,-9.241666e-35
120,-1.1579348e-34
121,-1.3329817e-34
122,-1.4956339e-34
123,-1.607415e-34
124,-1.7133586e-34
125,-1.7100927e-34
126,-2.0526439e-34
127,-2.4458943e-34
128,-2.8750652e-34
129,-3.3881726e-34
130,-4.02249e-34
131,-4.682827e-34
132,-5.3807804e-34
133,-6.1197466e-34
134,-6.9548734e-34
135,-7.9085965e-34
136,-9.11185e-34
137,-1.0613529e-33
138,-1.2664876e-33
139,-1.4911515e-33
140,-1.7780496e-33
141,-2.0580417e-33
142,-2.4204095e-33
143,-2.870791e-33
144,-3.415768e-33
145,-4.005076e-33
146,-4.729481e-33
147,-5.501986e-33
148,-6.4064435e-33
149,-7.43287e-33
150,-7.290458e-33
151,-7.1756576e-33
152,-7.036605e-33
153,-6.729488e-33
154,-6.469499e-33
155,-5.762384e-33
156,-5.612696e-33
157,-5.4178663e-33
158,-5.0754613e-33
159,-4.560563e-33
160,-3.8457995e-33
161,-3.0482837e-33
162,-3.408635e-33
163,-4.080865e-33
164,-4.8003428e-33
165,-5.905493e-33
166,-7.275571e-33
167,-9.042494e-33
168,-8.284698e-33
169,-7.357415e-33
170,-6.0977627e-33
171,-4.917685e-33
172,-3.3324684e-33
173,-1.84446e-33
174,5.4781256e-34
175,3.1636502e-33
176,6.351775e-33
177,9.392051e-33
178,1.1940043e-32
179,1.5867674e-32
180,1.9502805e-32
181,2.3606201e-32
182,2.792683e-32
183,3.1695968e-32
184,3.4459805e-32
185,3.8281096e-32
186,4.0129773e-32
187,4.2304387e-32
188,4.318056e-32
189,4.398204e-32
190,4.4941218e-32
191,3.5881936e-32
192,4.7129677e-32
193,5.4859363e-32
194,5.861393e-32
195,5.897991e-32
196,5.382928e-32
197,4.1369896e-32
198,3.3038162e-32
199,2.4473657e-32
200,1.3199773e-32
201,2.7214363e-34
202,-1.5159945e-32
203,-3.067365e-32
204,-3.1299682e-32
205,-3.1572212e-32
206,-3.1241874e-32
207,-3.9251905e-32
208,-3.1538096e-32
209,-2.2041975e-32
210,-4.1982866e-32
211,-4.4426607e-32
212,-3.1004225e-32
213,3.551981e-33
214,6.3602355e-32
215,1.5345344e-31
216,1.199683e-31
217,1.0308669e-31
218,1.0490026e-31
219,1.3528589e-31
220,1.8295325e-31
221,2.9545202e-31
222,3.7743682e-31
223,4.755215e-31
224,5.899555e-31
225,7.787169e-31
226,9.830432e-31
227,1.25212e-30
228,1.7199367e-30
229,2.3064316e-30
230,3.0651724e-30
231,3.9630605e-30
232,5.155364e-30
233,6.4639656e-30
234,7.191703e-30
235,8.0253884e-30
236,8.986792e-30
237,9.84163e-30
238,1.08084866e-29
239,1.22124384e-29
240,1.4299897e-29
241,1.6555207e-29
242,1.8905303e-29
243,2.1757557e-29
244,2.473181e-29
245,2.781229e-29
246,3.7557298e-29
247,4.961974e-29
248,6.4523943e-29
249,8.277095e-29
250,1.0428279e-28
251,1.3040018e-28
252,1.4138927e-28
253,1.5115059e-28
254,1.6233488e-28
255,1.4496215e-28
256,1.5489322e-28
257,1.6796686e-28
258,1.921921e-28
259,2.17889e-28
260,2.4949784e-28
261,2.839166e-28
262,3.3017479e-28
263,3.7431537e-28
264,4.2767523e-28
265,4.8632606e-28
266,5.52275e-28
267,6.1845515e-28
268,6.9801676e-28
269,7.780295e-28
270,8.779332e-28
271,9.855699e-28
272,1.1010459e-27
273,1.2258265e-27
274,1.3600558e-27
275,1.5063247e-27
276,1.6579516e-27
277,1.8108133e-27
278,1.9723606e-27
279,2.1447872e-27
280,2.3256536e-27
281,2.5158716e-27
282,2.7007395e-27
283,2.8750544e-27
284,3.0498986e-27
285,3.2248954e-27
286,3.3993858e-27
287,3.5700297e-27
288,3.800901e-27
289,4.0230993e-27
290,4.2430028e-27
291,3.906106e-27
292,3.437333e-27
293,3.4835547e-27
294,3.8368546e-27
295,4.228252e-27
296,4.643563e-27
297,5.0936117e-27
298,5.5911564e-27
299,6.1061274e-27
300,6.3362163e-27
301,6.57731e-27
302,6.825058e-27
303,7.073278e-27
304,7.167054e-27
305,7.312157e-27
306,7.833089e-27
307,8.160671e-27
308,8.295023e-27
309,8.171899e-27
310,7.77381e-27
311,7.0722436e-27
312,6.6336284e-27
313,6.044592e-27
314,5.2408217e-27
315,4.151774e-27
316,2.8344652e-27
317,1.2176276e-27
318,-4.0998946e-27
319,-9.878242e-27
320,-1.6001113e-26
321,-2.2700523e-26
322,-2.9721894e-26
323,-3.6891524e-26
324,-3.9481182e-26
325,-4.1833445e-26
326,-4.4206554e-26
327,-4.6684474e-26
