,0
0,14.488599
1,14.48585
2,14.483038
3,14.479928
4,14.476421
5,14.47291
6,14.47052
7,14.467665
8,14.464825
9,14.461557
10,14.457936
11,14.45435
12,14.451965
13,14.449107
14,14.446265
15,14.44291
16,14.439217
17,14.435476
18,14.433069
19,14.43018
20,14.427304
21,14.423766
22,14.419924
23,14.415992
24,14.413612
25,14.410736
26,14.407883
27,14.404221
28,14.400255
29,14.396314
30,14.394004
31,14.391187
32,14.388399
33,14.384702
34,14.380712
35,14.376745
36,14.374544
37,14.371595
38,14.368895
39,14.364996
40,14.360672
41,14.356571
42,14.354228
43,14.351552
44,14.349032
45,14.344976
46,14.340618
47,14.336505
48,14.334476
49,14.33208
50,14.329734
51,14.325472
52,14.321117
53,14.316745
54,14.3153925
55,14.313611
56,14.311744
57,14.307574
58,14.303281
59,14.298962
60,14.29846
61,14.297396
62,14.296254
63,14.292261
64,14.287485
65,14.282978
66,14.282554
67,14.281353
68,14.280561
69,14.275818
70,14.270869
71,14.265786
72,14.264971
73,14.26306
74,14.261598
75,14.256741
76,14.251076
77,14.245624
78,14.243319
79,14.240409
80,14.237466
81,14.232265
82,14.226699
83,14.2217045
84,14.2179365
85,14.214036
86,14.20982
87,14.205088
88,14.200329
89,14.195588
90,14.19155
91,14.187091
92,14.182612
93,14.178465
94,14.1739645
95,14.169413
96,14.165418
97,14.161124
98,14.156854
99,14.151894
100,14.147795
101,14.14266
102,14.138897
103,14.134252
104,14.130296
105,14.122207
106,14.118588
107,14.110176
108,14.106558
109,14.097991
110,14.094244
111,14.086066
112,14.08229
113,14.073181
114,14.069261
115,14.064441
116,14.056073
117,14.052163
118,14.042961
119,14.038642
120,14.029275
121,14.025108
122,14.017284
123,14.013463
124,14.004695
125,13.999678
126,13.990678
127,13.98525
128,13.975981
129,13.971625
130,13.961201
131,13.956377
132,13.950821
133,13.941002
134,13.936349
135,13.925515
136,13.920728
137,13.914619
138,13.904186
139,13.899459
140,13.887733
141,13.882815
142,13.877651
143,13.865246
144,13.860473
145,13.848173
146,13.842444
147,13.837039
148,13.824334
149,13.818481
150,13.81273
151,13.799853
152,13.793492
153,13.786055
154,13.774059
155,13.767499
156,13.759743
157,13.747561
158,13.739941
159,13.73237
160,13.718022
161,13.710459
162,13.696434
163,13.685512
164,13.676781
165,13.66333
166,13.650774
167,13.636447
168,13.628147
169,13.6158495
170,13.600217
171,13.592081
172,13.577976
173,13.562301
174,13.553444
175,13.542257
176,13.528335
177,13.512012
178,13.50167
179,13.483171
180,13.469252
181,13.458229
182,13.439209
183,13.424477
184,13.413591
185,13.393084
186,13.378472
187,13.365709
188,13.345753
189,13.334135
190,13.322441
191,13.296899
192,13.285437
193,13.27351
194,13.2514715
195,13.234737
196,13.216513
197,13.202098
198,13.189585
199,13.162517
200,13.146873
201,13.134243
202,13.111915
203,13.089678
204,13.076933
205,13.0531845
206,13.038789
207,13.016725
208,12.993014
209,12.977527
210,12.962277
211,12.947363
212,12.922157
213,12.899244
214,12.883368
215,12.867978
216,12.84163
217,12.818737
218,12.802832
219,12.788611
220,12.760309
221,12.743957
222,12.728841
223,12.706301
224,12.679554
225,12.662536
226,12.647231
227,12.621582
228,12.605932
229,12.577798
230,12.56064
231,12.54464
232,12.528113
233,12.51055
234,12.494071
235,12.455904
236,12.440643
237,12.422561
238,12.407171
239,12.391136
240,12.35989
241,12.335284
242,12.3198595
243,12.303499
244,12.285341
245,12.266634
246,12.25194
247,12.2348585
248,12.205521
249,12.180396
250,12.164411
251,12.150826
252,12.135319
253,12.111754
254,12.082414
255,12.068585
256,12.05327
257,12.039126
258,12.015909
259,12.003161
260,11.97301
261,11.949822
262,11.938066
263,11.924272
264,11.912304
265,11.892462
266,11.869736
267,11.842461
268,11.831497
269,11.808719
270,11.789555
271,11.778774
272,11.766714
273,11.745449
274,11.721331
275,11.701819
276,11.693446
277,11.671759
278,11.661125
279,11.645195
280,11.622649
281,11.610556
282,11.586252
283,11.569294
284,11.543899
285,11.534445
286,11.52304
287,11.513257
288,11.494638
289,11.47014
290,11.462215
291,11.45057
292,11.432757
293,11.407916
294,11.380983
295,11.371443
296,11.340911
297,11.3306055
298,11.322352
299,11.314284
300,11.293464
301,11.275523
302,11.257351
303,11.249074
304,11.233832
305,11.22524
306,11.186213
307,11.159482
308,11.153196
309,11.133569
310,11.127763
311,11.121698
312,11.091179
313,11.085838
314,11.065876
315,11.059549
316,11.033602
317,11.00837
318,10.98932
319,10.98087
320,10.95164
321,10.945177
322,10.925339
323,10.915259
324,10.896417
325,10.890232
326,10.861198
327,10.83549
328,10.816473
329,10.807823
330,10.7898655
331,10.783659
332,10.753933
333,10.746128
334,10.726819
335,10.703247
336,10.698422
337,10.678105
338,10.6615715
339,10.64003
340,10.633371
341,10.61293
342,10.606726
343,10.567823
344,10.55039
345,10.543989
346,10.522556
347,10.514935
348,10.495167
349,10.487764
350,10.47094
351,10.433503
352,10.427232
353,10.404175
354,10.400189
355,10.374597
356,10.367733
357,10.346121
358,10.335821
359,10.295717
360,10.285855
361,10.274178
362,10.26512
363,10.242704
364,10.219771
365,10.194931
366,10.186504
367,10.177794
368,10.166207
369,10.133157
370,10.125659
371,10.116224
372,10.109184
373,10.085504
374,10.076331
375,10.042542
376,10.035276
377,10.025922
378,10.018165
379,10.010089
380,9.976175
381,9.954734
382,9.948128
383,9.940018
384,9.931264
385,9.924765
386,9.90263
387,9.874456
388,9.867533
389,9.858835
390,9.852257
391,9.816894
392,9.80902
393,9.790108
394,9.7830105
395,9.774174
396,9.767188
397,9.747484
398,9.726809
399,9.707849
400,9.700599
401,9.6933565
402,9.685879
403,9.666599
404,9.644945
405,9.638975
406,9.617253
407,9.6100855
408,9.6040125
409,9.572496
410,9.566155
411,9.560121
412,9.552532
413,9.530967
414,9.512493
415,9.5056
416,9.486766
417,9.478467
418,9.467523
419,9.428704
420,9.420802
421,9.412117
422,9.388377
423,9.380739
424,9.361245
425,9.351056
426,9.326823
427,9.304371
428,9.295959
429,9.27537
430,9.266474
431,9.257763
432,9.234058
433,9.211492
434,9.190583
435,9.184863
436,9.170208
437,9.164889
438,9.1598215
439,9.131778
440,9.110559
441,9.107916
442,9.094806
443,9.090103
444,9.0856905
445,9.07332
446,9.054459
447,9.037588
448,9.032747
449,9.033263
450,9.020115
451,9.018629
452,9.015024
453,9.013114
454,8.982166
455,8.980961
456,8.965728
457,8.96425
458,8.962326
459,8.960435
460,8.947702
461,8.930248
462,8.928473
463,8.917679
464,8.908132
465,8.906525
466,8.903887
467,8.900679
468,8.898231
469,8.884639
470,8.866692
471,8.866786
472,8.850914
473,8.851353
474,8.842056
475,8.843922
476,8.838228
477,8.81467
478,8.818645
479,8.803682
480,8.808431
481,8.800248
482,8.803704
483,8.795904
484,8.779155
485,8.767632
486,8.7729225
487,8.762762
488,8.763478
489,8.758532
490,8.761961
491,8.737695
492,8.745497
493,8.733061
494,8.738284
495,8.730337
496,8.699835
497,8.702946
498,8.693158
499,8.683029
500,8.680036
501,8.670404
502,8.66631
503,8.666061
504,8.636127
505,8.635986
506,8.640421
507,8.631668
508,8.620508
509,8.629552
510,8.610368
511,8.584215
512,8.583109
513,8.574221
514,8.5643
515,8.566563
516,8.546284
517,8.540253
518,8.524619
519,8.514625
520,8.506421
521,8.503105
522,8.491453
523,8.480273
524,8.464286
525,8.44396
526,8.446244
527,8.433634
528,8.422667
529,8.414768
530,8.395433
531,8.386875
532,8.350594
533,8.350335
534,8.328059
535,8.320639
536,8.306605
537,8.294603
538,8.27944
539,8.257576
540,8.252371
541,8.241528
542,8.2117195
543,8.194496
544,8.187834
545,8.177063
546,8.171997
547,8.155727
548,8.141464
549,8.118654
550,8.110278
551,8.094028
552,8.087718
553,8.0818205
554,8.070856
555,8.053578
556,8.03039
557,8.021609
558,8.015655
559,8.00117
560,7.993788
561,7.9844704
562,7.9608955
563,7.94051
564,7.936415
565,7.9319134
566,7.9242268
567,7.906967
568,7.8984203
569,7.871929
570,7.8643174
571,7.852457
572,7.8449697
573,7.8396544
574,7.8215437
575,7.8152833
576,7.7930226
577,7.78357
578,7.778707
579,7.766091
580,7.756923
581,7.7500014
582,7.7318974
583,7.7193136
584,7.7188244
585,7.713793
586,7.7128053
587,7.701966
588,7.703351
589,7.6772213
590,7.6773233
591,7.668489
592,7.6702967
593,7.6659794
594,7.662885
595,7.654753
596,7.635594
597,7.634872
598,7.634408
599,7.6210513
600,7.6232963
601,7.6250553
602,7.620447
603,7.597748
604,7.5930443
605,7.5945463
606,7.5950837
607,7.5947027
608,7.5899
609,7.5865865
610,7.567538
611,7.5693493
612,7.568807
613,7.5570755
614,7.5588355
615,7.5524354
616,7.550301
617,7.531026
618,7.524085
619,7.5220766
620,7.5218425
621,7.51067
622,7.510605
623,7.5033526
624,7.481515
625,7.4807873
626,7.479833
627,7.477999
628,7.4641423
629,7.4644604
630,7.4625607
631,7.442701
632,7.44333
633,7.4353266
634,7.435865
635,7.4275737
636,7.426811
637,7.407953
638,7.4020944
639,7.400935
640,7.3991065
641,7.3989396
642,7.3858037
643,7.3819504
644,7.361283
645,7.361211
646,7.3612638
647,7.3619018
648,7.35373
649,7.3324504
650,7.3331976
651,7.3346815
652,7.33327
653,7.334051
654,7.3276286
655,7.31148
656,7.305116
657,7.3074183
658,7.308093
659,7.3068233
660,7.2989573
661,7.291486
662,7.291813
663,7.276489
664,7.2669005
665,7.2673807
666,7.270044
667,7.265235
668,7.263591
669,7.2407513
670,7.2430124
671,7.235903
672,7.2321715
673,7.233516
674,7.2089396
675,7.213505
676,7.2077074
677,7.2108464
678,7.208608
679,7.1933603
680,7.190604
681,7.1874456
682,7.191706
683,7.187083
684,7.173432
685,7.1698747
686,7.1680307
687,7.172944
688,7.166313
689,7.1468887
690,7.152879
691,7.1479006
692,7.144126
693,7.1513014
694,7.1365323
695,7.131755
696,7.1387715
697,7.133987
698,7.1124296
699,7.1095095
700,7.1153936
701,7.1078477
702,7.1065993
703,7.0927615
704,7.0877953
705,7.084019
706,7.089733
707,7.085993
708,7.082148
709,7.067996
710,7.0635853
711,7.0584517
712,7.0646343
713,7.057298
714,7.050289
715,7.0505958
716,7.049857
717,7.0398045
718,7.020756
719,7.012947
720,7.0113797
721,7.0069494
722,7.0101314
723,6.980875
724,6.9852257
725,6.9783134
726,6.9776263
727,6.971128
728,6.953285
729,6.9435315
730,6.9391804
731,6.9395432
732,6.928905
733,6.910831
734,6.902382
735,6.8978963
736,6.886403
737,6.884551
738,6.859566
739,6.851097
740,6.848194
741,6.842169
742,6.833123
743,6.830301
744,6.805873
745,6.7980986
746,6.7947454
747,6.78842
748,6.786354
749,6.7588143
750,6.7538977
751,6.751024
752,6.7411284
753,6.73861
754,6.7329493
755,6.7063246
756,6.7021866
757,6.6995664
758,6.6944637
759,6.6854043
760,6.663965
761,6.661787
762,6.653663
763,6.6531157
764,6.6538553
765,6.6329927
766,6.6334386
767,6.6315336
768,6.627237
769,6.6087456
770,6.6053414
771,6.6035047
772,6.604355
773,6.598915
774,6.600649
775,6.5816526
776,6.578399
777,6.5777264
778,6.579331
779,6.5779653
780,6.556681
781,6.559633
782,6.5573516
783,6.555811
784,6.558683
785,6.5567055
786,6.5391307
787,6.5371003
788,6.5395575
789,6.540775
790,6.5375566
791,6.522921
792,6.5221004
793,6.5194573
794,6.524049
795,6.524101
796,6.5263476
797,6.5055842
798,6.5078864
799,6.5112453
800,6.5077825
801,6.512353
802,6.495857
803,6.49606
804,6.4982386
805,6.4982324
806,6.4792666
807,6.4834805
808,6.484665
809,6.4885974
810,6.4708557
811,6.4740257
812,6.472689
813,6.4747868
814,6.4764037
815,6.4598784
816,6.464993
817,6.465747
818,6.464059
819,6.4481015
820,6.4506454
821,6.4525023
822,6.453798
823,6.455113
824,6.4368205
825,6.4390225
826,6.438405
827,6.443062
828,6.4269443
829,6.4281
830,6.429186
831,6.4307075
832,6.4273896
833,6.423527
834,6.419149
835,6.4236917
836,6.407647
837,6.403447
838,6.406442
839,6.4087424
840,6.3871994
841,6.3919964
842,6.3907604
843,6.393889
844,6.3923697
845,6.375564
846,6.378527
847,6.380979
848,6.3778167
849,6.362916
850,6.3661103
851,6.3678446
852,6.3679204
853,6.3724194
854,6.354672
855,6.3523936
856,6.3557777
857,6.3580565
858,6.3409057
859,6.341455
860,6.342914
861,6.3453918
862,6.346331
863,6.3325386
864,6.329591
865,6.333497
866,6.3341947
867,6.3201118
868,6.322564
869,6.319287
870,6.3230515
871,6.325448
872,6.308557
873,6.3133097
874,6.3101315
875,6.3138905
876,6.314688
877,6.2999153
878,6.3007755
879,6.3046737
880,6.3035383
881,6.290355
882,6.2920313
883,6.2930365
884,6.2972016
885,6.2981014
886,6.2785554
887,6.281914
888,6.28711
889,6.286536
890,6.272549
891,6.27419
892,6.274946
893,6.2788672
894,6.2819495
895,6.264724
896,6.270808
897,6.2704163
898,6.2717595
899,6.2581115
900,6.2606378
901,6.259902
902,6.264287
903,6.2645373
904,6.247845
905,6.2525363
906,6.251822
907,6.2514606
908,6.239021
909,6.2388816
910,6.238851
911,6.242956
912,6.2390957
913,6.2199783
914,6.2253547
915,6.2193446
916,6.2231374
917,6.2181706
918,6.1965337
919,6.199165
920,6.1944633
921,6.192017
922,6.193089
923,6.1736917
924,6.1687984
925,6.1703343
926,6.167779
927,6.1673665
928,6.166023
929,6.1465993
