,0
0,5.4707403
1,5.4658623
2,5.460985
3,6.2327137
4,6.225671
5,6.219696
6,5.381001
7,5.375824
8,5.3715267
9,6.185898
10,6.179659
11,6.1723375
12,5.3388357
13,5.333597
14,5.328163
15,6.160467
16,6.1528254
17,6.145671
18,5.338613
19,5.3333917
20,5.327963
21,6.1417384
22,6.1341333
23,6.1272573
24,5.3212366
25,5.316023
26,5.3105936
27,6.1180677
28,6.110448
29,6.1033363
30,5.305681
31,5.3004675
32,5.295035
33,6.093722
34,6.086067
35,6.0801845
36,5.300769
37,5.295539
38,5.2900887
39,6.087803
40,6.080166
41,6.0741215
42,5.2860236
43,5.2807703
44,5.2752934
45,6.054924
46,6.0472355
47,6.0407386
48,5.2847033
49,5.279405
50,5.2738795
51,6.053404
52,6.045576
53,6.038722
54,5.269967
55,5.264609
56,5.259017
57,6.0481205
58,6.0401855
59,6.032363
60,5.2519474
61,5.2465286
62,5.2408724
63,6.0117664
64,6.003719
65,5.9965463
66,5.2575254
67,5.2520475
68,5.24633
69,5.9935074
70,5.9853296
71,5.9772377
72,5.232213
73,5.2267466
74,5.2210298
75,5.9807796
76,5.9724884
77,5.963919
78,5.218013
79,5.212475
80,5.206683
81,5.951635
82,5.9432545
83,5.9350533
84,5.2104774
85,5.2048683
86,5.1990066
87,5.9268365
88,5.918276
89,5.9094315
90,5.184736
91,5.179122
92,5.173261
93,5.8978424
94,5.889193
95,5.8811483
96,5.1710134
97,5.1652894
98,5.159309
99,5.876301
100,5.867504
101,5.8584285
102,5.1574163
103,5.1515994
104,5.145534
105,5.839948
106,5.8311014
107,5.821982
108,5.117946
109,5.112136
110,5.106085
111,5.806149
112,5.7972713
113,5.7882795
114,5.09305
115,5.087185
116,5.0817614
117,5.778905
118,5.770484
119,5.7622666
120,5.0581346
121,5.053721
122,5.0492764
123,5.7516017
124,5.7431526
125,5.734948
126,5.034178
127,5.030151
128,5.0246406
129,5.721956
130,5.713526
131,5.7048416
132,4.9998283
133,4.9947844
134,4.990571
135,5.6795034
136,5.6711206
137,5.66251
138,4.9706635
139,4.964999
140,4.959851
141,5.655593
142,5.6472225
143,5.6386356
144,4.9447794
145,4.939207
146,4.934307
147,5.618703
148,5.610396
149,5.6022406
150,4.904236
151,4.8989778
152,4.894098
153,5.586092
154,5.5780478
155,5.5707626
156,4.8900485
157,4.884139
158,4.8788805
159,5.5532537
160,5.546133
161,5.5385666
162,4.835094
163,4.829239
164,4.8234854
165,5.5143976
166,5.5064864
167,5.4997463
168,4.813371
169,4.8075967
170,4.801991
171,5.469462
172,5.462354
173,5.4549365
174,4.7723336
175,4.7667
176,4.7615886
177,5.432961
178,5.426659
179,5.420582
180,4.759363
181,4.7537565
182,4.748392
183,5.3969145
184,5.3892155
185,5.3822556
186,4.7305946
187,4.725005
188,4.7197356
189,5.3783736
190,5.3713927
191,5.364114
192,4.7163286
193,4.71084
194,4.7075343
195,5.3568306
196,5.349302
197,5.3426247
198,4.7064977
199,4.701139
200,4.6974945
201,5.3335376
202,5.3271065
203,5.320035
204,4.7166266
205,4.71135
206,4.7075644
207,5.33027
208,5.3237286
209,5.31677
210,4.714486
211,4.709965
212,4.707515
213,5.304827
214,5.297736
215,5.29175
216,4.718249
217,4.7137356
218,4.7107525
219,5.299325
220,5.2924037
221,5.285994
222,4.74837
223,4.743541
224,4.740321
225,5.2939873
226,5.287185
227,5.2811823
228,4.7554436
229,4.7506576
230,4.7468643
231,5.2765026
232,5.2701654
233,5.263609
234,4.79974
235,4.7948008
236,4.7902865
237,5.2813816
238,5.2751026
239,5.2690916
240,4.8133373
241,4.809052
242,4.8063293
243,5.274441
244,5.2673626
245,5.2609797
246,4.8423285
247,4.8376536
248,4.8353977
249,5.2744946
250,5.2672043
251,5.259804
252,4.8997207
253,4.897643
254,4.895779
255,5.2795334
256,5.270924
257,5.2632
258,4.931961
259,4.9287653
260,4.9263096
261,5.2717566
262,5.2639127
263,5.255631
264,4.9882193
265,4.985887
266,4.983472
267,5.265711
268,5.256512
269,5.24807
270,5.01486
271,5.0116014
272,5.009758
273,5.244091
274,5.2348948
275,5.2261214
276,5.080556
277,5.0773277
278,5.075007
279,5.237016
280,5.2285
281,5.219807
282,5.0890303
283,5.084799
284,5.0817204
285,5.200023
286,5.190386
287,5.181665
288,5.097858
289,5.0923505
290,5.089287
291,5.170388
292,5.162323
293,5.1553125
294,5.1022253
295,5.099745
296,5.0944967
297,5.1464853
298,5.1381283
299,5.1311255
300,5.095535
301,5.0920687
302,5.0873833
303,5.1106534
304,5.1032257
305,5.0969214
306,5.0880203
307,5.0826416
308,5.0775886
309,5.09202
310,5.0854473
311,5.07872
312,5.063862
313,5.058895
314,5.052292
315,5.0639844
316,5.056856
317,5.051133
318,5.044324
319,5.038462
320,5.0334735
321,5.0297785
322,5.023061
323,5.0177794
324,5.0076766
325,5.0032163
326,4.9976196
327,4.999064
328,4.993245
329,4.9879274
330,4.9776344
331,4.9715447
332,4.967223
333,4.9656925
334,4.9605856
335,4.9548783
336,4.942146
337,4.936124
338,4.9296293
339,4.9700174
340,4.9652967
341,4.959869
342,4.9301667
343,4.9252043
344,4.919974
345,4.9111495
346,4.906822
347,4.9004364
348,4.9000797
349,4.8929844
350,4.8876314
351,4.8668985
352,4.8605466
353,4.8559794
354,4.839348
355,4.833428
356,4.8282685
