,0
0,14.490876
1,14.490383
2,14.489894
3,14.489
4,14.487992
5,14.486975
6,14.486386
7,14.485612
8,14.484875
9,14.483963
10,14.482948
11,14.481917
12,14.481241
13,14.480428
14,14.479615
15,14.478683
16,14.477638
17,14.476602
18,14.475903
19,14.475062
20,14.474226
21,14.473277
22,14.472205
23,14.47115
24,14.4704485
25,14.469603
26,14.468757
27,14.467801
28,14.46672
29,14.4656515
30,14.464943
31,14.464087
32,14.463234
33,14.462263
34,14.461171
35,14.460095
36,14.459369
37,14.458496
38,14.457626
39,14.456626
40,14.455511
41,14.454396
42,14.453668
43,14.452788
44,14.451911
45,14.450901
46,14.449774
47,14.448647
48,14.4479
49,14.447004
50,14.446112
51,14.445059
52,14.443898
53,14.442731
54,14.441978
55,14.441076
56,14.440174
57,14.439093
58,14.437905
59,14.436698
60,14.435944
61,14.435027
62,14.434116
63,14.43302
64,14.431813
65,14.430611
66,14.429843
67,14.428915
68,14.427989
69,14.4268675
70,14.425639
71,14.424412
72,14.423608
73,14.422645
74,14.421685
75,14.420536
76,14.419279
77,14.418021
78,14.417204
79,14.416223
80,14.415245
81,14.414069
82,14.412781
83,14.4114895
84,14.410663
85,14.409669
86,14.408675
87,14.407473
88,14.406159
89,14.404847
90,14.404007
91,14.402994
92,14.401982
93,14.400764
94,14.399431
95,14.398093
96,14.397228
97,14.396187
98,14.395147
99,14.393913
100,14.392567
101,14.39122
102,14.390347
103,14.389287
104,14.388232
105,14.386999
106,14.38565
107,14.384297
108,14.3834305
109,14.382375
110,14.381321
111,14.380077
112,14.378717
113,14.377339
114,14.376474
115,14.375416
116,14.374296
117,14.372988
118,14.371559
119,14.370192
120,14.369318
121,14.368291
122,14.367175
123,14.365867
124,14.364434
125,14.363061
126,14.3622055
127,14.361151
128,14.360138
129,14.35883
130,14.357395
131,14.355961
132,14.355113
133,14.354063
134,14.353021
135,14.351719
136,14.350288
137,14.348881
138,14.348072
139,14.347045
140,14.346045
141,14.344743
142,14.3433075
143,14.341899
144,14.341124
145,14.340121
146,14.3391075
147,14.337812
148,14.336383
149,14.335012
150,14.334414
151,14.3334
152,14.3324995
153,14.3311615
154,14.329714
155,14.328343
156,14.3277855
157,14.326969
158,14.326064
159,14.324778
160,14.323462
161,14.322046
162,14.321533
163,14.320767
164,14.319971
165,14.318692
166,14.317363
167,14.315918
168,14.3154545
169,14.314732
170,14.314051
171,14.312773
172,14.311417
173,14.310054
174,14.309717
175,14.309111
176,14.30845
177,14.307192
178,14.305861
179,14.304447
180,14.304168
181,14.303602
182,14.303048
183,14.3017645
184,14.300384
185,14.298937
186,14.298699
187,14.29817
188,14.2976465
189,14.296356
190,14.29499
191,14.293591
192,14.293396
193,14.292896
194,14.292452
195,14.291158
196,14.289726
197,14.288419
198,14.288283
199,14.287789
200,14.287342
201,14.286112
202,14.284673
203,14.283262
204,14.283192
205,14.282859
206,14.282412
207,14.281195
208,14.279771
209,14.278418
210,14.278388
211,14.278059
212,14.277765
213,14.2764635
214,14.275075
215,14.273693
216,14.2736845
217,14.2733755
218,14.273096
219,14.27179
220,14.270425
221,14.268986
222,14.268994
223,14.268744
224,14.268473
225,14.267238
226,14.2657995
227,14.264434
228,14.264458
229,14.26417
230,14.263876
231,14.262526
232,14.261173
233,14.259695
234,14.259737
235,14.259524
236,14.259222
237,14.2578535
238,14.2564535
239,14.255016
240,14.255036
241,14.254815
242,14.254624
243,14.25322
244,14.251797
245,14.250307
246,14.250288
247,14.250091
248,14.2496395
249,14.248283
250,14.246748
251,14.245346
252,14.245397
253,14.245132
254,14.244911
255,14.243518
256,14.242044
257,14.240509
258,14.240441
259,14.24017
260,14.239857
261,14.238484
262,14.237151
263,14.2357855
264,14.235691
265,14.235236
266,14.234852
267,14.233543
268,14.232101
269,14.230785
270,14.230402
271,14.229975
272,14.229479
273,14.228095
274,14.226752
275,14.225384
276,14.224934
277,14.224342
278,14.223728
279,14.222409
280,14.221179
281,14.21985
282,14.219342
283,14.218599
284,14.217856
285,14.216683
286,14.21547
287,14.214224
288,14.21351
289,14.212741
290,14.211923
291,14.210823
292,14.209666
293,14.20859
294,14.207781
295,14.20695
296,14.206133
297,14.205053
298,14.204043
299,14.202963
300,14.202168
301,14.201301
302,14.200414
303,14.199386
304,14.198448
305,14.197418
306,14.196541
307,14.195706
308,14.194722
309,14.19376
310,14.192881
311,14.191907
312,14.191103
313,14.19018
314,14.189311
315,14.18842
316,14.187525
317,14.186576
318,14.185788
319,14.184654
320,14.183808
321,14.182649
322,14.181575
323,14.180733
324,14.179694
325,14.178826
326,14.177701
327,14.17674
328,14.175869
329,14.17483
330,14.173547
331,14.172621
332,14.171537
333,14.170559
334,14.169395
335,14.168377
336,14.167229
337,14.166281
338,14.165173
339,14.164076
340,14.163137
341,14.161872
342,14.161017
343,14.159716
344,14.158824
345,14.157647
346,14.156708
347,14.155442
348,14.154674
349,14.153717
350,14.152556
351,14.151641
352,14.150601
353,14.149495
354,14.148585
355,14.147566
356,14.146395
357,14.145559
358,14.144583
359,14.14343
360,14.142658
361,14.14167
362,14.1405
363,14.139764
364,14.138807
365,14.13752
366,14.136763
367,14.135803
368,14.134568
369,14.1337805
370,14.132791
371,14.131598
372,14.130859
373,14.129886
374,14.12859
375,14.127831
376,14.12694
377,14.125607
378,14.124799
379,14.123816
380,14.121907
381,14.120872
382,14.119267
383,14.11818
384,14.117
385,14.115168
386,14.114096
387,14.112083
388,14.111003
389,14.109893
390,14.107933
391,14.106791
392,14.104937
393,14.103804
394,14.101894
395,14.100684
396,14.099354
397,14.097374
398,14.09622
399,14.094992
400,14.09294
401,14.091629
402,14.0904
403,14.088549
404,14.0870495
405,14.086079
406,14.083802
407,14.082667
408,14.081533
409,14.079286
410,14.078063
411,14.076706
412,14.0745735
413,14.0733595
414,14.072228
415,14.070018
416,14.068927
417,14.067631
418,14.065643
419,14.064239
420,14.063084
421,14.06069
422,14.059634
423,14.058089
424,14.056594
425,14.054565
426,14.053254
427,14.051934
428,14.049589
429,14.048389
430,14.047116
431,14.044761
432,14.043601
433,14.041002
434,14.039833
435,14.038425
436,14.036179
437,14.034708
438,14.033092
439,14.030968
440,14.029637
441,14.027731
442,14.025544
443,14.02378
444,14.022414
445,14.0199375
446,14.018579
447,14.016712
448,14.014595
449,14.01294
450,14.011063
451,14.008831
452,14.007066
453,14.005367
454,14.0028515
455,14.001217
456,13.999569
457,13.99714
458,13.995388
459,13.993589
460,13.991055
461,13.989381
462,13.987366
463,13.985708
464,13.983024
465,13.981497
466,13.978742
467,13.977294
468,13.974374
469,13.97281
470,13.970856
471,13.968058
472,13.966398
473,13.964254
474,13.9616
475,13.959755
476,13.957845
477,13.955005
478,13.953183
479,13.951286
480,13.948295
481,13.946554
482,13.944395
483,13.94163
484,13.939493
485,13.937511
486,13.934547
487,13.932726
488,13.929888
489,13.927719
490,13.925544
491,13.922852
492,13.919933
493,13.917512
494,13.915291
495,13.912373
496,13.910234
497,13.907617
498,13.905315
499,13.90159
500,13.899602
501,13.896933
502,13.894043
503,13.890899
504,13.888548
505,13.885286
506,13.883163
507,13.880421
508,13.878027
509,13.87472
510,13.872254
511,13.869608
512,13.86741
513,13.864663
514,13.861566
515,13.858288
516,13.8559475
517,13.853127
518,13.850273
519,13.847458
520,13.84486
521,13.842312
522,13.839816
523,13.8364315
524,13.834047
525,13.830678
526,13.827727
527,13.825211
528,13.821975
529,13.818876
530,13.815633
531,13.8129015
532,13.809856
533,13.807463
534,13.8033495
535,13.801071
536,13.797822
537,13.794369
538,13.7913885
539,13.788113
540,13.784836
541,13.782407
542,13.779251
543,13.775897
544,13.772738
545,13.76954
546,13.766524
547,13.763382
548,13.76005
549,13.757088
550,13.753535
551,13.750291
552,13.74801
553,13.744244
554,13.741112
555,13.738193
556,13.734971
557,13.731544
558,13.72814
559,13.724901
560,13.7216625
561,13.718735
562,13.715664
563,13.711714
564,13.709556
565,13.70532
566,13.702981
567,13.698969
568,13.696424
569,13.692444
570,13.689441
571,13.68606
572,13.682688
573,13.679567
574,13.676124
575,13.67247
576,13.669804
577,13.665374
578,13.662825
579,13.659243
580,13.655569
581,13.652601
582,13.64897
583,13.645249
584,13.641574
585,13.638875
586,13.636333
587,13.631581
588,13.629101
589,13.6251545
590,13.622038
591,13.61896
592,13.615019
593,13.611006
594,13.608314
595,13.604118
596,13.601141
597,13.597436
598,13.593921
599,13.590667
600,13.58777
601,13.583094
602,13.580375
603,13.577069
604,13.573112
605,13.569175
606,13.566063
607,13.561745
608,13.557985
609,13.554843
610,13.550958
611,13.5469265
612,13.544065
613,13.540104
614,13.535723
615,13.532224
616,13.528461
617,13.524506
618,13.520757
619,13.517515
620,13.513485
621,13.509342
622,13.5051565
623,13.501269
624,13.498095
625,13.494042
626,13.4897375
627,13.485812
628,13.48208
629,13.4784775
630,13.474183
631,13.47053
632,13.46578
633,13.462658
634,13.458748
635,13.454253
636,13.450777
637,13.446851
638,13.442588
639,13.438622
640,13.435477
641,13.430757
642,13.427502
643,13.422409
644,13.419477
645,13.415913
646,13.411998
647,13.4078045
648,13.403407
649,13.399946
650,13.396823
651,13.393307
652,13.389015
653,13.386114
654,13.381765
655,13.377772
656,13.374956
657,13.370295
658,13.366051
659,13.362492
660,13.359519
661,13.3560095
662,13.351647
663,13.348268
664,13.345095
665,13.339951
666,13.336992
667,13.333322
668,13.329278
669,13.324526
670,13.321462
671,13.318359
672,13.313674
673,13.310902
674,13.306271
675,13.3023405
676,13.298851
677,13.294531
678,13.29065
679,13.28727
680,13.284277
681,13.280083
682,13.275874
683,13.272903
684,13.268553
685,13.265121
686,13.262075
687,13.257956
688,13.253667
689,13.250612
690,13.247352
691,13.243895
692,13.240581
693,13.236907
694,13.232833
695,13.229108
696,13.225285
697,13.222319
698,13.218794
699,13.215189
700,13.212234
701,13.207616
702,13.204476
703,13.201146
704,13.197855
705,13.194381
706,13.19077
707,13.187653
708,13.183681
709,13.180372
