,0
0,5.4156485
1,5.3966846
2,5.381445
3,6.2052727
4,6.183983
5,6.1638427
6,5.358043
7,5.341072
8,5.32337
9,6.1459217
10,6.121229
11,6.096284
12,5.2957835
13,5.2786493
14,5.2607565
15,6.0494156
16,6.024082
17,5.998666
18,5.2452917
19,5.227938
20,5.2098126
21,5.980966
22,5.9558
23,5.935349
24,5.1770487
25,5.1595154
26,5.141218
27,5.91148
28,5.8849473
29,5.860709
30,5.1085463
31,5.0909758
32,5.0726833
33,5.807447
34,5.780792
35,5.7533264
36,5.0681515
37,5.0507765
38,5.0343065
39,5.7237625
40,5.699533
41,5.680254
42,5.00764
43,4.9936624
44,4.977392
45,5.661397
46,5.6382136
47,5.61546
48,4.970868
49,4.9554653
50,4.942503
51,5.593855
52,5.5728903
53,5.5503845
54,4.9560328
55,4.9428616
56,4.93235
57,5.5373373
58,5.519091
59,5.4992685
60,4.9484515
61,4.93103
62,4.921581
63,5.4907513
64,5.4750175
65,5.4569783
66,4.9661818
67,4.943891
68,4.9327803
69,5.4629354
70,5.4454136
71,5.4288826
72,5.001786
73,4.978104
74,4.96443
75,5.423974
76,5.4070187
77,5.3885813
78,5.005252
79,4.9852467
80,4.9764814
81,5.380987
82,5.3632045
83,5.343852
84,5.0323715
85,5.0179777
86,5.0108986
87,5.3265767
88,5.3011265
89,5.2796764
90,5.0513873
91,5.0380516
92,5.039359
93,5.2454834
94,5.2164626
95,5.1926193
96,5.0554066
97,5.049077
98,5.0488634
99,5.131954
100,5.110695
101,5.093317
102,5.0230494
103,5.019635
104,5.011115
105,5.022385
106,5.0118446
107,4.9929256
108,4.9752655
109,4.964323
110,4.9522934
111,4.9564385
112,4.9438114
113,4.935173
114,4.919955
115,4.909138
116,4.9009604
117,4.8825507
118,4.8768563
119,4.862762
120,4.85192
121,4.848741
122,4.836423
123,4.827939
124,4.8202
125,4.811124
126,4.8069615
127,4.7971115
128,4.7884917
129,4.7746515
130,4.7697706
131,4.753688
132,4.735932
133,4.7328253
134,4.723089
135,4.733428
136,4.7305546
137,4.72272
138,4.724302
139,4.7171216
140,4.7107053
141,4.699174
142,4.6965585
143,4.687394
144,4.679513
145,4.675209
146,4.6676507
147,4.6734123
148,4.670376
149,4.6655135
150,4.662819
151,4.6587243
152,4.653285
153,4.6360207
154,4.6315665
155,4.6259403
156,4.6302032
157,4.6281157
158,4.6228995
159,4.6214004
160,4.6158185
161,4.6147523
162,4.617925
163,4.6122637
164,4.6113844
165,4.6143603
166,4.6120267
167,4.6115603
168,4.604532
169,4.6035633
170,4.600728
171,4.60857
172,4.6018567
173,4.604498
174,4.6127357
175,4.6146917
176,4.613368
177,4.6137395
178,4.6137843
179,4.611646
180,4.610815
181,4.607787
182,4.6062765
183,4.6034164
184,4.6075983
185,4.6013365
186,4.614138
187,4.6096725
188,4.6069455
189,4.618128
190,4.6213355
191,4.61419
192,4.634791
193,4.63003
194,4.6299615
195,4.637789
196,4.635662
197,4.6320086
198,4.62866
199,4.6271434
200,4.626138
201,4.634498
202,4.6379166
203,4.6358786
204,4.658946
205,4.65975
206,4.6552024
207,4.660119
208,4.6601977
209,4.6594
210,4.66033
211,4.6575313
212,4.658372
213,4.675007
214,4.672922
215,4.6703596
216,4.6748257
217,4.673864
218,4.6756554
219,4.69102
220,4.6916018
221,4.691297
222,4.721474
223,4.7218056
224,4.7182493
225,4.729039
226,4.7279544
227,4.7263393
228,4.729734
229,4.7323704
230,4.7250996
231,4.7522593
232,4.7518125
233,4.750785
234,4.7611337
235,4.765176
236,4.7588577
237,4.772577
238,4.774463
239,4.766886
240,4.768787
241,4.764269
242,4.761564
243,4.780394
244,4.7779274
245,4.7762833
246,4.811771
247,4.807889
248,4.8092732
249,4.8067436
250,4.807178
251,4.8044467
252,4.801571
253,4.803012
254,4.7996473
255,4.80134
256,4.8035736
257,4.7985973
