,0
0,0.0
1,-0.0
2,-0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,-0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,1e-45
35,4e-45
36,7e-45
37,1.1e-44
38,1.3e-44
39,3.2e-44
40,5.9e-44
41,1.39e-43
42,1.46e-43
43,1.84e-43
44,1.78e-43
45,4.2e-43
46,1.015e-42
47,2.178e-42
48,2.801e-42
49,3.863e-42
50,4.77e-42
51,3.352e-42
52,-8.915e-42
53,-4.0066e-41
54,-7.2999e-41
55,-9.8769e-41
56,-1.69201e-40
57,-4.75364e-40
58,-9.47777e-40
59,-2.184631e-39
60,-3.119209e-39
61,-5.25434e-39
62,-6.786948e-39
63,-7.399447e-39
64,-8.322869e-39
65,-1.499204e-38
66,-5.762002e-39
67,2.818772e-39
68,-3.628525e-39
69,1.764952e-39
70,1.3681342e-38
71,3.8633513e-38
72,8.726303e-38
73,1.5111707e-37
74,2.3504347e-37
75,3.446263e-37
76,4.774576e-37
77,7.4603897e-37
78,1.01860435e-36
79,1.29488615e-36
80,1.9489559e-36
81,2.6660386e-36
82,3.0522148e-36
83,3.5841744e-36
84,5.5611394e-36
85,1.1037964e-35
86,1.232654e-35
87,1.6195378e-35
88,1.8307386e-35
89,2.5263483e-35
90,3.744216e-35
91,7.4778183e-35
92,6.248471e-35
93,7.803467e-35
94,8.896983e-35
95,1.8226817e-34
96,2.192052e-34
97,3.804182e-34
98,3.4687798e-34
99,4.076296e-34
100,7.313101e-34
101,1.2682046e-33
102,1.4590842e-33
103,2.1950214e-33
104,2.5980401e-33
105,4.0361936e-33
106,5.1418062e-33
107,6.501441e-33
108,1.02736186e-32
109,1.02974606e-32
110,1.5762721e-32
111,1.6878342e-32
112,1.6803488e-32
113,2.71152e-32
114,2.8171078e-32
115,3.997677e-32
116,4.662149e-32
117,4.4334187e-32
118,6.3339744e-32
119,7.395177e-32
120,8.5820415e-32
121,1.0035914e-31
122,1.1285551e-31
123,1.3953826e-31
124,1.4601571e-31
125,2.080191e-31
126,1.9403785e-31
127,2.328243e-31
128,2.7082837e-31
129,2.806115e-31
130,3.4098517e-31
131,3.893693e-31
132,3.4923925e-31
133,3.809309e-31
134,3.4399048e-31
135,3.7065895e-31
136,3.141778e-31
137,3.4614526e-31
138,3.1284198e-31
139,2.8312106e-31
140,2.7691254e-31
141,2.2976852e-31
142,2.3140634e-31
143,2.1678455e-31
144,1.6349588e-31
145,1.2879913e-31
146,9.1871766e-32
147,3.15951e-32
148,1.0646892e-31
149,-1.058889e-31
150,4.7604386e-32
151,-2.6759722e-31
152,-1.15173144e-32
153,-9.313381e-33
154,-5.604658e-31
155,-1.0011766e-31
156,-9.526408e-31
157,-3.3857366e-31
158,-3.6614449e-31
159,-6.321938e-31
160,-8.162101e-31
161,9.416004e-31
162,-1.0953268e-30
163,-1.2738045e-30
164,-1.6248913e-30
165,-1.8614807e-30
166,1.1488087e-30
167,-2.507249e-30
168,1.0246571e-30
169,1.4829286e-30
170,-3.2740365e-30
171,1.1919289e-30
172,-3.9581058e-30
173,1.4342425e-30
174,9.541147e-31
175,8.195765e-31
176,1.7690982e-31
177,2.5318087e-30
178,-7.289694e-30
179,-1.1277346e-30
180,-1.2678007e-29
181,-8.607843e-30
182,-1.2231004e-29
183,-1.7142659e-29
184,-2.0043275e-29
185,-1.3746352e-29
186,-2.4308961e-29
187,-2.9089448e-29
188,-2.963331e-29
189,-3.127649e-29
190,-2.0235024e-29
191,-3.582941e-29
192,-3.7208563e-29
193,-2.4987602e-29
194,-3.956223e-29
195,-2.9187477e-29
196,-3.0423223e-29
197,-4.209988e-29
198,-3.0824704e-29
199,-3.176041e-29
200,-4.0717268e-29
201,-4.3550798e-29
202,-2.8771314e-29
203,-4.444086e-29
204,-3.488853e-29
205,-3.419176e-29
206,-4.3706985e-29
207,-4.378436e-29
208,-3.0882308e-29
209,-4.7530443e-29
210,-3.1735585e-29
211,-4.8583455e-29
212,-3.675151e-29
213,-3.9014514e-29
214,-3.7509066e-29
215,-3.6275968e-29
216,-3.2880072e-29
217,-2.529505e-29
218,-2.8107223e-29
219,-2.5732434e-29
220,-2.4151929e-29
221,-2.151521e-29
222,-2.1411227e-29
223,-1.779198e-29
224,-9.880864e-30
225,-1.5893022e-29
226,-8.718943e-30
227,-7.524153e-30
228,-1.1139978e-29
229,-5.302454e-30
230,-4.682946e-30
231,-5.0573875e-30
232,-1.8439615e-30
233,-6.9629933e-31
234,-8.297194e-31
235,6.4696933e-31
236,1.5717937e-30
237,1.5973465e-30
238,2.2095632e-30
239,2.710257e-30
240,2.5910397e-30
241,3.093258e-30
242,6.49635e-31
243,2.937867e-30
244,2.919169e-30
245,-9.866788e-32
246,2.5883658e-30
247,2.3090896e-30
248,-1.4471368e-30
249,8.806613e-31
250,-3.2247925e-30
251,-4.1289425e-30
252,-1.2293968e-30
253,-5.697519e-30
254,-6.227498e-30
255,-4.171403e-30
256,-8.527168e-30
257,-9.825222e-30
258,-7.3801944e-30
259,-1.2151892e-29
260,-1.2763576e-29
261,-1.3700318e-29
262,-1.3533812e-29
263,-1.5137892e-29
264,-1.8965052e-29
265,-1.4791933e-29
266,-1.6276448e-29
267,-1.9091163e-29
268,-2.0842722e-29
269,-1.809555e-29
270,-2.0083075e-29
271,-2.1228315e-29
272,-1.8205367e-29
273,-2.1510799e-29
274,-2.198608e-29
275,-2.2630033e-29
276,-2.2497993e-29
277,-2.4346376e-29
278,-2.2146944e-29
279,-2.2670102e-29
280,-2.3179966e-29
281,-2.334267e-29
282,-2.5134192e-29
283,-2.3078474e-29
284,-2.3657768e-29
285,-2.3338406e-29
286,-2.4877195e-29
287,-2.3207217e-29
288,-2.1790135e-29
289,-2.2307416e-29
290,-2.1047247e-29
291,-1.9768226e-29
292,-1.8784564e-29
293,-1.7918199e-29
294,-1.6537586e-29
295,-1.6230259e-29
296,-1.6710852e-29
297,-1.452226e-29
298,-1.3327163e-29
299,-1.2174998e-29
300,-1.16720766e-29
301,-1.1254828e-29
302,-1.0631263e-29
303,-1.0017059e-29
304,-9.2102875e-30
305,-7.915022e-30
306,-7.371915e-30
307,-7.029358e-30
308,-6.792525e-30
309,-6.25781e-30
310,-5.563007e-30
311,-5.0041705e-30
312,-4.4273947e-30
313,-4.2182353e-30
314,-3.3668453e-30
315,-3.0175358e-30
316,-2.57007e-30
317,-2.190537e-30
318,-1.9429806e-30
319,-1.4644379e-30
320,-1.1472188e-30
321,-8.555079e-31
322,-5.0951083e-31
323,-2.6896726e-31
324,7.827884e-32
