,0
0,14.488587
1,14.485824
2,14.483001
3,14.4798765
4,14.476358
5,14.472838
6,14.470444
7,14.467585
8,14.464742
9,14.4614725
10,14.457845
11,14.454257
12,14.45188
13,14.449033
14,14.446201
15,14.442853
16,14.439171
17,14.435446
18,14.433069
19,14.430205
20,14.427365
21,14.423859
22,14.420049
23,14.416153
24,14.413837
25,14.411026
26,14.408243
27,14.404649
28,14.400751
29,14.396888
30,14.394695
31,14.391991
32,14.389327
33,14.385749
34,14.381883
35,14.3780575
36,14.376037
37,14.373482
38,14.370756
39,14.367136
40,14.363001
41,14.359157
42,14.357059
43,14.354628
44,14.352363
45,14.348573
46,14.344709
47,14.340667
48,14.339217
49,14.336861
50,14.334851
51,14.331384
52,14.327389
53,14.323362
54,14.322273
55,14.320638
56,14.319206
57,14.315484
58,14.311887
59,14.307879
60,14.307881
61,14.306723
62,14.305993
63,14.302625
64,14.298893
65,14.295007
66,14.295687
67,14.295315
68,14.295493
69,14.291759
70,14.287851
71,14.2839155
72,14.284577
73,14.284397
74,14.284601
75,14.280793
76,14.277015
77,14.2728615
78,14.273446
79,14.273376
80,14.273505
81,14.269725
82,14.265495
83,14.261202
84,14.261435
85,14.261031
86,14.261165
87,14.257083
88,14.252421
89,14.248238
90,14.247552
91,14.246675
92,14.245965
93,14.241759
94,14.237385
95,14.23311
96,14.231769
97,14.22994
98,14.228212
99,14.224486
100,14.2209635
101,14.217132
102,14.215374
103,14.212921
104,14.210512
105,14.207745
106,14.204939
107,14.202054
108,14.200262
109,14.19838
110,14.196241
111,14.194378
112,14.192144
113,14.190259
114,14.188438
115,14.186781
116,14.185166
117,14.183337
118,14.181726
119,14.179822
120,14.178414
121,14.176582
122,14.175225
123,14.174215
124,14.172235
125,14.171003
126,14.169817
127,14.168429
128,14.166975
129,14.166031
130,14.16504
131,14.163891
132,14.16285
133,14.161869
134,14.161032
135,14.160208
136,14.159076
137,14.158212
138,14.157398
139,14.156778
140,14.155626
141,14.15507
142,14.154047
143,14.152971
144,14.152181
145,14.151392
146,14.150627
147,14.149541
148,14.148787
149,14.147973
150,14.147316
151,14.146491
152,14.145421
153,14.144462
154,14.143751
155,14.1425495
156,14.141784
157,14.140772
158,14.139516
159,14.139176
160,14.137996
161,14.136473
162,14.135938
163,14.13468
164,14.13374
165,14.13287
166,14.131421
167,14.130651
168,14.129991
169,14.128688
170,14.127239
171,14.126827
172,14.125659
173,14.124529
174,14.124124
175,14.122459
176,14.121587
177,14.120959
178,14.1199465
179,14.11855
180,14.1183605
181,14.117012
182,14.116261
183,14.115467
184,14.114235
185,14.113293
186,14.1127405
187,14.111598
188,14.111003
189,14.109669
190,14.109006
191,14.107872
192,14.107674
193,14.106715
194,14.105456
195,14.105242
196,14.1039505
197,14.10336
198,14.102903
199,14.101693
200,14.10101
201,14.10076
202,14.099146
203,14.098578
204,14.098096
205,14.0971985
206,14.096398
207,14.095773
208,14.095255
209,14.09409
210,14.09382
211,14.0925865
212,14.091704
213,14.0910635
214,14.090514
215,14.089544
216,14.089218
217,14.088427
218,14.087862
219,14.088289
220,14.087663
221,14.087477
222,14.08764
223,14.087455
224,14.087684
225,14.08792
226,14.087883
227,14.0879
228,14.087793
229,14.087926
230,14.087851
231,14.087746
232,14.087648
233,14.087743
234,14.088081
235,14.088001
236,14.087868
237,14.087905
238,14.088193
239,14.088342
240,14.088713
241,14.088999
242,14.088892
243,14.089136
244,14.089333
245,14.089439
246,14.089892
247,14.089989
248,14.089756
249,14.090492
250,14.090653
251,14.090919
252,14.09138
253,14.091803
254,14.09198
255,14.092487
256,14.092907
257,14.093395
258,14.093882
259,14.094437
260,14.0943775
261,14.095039
262,14.095395
263,14.095805
264,14.096785
265,14.09683
266,14.097441
267,14.09821
268,14.098767
269,14.099551
270,14.099827
271,14.100654
272,14.101254
273,14.102072
274,14.102626
275,14.10295
276,14.103753
277,14.1044
278,14.105234
279,14.105581
280,14.106567
281,14.107296
282,14.1083555
283,14.109183
284,14.109678
285,14.1107435
286,14.111774
287,14.112778
288,14.113213
289,14.11442
290,14.115014
291,14.116048
292,14.116597
293,14.1175
294,14.118241
295,14.119276
296,14.120326
297,14.120792
298,14.121473
299,14.1221695
300,14.123144
301,14.124163
302,14.125029
303,14.126145
304,14.126979
305,14.127293
306,14.128451
307,14.129167
308,14.130436
309,14.131339
310,14.131949
311,14.132609
312,14.13368
313,14.134486
314,14.13499
315,14.136162
316,14.136969
317,14.137803
318,14.138907
319,14.139817
320,14.140168
321,14.14135
322,14.142479
323,14.143058
324,14.144232
325,14.14471
326,14.145671
327,14.146664
328,14.147873
329,14.1485405
330,14.149654
331,14.150587
332,14.150996
333,14.151974
334,14.15311
335,14.153788
336,14.154905
337,14.155739
338,14.156089
339,14.157274
340,14.157678
341,14.15881
342,14.159
343,14.15938
344,14.159724
345,14.160412
346,14.16026
347,14.160535
348,14.16118
349,14.161228
350,14.161682
351,14.161662
352,14.162059
353,14.162317
