,0
0,5.5647564
1,5.5240583
2,5.4754148
3,6.267266
4,6.211499
5,6.1526923
6,5.317611
7,5.2709217
8,5.2271595
9,6.0646505
10,5.999933
11,5.9396296
12,5.1158056
13,5.074107
14,5.036544
15,5.7335453
16,5.684494
17,5.6413016
18,5.11979
19,5.0951376
20,5.115867
21,5.5305634
22,5.467085
23,5.377909
24,5.192815
25,5.173399
26,5.1554885
27,5.1185865
28,5.076727
29,5.0351014
30,4.98226
31,4.961073
32,4.910761
33,4.8842573
34,4.83335
35,4.796496
36,4.7176137
37,4.673847
38,4.639094
39,4.6119494
40,4.5758524
41,4.52917
42,4.451778
43,4.4148197
44,4.367202
45,4.3801165
46,4.34026
47,4.294879
48,4.246154
49,4.2203817
50,4.1770215
51,4.2241035
52,4.1906486
53,4.1436234
54,4.0984373
55,4.0757065
56,4.0282793
57,3.9873676
58,3.9550683
59,3.9275994
60,3.9554334
61,3.9357758
62,3.8966842
63,3.8452601
64,3.8093028
65,3.7693663
66,3.7964044
67,3.7669764
68,3.712688
69,3.7039819
70,3.6448698
71,3.5971208
72,3.6233237
73,3.589014
74,3.5369468
75,3.5051327
76,3.5027862
77,3.4422336
78,3.5055277
79,3.4703367
80,3.43614
81,3.380952
82,3.339208
83,3.3121393
84,3.3536718
85,3.3084142
86,3.279589
87,3.2408059
88,3.204736
89,3.1608355
90,3.1965773
91,3.1909504
92,3.145011
93,3.1036983
94,3.0671782
95,3.0441265
96,3.0489964
97,3.0128121
98,2.9783978
99,3.0427253
100,3.0307493
101,2.990085
102,2.9527078
103,2.9223475
104,2.9032698
105,2.8630338
106,2.8363104
107,2.8061392
108,2.8135216
109,2.7752328
110,2.7528226
111,2.7621384
112,2.7397633
113,2.7083452
114,2.6965575
115,2.6615515
116,2.6640599
117,2.6476278
118,2.6218357
119,2.6019065
120,2.6040573
121,2.587872
122,2.5637963
123,2.5371957
124,2.531023
125,2.5119433
126,2.5158534
127,2.4953492
128,2.477707
129,2.508238
130,2.4805741
131,2.4644628
132,2.4489508
133,2.430547
134,2.422738
135,2.4258187
136,2.406214
137,2.3838701
138,2.3717318
139,2.3600984
140,2.3641074
141,2.3170881
142,2.29907
143,2.2849693
144,2.3232846
145,2.3103204
146,2.3030093
147,2.259746
148,2.2465374
149,2.2382705
150,2.2069626
151,2.1852286
152,2.1778133
153,2.1735203
154,2.1543715
155,2.148046
156,2.1213202
157,2.1144135
158,2.0979366
159,2.058716
160,2.053531
161,2.052035
162,2.0217972
163,2.0093546
164,1.99344
165,1.9916204
166,1.9843875
167,1.9673649
168,1.9582915
169,1.949467
170,1.948277
171,1.9562967
172,1.9387935
173,1.9230031
174,1.9324571
175,1.9249465
176,1.910629
177,1.9104434
178,1.9019102
179,1.8942552
180,1.8789747
181,1.8676736
182,1.8644886
183,1.8677496
184,1.8519486
185,1.839572
186,1.8434255
187,1.8495706
188,1.8338172
189,1.8302068
190,1.8179998
191,1.81184
192,1.8598347
193,1.8476264
194,1.8314419
195,1.7959247
196,1.7856758
197,1.7827452
198,1.787338
199,1.7721924
200,1.776898
201,1.7931921
202,1.787342
203,1.7738346
204,1.7579999
205,1.738744
206,1.736313
207,1.7426099
208,1.7231408
209,1.7164255
210,1.7313772
211,1.7238389
212,1.7150095
213,1.7098548
214,1.6938663
215,1.6908405
216,1.7163743
217,1.7022152
218,1.700581
219,1.7006923
220,1.6893735
221,1.6765871
222,1.6949228
223,1.6872985
224,1.6788926
225,1.6739658
226,1.6728178
227,1.6720165
228,1.6631285
229,1.6499023
230,1.6597254
231,1.6725631
232,1.6538501
233,1.6553131
234,1.649715
235,1.6489928
236,1.6458777
237,1.6290271
238,1.6206372
239,1.6054114
240,1.6368184
241,1.620096
242,1.605749
243,1.6220088
244,1.6008079
245,1.6055863
246,1.6211696
247,1.6085805
248,1.6075664
249,1.6180749
250,1.6078502
251,1.5934287
252,1.6144508
253,1.6224682
254,1.6251745
255,1.631547
256,1.6270986
257,1.6038501
258,1.646147
259,1.6266041
260,1.620302
261,1.5868001
262,1.567812
263,1.5830495
264,1.5748928
265,1.5810225
266,1.5700848
267,1.5919468
268,1.5846467
269,1.5659013
270,1.5728583
271,1.5555428
272,1.5525458
273,1.6402568
274,1.6412556
275,1.6201217
276,1.5714968
277,1.5644948
278,1.5527093
279,1.5660809
280,1.5492688
281,1.5523958
282,1.5507989
283,1.5521297
284,1.5332885
285,1.5058515
286,1.5015582
287,1.4824324
288,1.4949661
289,1.4925182
290,1.4752413
291,1.4998617
292,1.4812866
293,1.4776978
294,1.4803479
295,1.4920741
296,1.4508055
297,1.5153716
298,1.5089041
299,1.5133466
300,1.494481
301,1.4691377
302,1.4831979
303,1.4510579
304,1.422465
305,1.4212515
306,1.4754095
307,1.4382491
308,1.430577
309,1.427515
310,1.4229263
311,1.4284687
312,1.4292079
313,1.4198892
314,1.4110457
315,1.3956821
316,1.3861004
317,1.3956437
318,1.3675668
319,1.3609703
320,1.3530662
321,1.3373102
322,1.3299813
323,1.3260691
324,1.3372617
325,1.3350147
326,1.3202353
