,0
0,0.0
1,0.0
2,0.0
3,0.0
4,-0.0
5,-0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,-0.0
15,-1e-45
16,4.3e-44
17,3.98e-43
18,9.67e-43
19,7.47e-43
20,1.967e-42
21,5.587e-42
22,-1.68331e-40
23,-9.54091e-40
24,-1.822258e-39
25,-5.838465e-39
26,-3.707891e-38
27,-5.878585e-38
28,-1.7123607e-37
29,8.323655e-37
30,3.1918316e-36
31,2.447843e-35
32,3.4832618e-35
33,1.8603337e-34
34,2.3980218e-34
35,1.6155877e-33
36,3.6281457e-33
37,1.0796731e-32
38,3.0989813e-32
39,7.4854634e-32
40,1.5059211e-31
41,4.941098e-31
42,9.237045e-31
43,2.1514259e-30
44,5.868395e-30
45,1.16670165e-29
46,8.450155e-30
47,1.3971704e-29
48,1.7128732e-29
49,4.090656e-29
50,1.4069508e-28
51,2.344296e-29
52,-1.4465212e-28
53,-2.849684e-28
54,-3.89178e-28
55,-5.676672e-28
56,-1.2065324e-27
57,-2.8291976e-27
58,-4.994134e-27
59,-9.3125916e-27
60,-1.8448454e-26
61,-2.756524e-26
62,-5.572349e-26
63,-1.344956e-25
64,-2.9564278e-25
65,-5.119787e-25
66,-1.1254979e-24
67,-1.927094e-24
68,-2.7329952e-24
69,-5.8542003e-24
70,-1.1223319e-23
71,-1.718955e-23
72,-2.9329552e-23
73,-4.3198667e-23
74,-7.730236e-23
75,-1.0656713e-22
76,-1.536565e-22
77,-1.9904913e-22
78,-1.687347e-22
79,-2.9672782e-22
80,-3.4193844e-22
81,-4.6516394e-22
82,-2.4949048e-22
83,-9.6129605e-23
84,-2.0006347e-22
85,-1.9539628e-22
86,9.507113e-22
87,3.0485586e-21
88,3.2409363e-21
89,4.8682968e-21
90,1.00578555e-20
91,1.9286134e-20
92,2.794684e-20
93,3.694573e-20
94,4.521407e-20
95,9.6986145e-20
96,1.3084013e-19
97,1.8621191e-19
98,2.0774247e-19
99,3.2777766e-19
100,5.0487093e-19
101,6.4154846e-19
102,6.811748e-19
103,1.0746856e-18
104,1.3107114e-18
105,1.8934042e-18
106,2.1758736e-18
107,3.0543038e-18
108,3.0131863e-18
109,3.851076e-18
110,5.1623614e-18
111,5.7988446e-18
112,7.530897e-18
113,7.040726e-18
114,8.677413e-18
115,1.17782065e-17
116,1.469942e-17
117,1.5686769e-17
118,1.6277197e-17
119,1.9460802e-17
120,2.522996e-17
121,2.6006638e-17
122,2.9833036e-17
123,2.6782098e-17
124,3.8796882e-17
125,4.4991042e-17
126,4.6874873e-17
127,5.4357214e-17
128,8.191348e-17
129,7.656431e-17
130,8.198048e-17
131,1.03828584e-16
132,1.1993239e-16
133,1.3409609e-16
134,1.6578351e-16
135,1.9872429e-16
136,2.4593382e-16
137,2.8496163e-16
138,3.258123e-16
139,4.624958e-16
140,4.8117374e-16
141,5.323602e-16
142,7.029605e-16
143,8.819825e-16
144,1.101923e-15
145,1.0650569e-15
146,1.3287677e-15
147,1.5102248e-15
148,1.9559956e-15
149,2.420762e-15
150,2.8266711e-15
151,3.078337e-15
152,4.221192e-15
153,4.0626313e-15
154,4.6899753e-15
155,5.690329e-15
156,7.369698e-15
157,8.334282e-15
158,9.73641e-15
159,1.0015094e-14
160,1.2424553e-14
161,1.456181e-14
162,1.7212868e-14
163,1.5901124e-14
164,1.845161e-14
165,2.3929736e-14
166,2.7600584e-14
167,3.279221e-14
168,3.7263158e-14
169,3.7131326e-14
170,4.4455186e-14
171,5.1720713e-14
172,5.7375965e-14
173,6.666775e-14
174,8.36845e-14
175,9.528594e-14
176,1.1207981e-13
177,1.01728555e-13
178,1.260577e-13
179,1.449499e-13
180,1.6083784e-13
181,1.9808211e-13
182,2.4166614e-13
183,2.8149285e-13
184,2.353769e-13
185,2.8084983e-13
186,3.431719e-13
187,4.0475422e-13
188,4.3420332e-13
189,5.2009265e-13
190,5.607889e-13
191,7.1549234e-13
192,6.10894e-13
193,6.8606297e-13
194,7.5664133e-13
195,9.460125e-13
196,1.1551025e-12
197,1.2573442e-12
198,1.4543132e-12
199,1.2484021e-12
200,1.4171749e-12
201,1.6193286e-12
202,1.8977673e-12
203,2.1019362e-12
204,2.571904e-12
205,2.9041893e-12
206,2.2923228e-12
207,2.6437103e-12
208,3.267506e-12
209,3.8178805e-12
210,4.358802e-12
211,5.0307952e-12
212,3.536535e-12
213,4.513684e-12
214,4.9251167e-12
215,5.83998e-12
216,6.6218944e-12
217,7.763056e-12
218,5.4231216e-12
219,6.1093695e-12
220,6.501329e-12
221,7.809704e-12
222,9.010349e-12
223,5.1983222e-12
224,6.5442434e-12
225,7.350853e-12
226,8.282222e-12
227,8.806847e-12
228,1.0024707e-11
229,4.8016443e-12
230,6.1467485e-12
231,8.613247e-12
232,9.252875e-12
233,1.08166835e-11
234,1.2298724e-11
235,1.3187041e-11
236,5.5360634e-12
237,8.0785795e-12
238,8.634886e-12
239,1.1041068e-11
240,1.2694028e-11
241,1.487652e-11
242,2.7766671e-12
243,6.279985e-12
244,9.79116e-12
245,1.1327678e-11
246,1.3608177e-11
247,1.6404628e-11
248,8.0579754e-13
249,4.140511e-12
250,7.363993e-12
251,7.394905e-12
252,1.0328731e-11
253,1.5695318e-11
254,-4.4134804e-12
255,-4.5152868e-13
256,3.3306634e-12
257,7.38571e-12
258,8.317437e-12
259,1.4578653e-11
260,-3.009136e-12
261,-1.867237e-12
262,3.6050757e-12
263,9.1158045e-12
264,1.1040668e-11
265,-8.502465e-12
266,-5.284555e-12
267,-4.1176303e-12
268,2.6335305e-12
269,9.362467e-12
270,-1.7940536e-11
271,-1.0797765e-11
272,-4.496861e-12
273,-3.7418636e-12
274,-2.9595285e-11
275,-2.0364042e-11
276,-1.288137e-11
277,-1.109298e-11
278,-3.427954e-12
279,-3.061101e-11
280,-2.961278e-11
281,-2.1160776e-11
282,-1.4548062e-11
283,-1.4309239e-11
284,-6.5909895e-12
285,-4.0316847e-11
286,-4.242977e-11
287,-3.228319e-11
288,-2.4177469e-11
289,-1.7877876e-11
290,-1.0333496e-11
291,-6.192746e-11
292,-5.1360766e-11
293,-4.103775e-11
294,-3.0909074e-11
295,-2.9897307e-11
296,-1.8730583e-11
297,-6.865274e-11
298,-7.209123e-11
299,-5.838202e-11
300,-4.464285e-11
301,-4.4404175e-11
302,-2.9486805e-11
303,-9.2132565e-11
304,-9.467918e-11
305,-7.6735056e-11
306,-5.985017e-11
307,-5.9069534e-11
308,-4.0804343e-11
309,-1.1428658e-10
310,-9.795461e-11
311,-9.89603e-11
312,-7.708868e-11
313,-5.4247114e-11
314,-5.2856768e-11
315,-1.402397e-10
316,-1.1641401e-10
317,-1.14737005e-10
318,-8.810794e-11
319,-6.1470315e-11
320,-5.4171324e-11
