,0
0,14.420966
1,14.365889
2,14.284725
3,14.215522
4,14.176062
5,14.044686
6,13.946932
7,13.815946
8,13.585086
9,13.457209
10,13.192657
11,13.218985
12,12.883609
13,12.667686
14,12.34358
15,12.002158
16,11.818633
17,11.510729
18,11.25445
19,10.983587
20,10.835213
21,10.802535
22,10.513836
23,10.648591
24,10.580668
25,10.465052
26,10.188763
27,10.184777
28,9.866384
29,9.8399935
30,9.493812
31,9.32207
32,9.147842
33,9.5033
34,9.105626
35,8.849629
36,8.715726
37,9.0590515
38,8.681417
39,8.604801
40,8.837294
41,8.476511
42,8.528692
43,8.606692
44,8.527303
45,8.457073
46,8.418295
47,8.352403
48,7.972305
49,7.940351
50,8.147068
51,7.830769
52,8.166859
53,8.073828
54,7.8575907
55,7.63595
56,7.819851
57,7.661782
58,8.096968
59,8.053467
60,7.783815
61,7.849398
62,7.622268
63,7.540885
64,7.5990434
65,7.732097
66,7.387637
67,7.6729
68,7.439704
69,7.434839
70,7.397562
71,7.5547013
72,7.498642
73,7.414937
74,7.5295396
75,7.463512
76,7.2766695
77,7.531905
78,7.510712
79,7.2598376
80,7.32658
81,7.5590153
82,7.179625
83,7.177437
84,7.2977247
85,7.8236213
86,7.084543
87,6.8099794
88,7.3385963
89,7.0494876
90,7.2475386
91,7.203336
92,7.3076425
93,7.1673155
94,6.800854
95,6.9809275
96,7.2453003
97,6.690476
98,6.9662294
99,6.7154403
100,6.959808
101,7.100548
102,7.0794463
103,6.6087165
104,6.704101
105,6.798341
106,6.7286544
107,7.047486
108,6.6022663
109,6.465178
110,6.8304534
111,6.788918
112,6.9681206
113,6.631963
114,6.354903
115,6.8868146
116,6.8608813
117,7.0187426
118,6.4830313
119,6.540459
120,6.7408853
121,6.7706184
122,6.757226
123,6.583967
124,6.7514005
125,6.393318
126,6.6629868
127,6.485414
128,6.4114
129,6.3943787
130,6.375943
131,6.403012
132,6.3933516
133,6.3952274
134,6.346358
135,6.13765
136,6.323293
137,6.191828
138,5.980555
139,6.1538997
140,6.216993
141,6.2395244
142,5.9231052
143,6.1777835
144,6.0791125
145,5.9745965
146,6.078175
147,6.272043
148,5.9797482
149,6.0587745
150,6.0269504
151,6.0568013
152,5.8020883
153,6.0020103
154,6.001787
155,5.9130583
156,5.8594065
157,6.181726
158,6.0072684
159,5.9658895
160,5.711329
161,5.8061123
162,5.881279
163,5.9186463
164,5.8882093
165,5.7993255
166,5.6824765
167,5.899251
168,5.729577
169,5.742125
170,5.8512473
171,5.95786
172,5.6978254
173,6.024492
174,5.5892587
175,5.6348352
176,5.59142
177,5.8047595
178,5.8473897
179,5.7061143
180,5.5877113
181,5.8201313
182,5.640106
183,5.69639
184,5.694505
185,5.719923
186,5.8901515
187,5.817917
188,5.4238963
189,5.676899
190,5.5629535
191,5.4439588
192,5.4940925
193,5.3191395
194,5.4192214
195,5.527901
196,5.5360293
197,5.4116697
198,5.4828157
199,5.3915386
