,0
0,5.4162416
1,5.267926
2,5.52459
3,5.352604
4,4.969122
5,4.697234
6,4.5142207
7,4.3517594
8,3.9821503
9,3.623809
10,3.1981156
11,2.8277433
12,2.4643059
13,2.3618395
14,2.2550313
15,2.0787597
16,1.936951
17,1.7965
18,1.6601572
19,1.6054921
20,1.4911219
21,1.3417474
22,1.3093832
23,1.3394496
24,1.2492073
25,1.137147
26,1.0598507
27,1.0377657
28,1.0186054
29,1.0732791
30,0.96553606
31,0.91547483
32,0.8794994
33,0.8661204
34,0.8663299
35,0.876293
36,0.8410087
37,0.79263914
38,0.79584
39,0.82881165
40,0.7680404
41,0.77250236
42,0.82383263
43,0.8175056
44,0.7687725
45,0.7755088
46,0.79666686
47,0.8228499
48,0.8225245
49,0.7599385
50,0.7931564
51,0.89936477
52,0.8393442
53,0.8060479
54,0.92896324
55,0.8581768
56,0.8404268
57,0.93311185
58,0.95557266
59,0.904749
60,0.9466454
61,1.0072949
62,0.94638306
63,0.9554509
64,1.0358588
65,1.0620599
66,1.0376612
67,1.0120168
68,1.0982265
69,1.0953784
70,1.0416149
71,1.1114082
72,1.1589518
73,1.1214697
74,1.0957779
75,1.2593801
76,1.1136497
77,1.1046848
78,1.2884198
79,1.1578534
80,1.1889737
81,1.1692557
82,1.3011017
83,1.2327236
84,1.2084024
85,1.1823741
86,1.2927876
87,1.3785423
88,1.2743719
89,1.2619083
90,1.2403148
91,1.2898182
92,1.3233359
93,1.3208421
94,1.2511775
95,1.2430265
96,1.3028057
97,1.2779424
98,1.2244314
99,1.2614397
100,1.2710273
101,1.2064042
102,1.1700447
103,1.1227905
104,1.1004131
105,1.0190984
106,1.1826367
107,1.0093589
108,0.8852238
109,0.84899676
110,0.96724653
111,0.8109655
112,0.7181026
113,0.84557587
114,0.8886961
115,0.9793806
116,0.74452543
117,0.746514
118,0.8285609
119,0.7865485
120,0.7217445
121,0.62156826
122,0.7765268
123,0.77603143
124,0.78654313
125,0.70905346
126,0.64423454
127,0.60714966
128,0.69440687
129,0.70888597
130,0.7274649
131,0.5937005
132,0.6561742
133,0.66031134
134,0.55655974
135,0.6373364
136,0.6500741
137,0.5501636
138,0.66899586
139,0.6006216
140,0.5508241
141,0.5344237
142,0.6273655
143,0.8785256
144,0.61668205
145,0.65085274
146,0.67665863
147,0.51525915
148,0.5118951
149,0.5506574
150,0.79897225
151,0.49770057
152,0.59071493
153,0.7768487
154,0.577245
155,0.52857983
156,0.49670142
157,0.48072237
158,0.48547325
159,0.66339904
160,0.47079933
161,0.48111254
162,0.47691643
163,0.48688397
164,0.51587003
165,0.50400645
166,0.49144146
167,0.46491504
168,0.46624285
169,0.50353074
170,0.6323999
171,0.5871715
172,0.5312872
173,0.50218546
174,0.4955629
175,0.47521538
176,0.52173245
177,0.6141421
178,0.54154515
179,0.52670234
180,0.5266096
181,0.49336708
182,0.49655092
183,0.54179466
184,0.5288472
185,0.5673544
186,0.5598638
187,0.53755826
188,0.521245
189,0.55939424
190,0.5329302
191,0.5453969
192,0.6402026
193,0.58012414
194,0.5678123
195,0.5437433
196,0.5290593
197,0.5453361
198,0.5225786
199,0.52055705
200,0.5187297
201,0.5046662
202,0.58250463
203,0.5236115
204,0.50409544
205,0.49292815
206,0.5566324
207,0.5255447
208,0.4949714
