,0
0,14.427513
1,14.3608885
2,14.292941
3,14.225397
4,14.161874
5,14.0849085
6,13.9735775
7,13.808731
8,13.643435
9,13.533428
10,13.35728
11,13.163755
12,13.027858
13,12.725913
14,12.551548
15,12.244955
16,12.097561
17,11.559015
18,11.38592
19,11.175823
20,10.965726
21,10.767202
22,10.9878645
23,10.285951
24,10.223607
25,10.075172
26,10.061118
27,9.871386
28,9.733103
29,9.40262
30,9.298915
31,9.293737
32,9.210509
33,8.857068
34,8.85761
35,8.75168
36,8.683211
37,8.593377
38,8.413895
39,8.348911
40,8.36256
41,8.220955
42,8.011276
43,7.9717584
44,7.944565
45,7.9680495
46,7.9892306
47,7.675478
48,7.688406
49,7.817349
50,7.58064
51,7.5018044
52,7.522945
53,7.6036386
54,7.374002
55,7.3959203
56,7.4036784
57,7.5218983
58,7.4231997
59,7.365572
60,7.4136405
61,7.319334
62,7.3469753
63,7.386472
64,7.3327017
65,7.2673965
66,7.225561
67,7.328563
68,7.139164
69,7.1773186
70,7.345631
71,7.2667017
72,7.2333236
73,7.2925363
74,7.3060017
75,7.370724
76,7.4503636
77,7.5105324
78,7.386825
79,7.466006
80,7.463019
81,7.68077
82,7.3686385
83,7.457018
84,7.7309685
85,7.460941
86,7.537521
87,7.6605663
88,7.6267743
89,7.553338
90,7.5225353
91,7.743524
92,7.4850225
93,7.6080985
94,7.5546174
95,7.6724763
96,7.5886006
97,7.5468726
98,7.4604497
99,7.3784957
100,7.2638097
101,7.0336914
102,6.985733
103,6.894428
104,6.568579
105,6.2457776
106,6.335685
107,6.169258
108,6.1736298
109,5.9622397
110,5.7535324
111,5.6144104
112,5.0940237
113,5.0698466
114,4.988426
115,5.1430078
116,4.850693
117,4.5827184
118,4.3940306
119,4.468986
120,4.3293586
121,4.059924
122,4.1961803
123,4.324849
124,4.549576
125,4.681401
126,4.5086937
127,4.500209
128,4.3609257
129,4.4215627
130,4.141884
131,4.0203633
132,4.1891847
133,4.235775
134,4.185789
135,4.1747174
136,3.872574
137,3.8000257
138,4.0380616
139,4.0263143
140,3.8865051
141,3.8389497
142,3.81965
143,3.633375
144,3.7647774
145,3.4607852
146,3.1851947
147,3.2248485
148,3.2118762
149,3.3843625
150,3.1833606
151,3.1720028
152,3.3444402
153,3.1520844
154,2.9856067
155,2.9711025
156,2.9524298
157,3.0249794
158,3.0083559
159,2.6725862
160,2.6434753
161,2.6645908
162,2.5968037
163,2.721891
164,2.7700438
165,2.833725
166,2.4544134
167,2.3489707
168,2.3669875
169,2.385671
170,2.4703164
171,2.5655107
172,2.259559
173,2.3157833
174,2.2884834
175,2.2885847
176,2.355843
177,2.4379418
178,2.548597
179,2.2447696
180,2.3265827
181,2.264339
182,2.3003361
183,2.4039798
184,2.4986806
185,2.2519526
186,2.3592942
187,2.4527116
188,2.3499873
189,2.1900122
190,2.2302382
191,2.3030272
192,2.38534
193,2.4934852
194,2.301747
195,2.4007833
196,2.3342814
197,2.448323
198,2.3448272
199,2.4439657
200,2.5553036
201,2.3556118
202,2.40329
203,2.4798465
204,2.5948782
205,2.5505176
206,2.5445616
207,2.5663486
208,2.3823547
209,2.4013517
210,2.4708729
211,2.506263
212,2.5368164
213,2.482885
214,2.2806191
215,2.3932362
216,2.415729
217,2.3965538
218,2.4076607
219,2.4198372
220,2.4534514
221,2.4507742
222,2.3583362
223,2.3295708
224,2.422925
225,2.4220855
226,2.444416
227,2.4216433
228,2.463508
229,2.5189896
230,2.4975374
231,2.5562463
232,2.4613094
233,2.5659184
234,2.493217
235,2.5622582
236,2.5244017
237,2.6052463
238,2.597227
239,2.5170379
240,2.4649603
241,2.5001318
242,2.4826038
243,2.4289033
244,2.4624288
245,2.4630919
246,2.4256866
247,2.4591181
248,2.4455264
249,2.4317722
250,2.4970262
251,2.4584818
252,2.382181
253,2.316844
254,2.4192212
255,2.3347206
256,2.364385
257,2.3503892
258,2.2957866
259,2.2385247
260,2.2650137
261,2.2559433
262,2.3618565
263,2.2269056
264,2.2237537
265,2.2624843
266,2.352974
267,2.346989
268,2.2636435
269,2.2657075
270,2.228839
271,2.184815
272,2.2330258
273,2.206585
274,2.1819124
275,2.1549094
276,2.251039
277,2.3163438
278,2.2675352
279,2.3208818
280,2.2554848
281,2.3272915
282,2.349403
283,2.4095585
284,2.40415
285,2.43577
286,2.5449712
287,2.6240191
288,2.6610925
289,2.7553594
290,2.7720015
291,2.3736024
292,2.390902
293,2.4267175
294,2.5257301
295,2.6854472
296,2.719542
297,2.7760963
298,2.862131
299,2.8085864
300,2.4993804
301,2.3088484
302,2.4121363
303,2.514215
304,2.5729218
305,2.7533722
306,2.6812136
307,2.4926372
308,2.2249157
309,2.2896836
310,2.4279501
311,2.63966
312,2.602828
313,2.4402392
314,2.1851215
315,2.2421608
316,2.3814216
317,2.4312491
318,2.3755162
319,2.0394685
320,2.1536381
321,2.1515763
322,2.2908857
323,2.3344042
324,2.228001
325,2.2428646
326,2.3127248
327,2.2106426
328,2.2423422
329,2.3573399
330,2.0782723
331,2.1984606
332,2.092198
333,1.9582578
334,2.016661
335,2.1047204
336,2.0767164
337,2.20737
338,2.0362425
339,2.0242617
340,2.0585868
341,2.1031404
342,2.1176248
343,2.1834097
344,1.9751853
345,1.8157192
346,1.7934195
347,1.8360872
348,1.8452348
349,1.8596904
350,1.9158447
351,1.974208
352,1.638215
353,1.6000026
354,1.5708456
355,1.613547
356,1.6679058
357,1.6653308
358,1.7122948
359,1.5249938
360,1.4861021
361,1.5124213
362,1.5566231
363,1.5549258
364,1.6798081
365,1.3964281
366,1.4298247
367,1.4454677
368,1.5393947
369,1.6370524
370,1.3527436
371,1.3447472
372,1.4672614
373,1.5569893
374,1.2992533
375,1.281705
376,1.4161336
377,1.4950887
378,1.4930152
379,1.3774351
380,1.4547228
381,1.5371381
382,1.3417969
383,1.3033826
384,1.4302366
385,1.5115838
386,1.2654686
387,1.3111485
388,1.4448049
389,1.5067014
390,1.3745042
391,1.3568857
392,1.4953331
393,1.390882
394,1.4636035
395,1.2793176
396,1.3592954
397,1.4156156
398,1.5005412
399,1.4164442
400,1.3475963
401,1.400054
402,1.3190994
403,1.3816167
404,1.4619524
405,1.4145807
406,1.412575
407,1.4619981
408,1.4845593
409,1.3442565
410,1.4210767
411,1.4407505
412,1.4573902
413,1.3613126
414,1.3858689
415,1.4315534
416,1.4840963
417,1.4057282
418,1.3950902
419,1.4020604
420,1.3919134
421,1.4864575
422,1.4188966
423,1.4212695
424,1.43054
425,1.3925488
426,1.397735
427,1.441055
428,1.4432908
429,1.4513696
430,1.411588
431,1.4536811
432,1.4531832
433,1.4351466
434,1.4590447
435,1.4604737
436,1.4422835
437,1.480215
438,1.4606549
439,1.4933428
440,1.4914504
441,1.5147432
442,1.5133545
443,1.4892601
444,1.4865443
445,1.5278583
446,1.539318
447,1.5180417
448,1.5615035
449,1.5267783
450,1.5341274
451,1.5419601
452,1.5431743
453,1.5798832
454,1.555442
455,1.5605891
456,1.5843058
457,1.5938873
458,1.6715008
459,1.6444637
460,1.7013817
461,1.6773922
462,1.6333001
463,1.6481438
464,1.6727753
465,1.712269
466,1.7434065
467,1.8216603
468,1.8544515
469,1.822196
470,1.8523991
471,1.8171133
472,1.9025801
473,1.9910319
474,2.0400176
475,2.0069609
476,2.056741
477,2.1202602
478,2.2464461
479,2.3081074
480,2.3190475
481,2.2763927
482,2.0492115
483,1.9963969
484,2.0445583
485,2.0987034
486,2.1750064
487,2.2865515
488,2.2612302
489,2.2832527
490,2.372396
491,2.492647
492,2.1437683
493,2.0956514
494,2.1127958
495,2.1880877
496,2.3264396
497,2.4992635
498,2.1678438
499,2.086107
500,2.2682986
501,2.40928
502,2.5586798
503,2.1826396
504,2.1138616
505,2.372837
506,2.425027
507,2.1123652
508,2.128492
509,2.318867
510,2.48821
511,2.239147
512,2.1689456
513,2.2930117
514,2.4224901
515,2.1282501
516,1.9941441
517,2.1171496
518,2.2739043
519,1.9691762
520,1.9360754
521,2.080584
522,2.1346579
523,1.9152467
524,1.8974663
525,1.95349
526,2.0742712
527,2.121644
528,2.2537928
529,1.7940435
530,1.6420408
531,1.6468716
532,1.6278818
533,1.7588478
534,1.5842922
535,1.5506237
536,1.6219828
537,1.6130763
538,1.5353227
539,1.5646721
540,1.5964231
541,1.6697547
542,1.6002662
543,1.5504687
544,1.723577
545,1.6977384
546,1.6405416
547,1.8124814
548,1.7758063
549,1.7709464
550,1.9625908
551,1.5790076
552,1.4154696
553,1.3838444
554,1.4904171
555,1.4264
556,1.5181211
557,1.6208045
558,1.5539281
559,1.3719441
560,1.4052789
561,1.5401945
562,1.4753606
563,1.3068897
564,1.4438841
565,1.5594171
566,1.1370237
567,1.1469486
568,1.255977
569,1.346004
570,1.4816728
571,1.1416335
572,1.1634521
573,1.2908837
574,1.4134349
575,1.5391757
576,1.182656
577,1.2330738
578,1.2881873
579,1.3927855
