,0
0,5.5647564
1,5.940886
2,3.813539
3,4.541794
4,3.5437918
5,3.3683586
6,3.1919677
7,2.828956
8,2.785588
9,2.6395686
10,2.7501998
11,2.7468936
12,2.5046737
13,2.5008423
14,2.4566045
15,2.581786
16,2.649768
17,2.5231807
18,2.5804005
19,2.6909578
20,2.701731
21,2.5554626
22,2.6475048
23,2.4379814
24,2.7640557
25,2.526404
26,2.460925
27,2.6859028
28,2.5466723
29,2.5711157
30,2.645386
31,2.6244485
32,2.487829
33,2.5594566
34,2.6089885
35,2.7929325
36,2.6224458
37,2.6409502
38,2.5820901
39,2.6049445
40,2.5339189
41,2.5591555
42,2.6609712
43,2.5621862
44,2.472831
45,2.4519598
46,2.5016592
47,2.5364819
48,2.7123575
49,2.4692981
50,2.452458
51,2.5821161
52,2.5202558
53,2.3978014
54,2.7406077
55,2.634309
56,2.5831041
57,2.6610444
58,2.6634834
59,2.5571883
60,2.5154188
61,2.4615502
62,2.380847
63,2.4936366
64,2.5525308
65,2.516883
66,2.5516624
67,2.5346408
68,2.744219
69,2.4983392
70,2.4404697
71,2.43392
72,2.4135292
73,2.480627
74,2.5961561
75,2.23133
76,2.483812
77,2.7947683
78,2.4286087
79,2.3340032
80,2.3897338
81,2.2185338
82,2.4320776
83,2.547759
84,2.463764
85,2.3996449
86,2.4679413
87,2.3353968
88,2.326794
89,2.39517
90,2.488049
91,2.2697442
92,2.4920306
93,2.4873178
94,2.4990895
95,2.431473
96,2.2553277
97,2.5006518
98,2.4371297
99,2.2963758
100,2.2655578
101,2.4370122
102,2.3967571
103,2.3055158
104,2.4114764
105,2.3201113
106,2.1932693
107,2.3830025
108,2.2259345
109,2.1252012
110,2.1745448
111,2.2900212
112,2.2860472
113,2.252646
114,2.3111522
115,2.2777581
116,2.3387299
117,2.1220183
118,2.2320242
119,2.1189995
120,2.2239718
121,2.0580933
122,1.9747692
123,2.0586178
124,2.106658
125,2.1918907
126,2.4899344
127,2.0452435
128,1.9934599
129,2.068951
130,2.0794728
131,2.107943
132,2.0209801
133,2.0887537
134,2.0127294
135,2.0528214
136,2.0086715
137,1.9602408
138,2.0510538
139,1.9225658
140,1.8699713
141,2.0016437
142,1.8154045
143,1.8886079
144,1.9162818
145,2.0689878
146,2.0128276
147,1.7710993
148,1.842557
149,1.8932817
150,1.9506624
151,1.7259766
152,1.7452767
153,1.6764379
154,1.8568487
155,1.8424373
156,1.7663634
157,1.7192614
158,1.9103167
159,1.6791248
160,1.8239896
161,1.7576027
162,1.8367295
163,1.7432544
164,1.783968
165,1.6512591
166,1.7632765
167,1.5787442
168,1.6174285
169,1.6666291
170,1.7963047
171,1.6484596
172,1.7075638
173,1.6925842
174,1.7109123
175,1.6679964
176,1.6947805
177,1.7247413
178,1.8124077
179,1.7669541
180,1.7620192
181,1.6078415
182,1.8549566
183,1.7356839
184,1.7067688
185,1.7727644
186,1.9022241
187,1.8620956
188,1.7737287
189,1.8230593
190,1.8376479
191,1.9358113
192,1.9608216
193,1.8964142
194,1.9953445
195,1.9617126
196,1.9360015
197,1.9362321
198,1.9125713
199,2.0082102
200,1.9817766
201,2.041787
202,2.051021
203,2.030302
204,1.9708542
205,2.038164
206,2.049594
207,2.0847807
208,2.0659947
209,2.0476694
210,2.0235186
211,2.026936
212,2.0945349
213,2.024561
214,1.993785
215,2.117413
216,2.1407883
217,2.1214225
218,2.0790782
219,1.9832668
220,2.237669
221,2.161396
222,2.128549
223,2.4707725
224,2.2131627
225,2.204488
226,2.1412573
227,2.342809
228,2.3338432
229,2.3053386
230,2.2289703
231,2.3503373
232,2.2736883
233,2.3303938
234,2.3833573
235,2.2709002
236,2.3957894
237,2.356777
238,2.3453429
239,2.3732278
240,2.3303044
241,2.3906474
242,2.3154376
243,2.5090868
244,2.427301
245,2.4188783
246,2.3841019
247,2.446069
248,2.4323816
249,2.455931
250,2.4239702
251,2.54445
252,2.4582088
253,2.4791334
254,2.3629293
255,2.5470073
256,2.4243066
257,2.6409628
258,2.6065009
259,2.4629476
260,2.6846688
261,2.471605
262,2.574232
263,2.4776173
264,2.584845
265,2.455194
266,2.5602226
267,2.5133195
268,2.5606208
269,2.4996667
270,2.5800881
271,2.4034746
272,2.599832
273,2.5796347
274,2.531773
275,2.5874414
276,2.541726
277,2.4663036
278,2.5977654
279,2.4929452
280,2.4220037
281,2.5952115
282,2.4982333
283,2.4155416
284,2.432091
285,2.4810824
286,2.4383934
287,2.3449328
288,2.4600737
289,2.4772756
290,2.3891747
291,2.4863498
292,2.4341407
293,2.420134
294,2.3716633
295,2.4150364
296,2.5899272
297,2.4175904
298,2.4879234
299,2.4970465
300,2.402014
301,2.4548924
302,2.4138012
303,2.407617
304,2.371758
305,2.3740718
306,2.4275484
307,2.5038655
308,2.349243
309,2.52908
310,2.3892307
311,2.473657
312,2.37879
313,2.480757
314,2.3534596
315,2.5015962
316,2.3646085
317,2.3564382
318,2.3406916
319,2.4114542
320,2.4786909
321,2.3887384
322,2.364132
323,2.3157835
324,2.3899343
325,2.34429
326,2.2772183
327,2.4641082
328,2.3180757
329,2.3443513
330,2.2930372
331,2.464662
332,2.346149
333,2.3230894
334,2.3059652
335,2.2925828
336,2.4337862
337,2.3041961
338,2.2930608
339,2.2109385
340,2.3257396
341,2.265688
342,2.1282525
343,2.1403544
344,2.0972314
345,2.5246956
346,2.1472685
347,2.059953
348,2.32244
349,2.0630074
350,2.1443567
351,2.1798525
352,2.1507983
353,2.0117977
354,2.0352426
355,1.9627812
356,1.987102
357,2.1880846
358,2.013314
359,2.099154
360,1.92027
361,2.030128
362,1.9189224
363,1.9485385
364,2.0415785
365,2.0014114
366,1.8701807
367,1.9357979
368,2.262281
369,1.9323642
370,1.8394216
371,1.9437863
372,1.8930559
373,1.9100658
374,1.9562331
375,1.8800575
376,1.8103318
377,1.8576132
378,1.8365866
379,1.8360934
380,1.774024
381,1.7643468
382,1.7270176
383,1.8962295
384,1.7666715
385,1.6580397
386,1.8005997
387,1.7582605
388,1.6228677
389,1.7577142
390,1.6727223
391,1.7450957
392,1.6869881
393,1.5789639
394,1.6536392
395,1.7105191
396,1.6907712
397,1.6811701
398,1.6601623
399,1.6784728
400,1.6565624
401,1.7014719
402,1.6788534
403,1.6199596
404,1.6773422
405,1.7446145
406,1.646781
407,1.6900513
408,1.6087284
409,1.6200616
410,1.7352204
411,1.7282429
412,1.7222497
413,1.8288707
414,1.7685527
415,1.7625463
416,1.7185599
417,1.78553
418,1.7658565
419,1.7775986
420,1.8248266
421,1.7616243
422,1.7584888
423,1.7859933
424,1.7981912
425,1.9856976
426,1.919909
427,1.9059728
428,1.8800894
429,1.9306089
430,1.8761511
431,1.9495604
