,0
0,14.384715
1,13.20002
2,11.965429
3,9.583511
4,8.521868
5,7.017094
6,5.459199
7,6.5771556
8,6.4089684
9,5.280251
10,4.5896173
11,3.7476048
12,3.7546725
13,4.969484
14,4.196223
15,4.389683
16,3.9034295
17,4.448036
18,3.7093241
19,3.2734435
20,3.6236134
21,5.0496383
22,4.040904
23,4.8023663
24,3.8928435
25,4.588682
26,4.3712277
27,4.098685
28,3.8773468
29,3.8693333
30,3.5766182
31,4.0584936
32,4.6087484
33,4.0718756
34,3.9623957
35,3.599048
36,3.9840531
37,3.8530383
38,3.6252348
39,3.6169038
40,3.4708788
41,4.7341695
42,3.964827
43,4.1378145
44,4.0664325
45,3.7447813
46,4.575536
47,4.0119467
48,3.8341148
49,4.3358407
50,4.3402843
51,4.4394474
52,4.0550385
53,4.909358
54,5.509986
55,5.6179433
56,5.8131757
57,5.4023523
58,5.7460527
59,6.372448
60,5.97742
61,4.067038
62,3.7152665
63,4.6919794
64,3.7728941
65,4.403272
66,5.3915944
67,3.89796
68,3.878354
69,4.8278866
70,3.7380738
71,4.499506
72,5.185966
73,4.9118323
74,5.7387204
75,5.609962
76,5.3164616
77,4.6297755
78,4.4334397
79,4.3364735
80,4.27678
81,5.9751806
82,3.709722
83,4.166574
84,3.6020315
85,5.0128055
86,4.497863
87,4.3183203
88,5.007608
89,5.208081
90,4.618461
91,5.0891795
92,4.9574757
93,5.6423645
94,3.952201
95,3.957057
96,5.074054
97,4.187792
98,4.366357
99,3.8469508
100,4.2512307
101,4.702779
102,4.2127233
103,4.828399
104,3.515423
105,4.373098
106,5.2557206
107,4.4744277
108,4.4628572
109,5.0562024
110,5.161659
111,4.919757
112,4.495925
113,5.102815
114,5.388872
115,5.1304474
116,5.2974424
117,6.22168
118,4.470566
119,5.2179613
120,5.3819275
121,5.066422
122,4.955386
123,5.023258
124,6.478466
125,5.8225374
126,4.0745325
127,5.192582
128,5.5554934
129,4.97709
130,6.2328706
131,5.9480634
132,5.158931
133,5.4540787
134,5.614191
135,6.299148
136,4.9480286
137,6.717611
138,5.8766394
139,5.118791
140,6.0597124
141,5.2516537
142,5.7342362
143,5.2508736
144,6.5514317
145,4.2690716
146,4.8099623
147,4.1159706
148,5.359514
149,5.668998
150,5.2018766
151,5.8623877
152,5.6661406
153,5.5552435
154,5.802263
155,5.908245
156,4.8043776
157,5.1583166
158,4.541302
159,5.0389233
160,5.0613623
161,5.484625
162,4.7171082
163,3.9787126
164,4.762591
165,5.6754456
166,5.9154444
167,5.675979
168,5.19092
169,6.178135
170,4.9634614
171,3.7882223
172,4.5096364
173,5.1786094
174,5.1523933
175,3.9973173
176,3.6091175
177,4.503375
178,5.1480904
179,3.5203757
180,4.4755077
181,4.365453
182,4.0458207
183,4.1439915
184,4.0556903
185,4.3692164
186,3.3837762
187,3.9276419
188,4.039042
189,3.9956799
190,4.178134
191,4.048679
192,4.1688814
193,3.2564075
194,3.4766665
195,3.685446
196,3.3800902
197,3.7120123
198,3.2850144
199,3.6096282
200,3.9524035
201,3.4368765
202,3.3828382
203,3.7110174
204,4.993321
205,3.33599
206,3.3837383
207,3.479931
208,3.5973918
209,3.6221209
210,4.3919954
211,4.306753
212,3.9042642
213,4.0242906
214,3.8963277
215,3.5973692
216,3.635521
217,4.095843
218,4.1310706
219,5.4961357
220,3.4002705
221,3.7693868
222,3.685727
223,3.7226403
224,3.5014794
225,4.3085713
226,3.6066692
227,3.8438513
228,3.2392883
229,3.4092371
230,4.1602674
231,4.2600746
232,3.8444083
233,3.3346176
234,3.4485984
