,0
0,5.5647564
1,5.940886
2,3.8135395
3,4.541793
4,3.5437906
5,3.368358
6,3.191967
7,2.8289578
8,2.7855623
9,2.6395512
10,2.7501915
11,2.7468882
12,2.5046773
13,2.5008461
14,2.4566107
15,2.5818226
16,2.6497262
17,2.5230713
18,2.5808437
19,2.6907475
20,2.7016277
21,2.5551777
22,2.6467762
23,2.444001
24,2.76604
25,2.5174494
26,2.4941928
27,2.6649532
28,2.4986508
29,2.768034
30,2.5988555
31,2.6235447
32,2.5158596
33,2.6714144
34,2.534786
35,2.6910348
36,2.4560034
37,2.555095
38,2.5702186
39,2.6251884
40,2.5987687
41,2.696232
42,2.5858734
43,2.5129955
44,2.4844453
45,2.5276663
46,2.52445
47,2.5031767
48,2.7264915
49,2.4692051
50,2.5462532
51,2.6000757
52,2.5850868
53,2.5501704
54,2.5423627
55,2.49445
56,2.5749502
57,2.6318002
58,2.4693274
59,2.409551
60,2.5565012
61,2.6674628
62,2.5925791
63,2.480094
64,2.8122573
65,2.8016357
66,2.6193748
67,2.538762
68,2.6939933
69,2.4554176
70,2.585569
71,2.8081157
72,2.507289
73,2.7052941
74,2.437736
75,2.485794
76,2.635913
77,2.6864362
78,2.5234044
79,2.4379764
80,2.5384736
81,2.444284
82,2.6745207
83,2.5151212
84,2.6590924
85,2.6224992
86,2.543931
87,2.5296576
88,2.3679059
89,2.3711343
90,2.4032073
91,2.3358624
92,2.4861245
93,2.4639602
94,2.2283182
95,2.2537646
96,2.3692365
97,2.3239832
98,2.4830554
99,2.2691627
100,2.1377392
101,2.558653
102,2.4837246
103,2.2799425
104,2.2127416
105,2.0994005
106,2.4257307
107,2.2766156
108,2.2127645
109,2.1424131
110,2.3603785
111,2.2232294
112,2.3312557
113,2.1692934
114,2.2162468
115,2.3148394
116,2.2258122
117,2.1982553
118,2.2997348
119,2.1819882
120,2.1303916
121,2.1170018
122,2.1732056
123,2.2060583
124,2.1800897
125,2.0507145
126,2.236882
127,2.0080166
128,2.0024567
129,2.019232
130,2.0907772
131,2.0257602
132,2.0814898
133,2.0388641
134,2.1312606
135,1.9034806
136,2.1280088
137,2.131398
138,1.9164897
139,1.9491177
140,2.0513284
141,1.9554967
142,1.8299555
143,1.9312968
144,1.9001306
145,1.8875834
146,2.0304544
147,1.8980085
148,1.8873045
149,1.9156222
150,1.8316061
151,1.7892845
152,2.0547528
153,1.7200859
154,1.9258698
155,1.7421938
156,1.705473
157,1.791543
158,2.0017147
159,1.8208506
160,1.7395036
161,1.9586129
162,1.8244458
163,1.7403994
164,1.7185128
165,1.6941651
166,1.730394
167,1.8246758
168,1.7621894
169,1.7709053
170,1.7626253
171,1.6173488
172,1.8655441
173,1.8354713
174,1.6647688
175,1.7402527
176,1.7713883
177,1.8377925
178,1.7651469
179,1.807677
180,1.8649933
181,1.7110722
182,1.7481452
183,2.015968
184,1.9328408
185,1.8571153
186,1.9018434
187,1.8689505
188,1.7101653
189,2.0594192
190,1.7869852
191,2.0680735
192,1.8295617
193,2.0809908
194,2.0467203
195,2.036167
196,1.8639276
197,1.8682811
198,1.9711344
199,1.8519763
200,2.0180504
201,1.9844165
202,2.0304413
203,1.995593
204,1.990974
205,2.0388389
206,2.0228524
207,1.961073
208,2.0780296
209,2.087872
210,2.1001546
211,2.0761347
212,2.1051662
213,2.0885339
214,2.0898082
215,1.9884363
216,2.2396119
217,2.0793338
218,2.2145495
219,2.081974
220,2.1899362
221,2.1659281
222,2.0794454
223,2.234825
224,2.2630124
225,2.2717712
226,2.245201
227,2.2385008
228,2.1893313
229,2.2953691
230,2.2174249
231,2.2557578
232,2.352449
233,2.2985
234,2.210828
235,2.3025827
236,2.3421538
237,2.389799
238,2.2472534
239,2.3656378
240,2.3503597
241,2.2413256
242,2.2775013
243,2.6449473
244,2.314872
245,2.5184832
246,2.4958797
247,2.4442077
248,2.383079
249,2.4309213
250,2.4714794
251,2.3436615
252,2.53142
253,2.471315
254,2.3734171
255,2.5056036
256,2.4988122
257,2.3903074
258,2.4785633
259,2.477252
260,2.598574
261,2.5269477
262,2.5048382
263,2.5285406
264,2.614392
265,2.539742
266,2.5516834
267,2.4852393
268,2.552584
269,2.4965818
270,2.5006835
271,2.5333335
272,2.5386646
273,2.6155894
274,2.460207
275,2.4774618
276,2.7101443
277,2.5009153
278,2.4890485
279,2.529805
280,2.4859166
281,2.485915
282,2.3996377
283,2.410143
284,2.3256018
285,2.3581107
286,2.2713566
287,2.374595
288,2.3345387
289,2.354018
290,2.2641025
291,2.3517313
292,2.336022
293,2.3558059
294,2.3940535
295,2.266688
296,2.3431005
297,2.418441
298,2.4289892
299,2.4507494
300,2.430148
301,2.5759265
302,2.5270505
303,2.3725915
304,2.5305858
305,2.42514
306,2.3377585
307,2.3847544
308,2.4415264
309,2.3706834
310,2.391378
311,2.462365
312,2.3762302
313,2.439391
314,2.337174
315,2.3947566
316,2.4351869
317,2.4049344
318,2.3890228
319,2.3826327
320,2.2881927
321,2.410962
322,2.4091084
323,2.3267643
324,2.3551886
325,2.3158824
326,2.314459
327,2.2928925
328,2.1746697
329,2.1888363
330,2.314865
331,2.225141
332,2.2938223
333,2.2594764
334,2.2046154
335,2.2295792
336,2.2932935
337,2.1371562
338,2.1877906
339,2.3432558
340,2.1778924
341,2.1757085
342,2.1729608
343,2.2193906
344,2.1247473
345,2.0512848
346,2.074074
347,2.2441983
348,2.0655258
349,2.0797749
350,2.1070638
351,2.0118058
352,2.1671693
353,2.0535412
354,2.0615203
355,1.9520831
356,2.1947043
357,1.9400852
358,2.03964
359,1.9696534
360,1.9621089
361,1.9708047
362,2.0340502
363,2.0098734
364,1.8837035
365,1.8565919
366,1.8377979
367,1.8010503
368,1.8197958
369,1.9549321
370,1.9178255
371,1.8547472
372,1.8920152
373,1.8634505
374,1.9680257
375,1.9355729
376,1.9027114
377,1.8469399
378,1.9137846
379,1.8104953
380,1.8612131
381,1.7452874
382,1.7859374
383,1.8221426
384,1.7475194
385,1.7389717
386,1.856958
387,1.8138325
388,1.7322644
389,1.6961701
390,1.666231
391,1.6643147
392,1.671866
393,1.6308701
394,1.633391
395,1.6820078
396,1.6153951
397,1.730894
398,1.642496
399,1.5366117
400,1.639132
401,1.6436192
402,1.7085112
403,1.5828989
404,1.5909159
405,1.6336695
406,1.8266809
407,1.6572239
408,1.6403314
409,1.6218499
410,1.63136
411,1.622896
412,1.7717496
413,1.730763
414,1.6437913
415,1.7736998
416,1.8312458
417,1.7666831
418,1.7774678
419,1.730447
420,1.6884909
421,1.7657864
422,1.9814061
423,1.7647998
424,1.8843894
425,1.7858044
426,1.9129866
427,1.9955486
428,1.8199981
429,1.8748622
430,2.1192818
