,0
0,14.401382
1,13.517223
2,12.100548
3,9.69228
4,9.165184
5,7.369537
6,6.965826
7,6.705567
8,7.0928016
9,6.420959
10,6.005513
11,5.979701
12,5.918822
13,5.8921723
14,5.891799
15,5.871567
16,5.859161
17,5.8281045
18,5.8260098
19,5.826143
20,5.84255
21,5.819831
22,5.824549
23,5.8359413
24,5.808735
25,5.8150773
26,5.829288
27,5.8499055
28,5.782905
29,5.784674
30,5.795445
31,5.806482
32,5.8197765
33,5.812592
34,5.8159184
35,5.811401
36,5.799769
37,5.8244123
38,5.8105845
39,5.8065243
40,5.7980723
41,5.802906
42,5.7957916
43,5.8046284
44,5.7945256
45,5.8062687
46,5.791943
47,5.803574
48,5.813093
49,5.800059
50,5.817111
51,5.834218
52,5.8268514
53,5.8643503
54,5.9213824
55,5.8812046
56,6.006569
57,5.945666
58,5.935992
59,5.9418845
60,6.06592
61,6.049685
62,6.036855
63,6.0106864
64,6.0461464
65,6.030969
66,6.310322
67,6.1444306
68,6.143588
69,6.1726546
70,6.227699
71,6.1790047
72,6.2492576
73,6.260692
74,6.3735714
75,6.626136
76,6.320948
77,6.4432826
78,6.328962
79,6.4249024
80,6.6839533
81,6.423703
82,6.516364
83,6.6398487
84,6.8309984
85,6.661699
86,6.779211
87,6.963604
88,6.6570797
89,6.853533
90,6.960264
91,7.3361716
92,6.7421427
93,7.001031
94,6.847369
95,7.198788
96,6.773441
97,7.0612044
98,7.013533
99,7.8079915
100,7.1416287
101,7.498631
102,7.4116697
103,7.492279
104,6.796137
105,6.0653152
106,6.6540136
107,7.2947507
108,6.524497
109,6.981038
110,7.4627376
111,7.264858
112,7.7385077
113,8.15501
114,7.6184072
115,7.5662823
116,6.8343453
117,7.3926754
118,7.2449656
119,7.065396
120,6.5603337
121,7.2997794
122,7.513935
123,7.650247
124,7.776098
125,7.1095414
126,6.721727
127,7.4584184
128,7.1264944
129,6.792801
130,7.674684
131,7.5813127
132,7.3088355
133,8.164409
134,8.121943
135,7.9694567
136,7.056458
137,7.307641
138,8.223406
139,8.035514
140,7.3604984
141,7.2978973
142,8.092852
143,7.827939
144,7.7195916
145,7.9801636
146,6.875061
147,7.220185
148,7.169448
149,7.983503
150,7.5155134
151,7.126418
152,6.4873204
153,7.305492
154,7.337639
155,7.941991
